"","DAAA","DBAA","DGS30","FF","MORTGAGE30US","WAAA","WBAA","WGS10YR","WGS1YR","WGS2YR","WGS30YR","WGS3YR","WGS5YR","WGS7YR","WTB3MS","WTB6MS"
"2009-06-04",0.0168423220845822,0.0489520594767565,0.0331931724477005,0.0516171395632386,0.0143953596185957,0.0194501215778879,0.0662404309147108,0.0529458242801846,0.094638792851335,0.104460314528779,0.0319092370318684,0.129221633952343,0.108527243509978,0.062055067338164,0.0775118667767135,0.0880394140471622
"2009-06-11",0.0180425571608734,0.0444951586966084,0.0328385602594673,0.0578724168041381,0.0179876972322439,0.0200087048217185,0.0707134876486312,0.0510733884861272,0.100506554378951,0.103768345716107,0.0349277376043536,0.123670116025475,0.0931135848854007,0.0600204016913046,0.0818991200646168,0.0890621685239829
"2009-06-18",0.0179569569866749,0.0356062746390303,0.0407426013000308,0.0588013089694157,0.0224922715560326,0.0219027899772315,0.0511071083701264,0.0598145159682359,0.0926599620668671,0.108184311384449,0.0394118203542213,0.121625146012436,0.0939455181099003,0.0663552096400741,0.0814734161564836,0.0879207885087907
"2009-06-25",0.017551269002383,0.0285016813121332,0.0399817404325837,0.0738428018126985,0.0222322008327194,0.0206334001998135,0.0354580383799449,0.0605672436427057,0.0942120693204582,0.109372821150076,0.0394230222084664,0.116160123667541,0.0944614056810962,0.0668560384734136,0.0861657488318989,0.0945803950520682
"2009-07-02",0.0166731205611169,0.0228284925461638,0.0424238405846382,0.069759536945188,0.0252740846707187,0.021174564109688,0.0252798883376228,0.0619908070775763,0.100283704491675,0.107624300015246,0.0441344660650316,0.113238924165737,0.0915830021716143,0.0677485545361592,0.0904500254844605,0.099532688237363
"2009-07-09",0.0169267077213801,0.0221367539391396,0.0480954652577694,0.065360198819286,0.0306595725883372,0.0197439563277347,0.0193716658658433,0.0631727262377346,0.0951768044490764,0.119333952023922,0.0459514331879445,0.11368338294219,0.0932005402449697,0.0687090220397518,0.0752631481412394,0.103214670213681
"2009-07-16",0.0179769695164205,0.0206322210276275,0.0498787586221388,0.0678390342849798,0.0277371503188751,0.0205435989815209,0.0198415597526603,0.0644849927055271,0.0935724604622815,0.104892522518124,0.0501122636637443,0.110256576703167,0.0997010794236641,0.0740380515390443,0.0819387211901429,0.096554039290082
"2009-07-23",0.0177981667363728,0.0226861076929947,0.0503530295142801,0.0644887264526815,0.0290670570133998,0.02118922235395,0.0187941280201955,0.0667542687972735,0.0954796743702897,0.10751783772278,0.0514059867089298,0.104232716908604,0.0926591032700242,0.072862528701292,0.0878728746633857,0.0968385710735468
"2009-07-30",0.0176658342892973,0.0232647979548151,0.0551584957886861,0.0587590695042177,0.0260323163256376,0.0222176158663454,0.0208265720321275,0.0730796022237719,0.0839144132301042,0.0966743849714339,0.0558415576746093,0.105914508309646,0.10583939578168,0.0761515719537243,0.0856851988650127,0.0929746652288905
"2009-08-06",0.0210935833905643,0.0226451054265593,0.0558272861318128,0.0647150937959974,0.0302258460438473,0.0252338819170147,0.0206321078508318,0.0816050660504055,0.0884346433015717,0.0993813763840795,0.0566712455336947,0.0968372983301164,0.0985740939480373,0.0775116470668088,0.072378777557848,0.0882329472708104
"2009-08-13",0.0207642070663369,0.0221817356298619,0.0604266843560291,0.0594021569604753,0.0333306145246628,0.0245261001454541,0.0183586849770863,0.0810418923384149,0.0777298642922016,0.0949690526255967,0.0593437523303689,0.101076579413894,0.0985505712230323,0.0830995521555884,0.073245849161494,0.0919527027995029
"2009-08-20",0.023749552808558,0.0222948608411426,0.058390500561896,0.0550303988677852,0.0376775132865994,0.0258542285525321,0.0183178624200512,0.0909572290436976,0.0813656586101869,0.0851124652986008,0.062825440342733,0.0957318314025626,0.102901850385813,0.0804284260886085,0.0721028087649836,0.0872593727242499
"2009-08-27",0.0360967288833527,0.0220073184460119,0.0593094353273472,0.0537398910725214,0.0427890099179238,0.0313383047680845,0.0185214110030569,0.0795273356301472,0.0878068385020625,0.0823314900660791,0.0615322095376971,0.0879229916183417,0.0986709081069738,0.0892784824100032,0.0620193394045115,0.0871083053058853
"2009-09-03",0.0610449101808825,0.0246524065368396,0.0702771878390751,0.0434252193812684,0.043723967607201,0.0396497609230506,0.0201584955673527,0.0844468240292749,0.0759481669232305,0.0750428694704566,0.0680941102638282,0.0726355219074597,0.093040802165764,0.0930661338891794,0.0537198833501384,0.0810737399649982
"2009-09-10",0.0596835723390789,0.0254080903410238,0.0691418700259719,0.0422764610145281,0.041769037558787,0.0545256419228697,0.0196384871362202,0.0893936536135394,0.0826038149127988,0.0660268493650541,0.0673669854669938,0.0721767446194412,0.0900247565238892,0.0953156124458073,0.0485806104743465,0.0760678122396501
"2009-09-17",0.0481882577641829,0.0327239332820298,0.0774906235803395,0.0285279880143222,0.0447571476832064,0.0527747411045119,0.0255666474577399,0.0984245302994822,0.0680948318882031,0.0566479549766998,0.0796418761759256,0.0809288765419461,0.101852454449295,0.104035677777022,0.0356037066660601,0.0647407523390328
"2009-09-24",0.0422625978549858,0.060204832033368,0.0795132645778667,0.0243421812555712,0.0366945967261097,0.0493790855013787,0.03778317839337,0.107571244466892,0.0594088706737724,0.0457815846093192,0.0810189208008797,0.0801349497950288,0.107060309552465,0.106942696983074,0.0248050870279821,0.0570965997479362
"2009-10-01",0.0338513520638713,0.0682128613533522,0.0834776211709312,0.0252955107563909,0.0378593677738852,0.042842956899193,0.0541400093387207,0.105199688305814,0.0543399286527443,0.0449456744441432,0.0828231628475147,0.0799254326560445,0.0992064282094497,0.109811760920757,0.0214581070903422,0.0566101375168461
"2009-10-08",0.0299203794503812,0.0594595031913861,0.0944580340849729,0.0188343231340644,0.0379186197080226,0.0371379623407022,0.0567320792335044,0.113818307577922,0.0434357127381818,0.0383388731830566,0.0941778936399989,0.0770077498437598,0.115725235443508,0.121418383942747,0.0180260031763199,0.0435909393114714
"2009-10-15",0.0288186987761152,0.0617521852698137,0.0942651001705444,0.0187367745359908,0.0341491402586412,0.0364588399743062,0.055480196820385,0.123345763478659,0.0427782796057693,0.0340051715105464,0.0977303128369627,0.0746700522397516,0.116210804101537,0.12372956363576,0.0159815932526814,0.0418875235325365
"2009-10-22",0.0287849338006121,0.0608625542370032,0.0980125425675588,0.0199951174873027,0.030123996157714,0.0365258931198554,0.0566780033827881,0.114401338637155,0.0413719436818199,0.0298028606004679,0.103372376655646,0.0771836707327059,0.117624323094544,0.129218551275443,0.0148773981789642,0.0411644963904207
"2009-10-29",0.0239336940546461,0.0629524270375326,0.104577613698952,0.0177479033993499,0.02490282892704,0.0300978675739025,0.0574366862880567,0.115900906535491,0.035957564301531,0.0288232701450308,0.102618245150005,0.0734624548223379,0.125408342821376,0.14583612513184,0.0156843556079644,0.0346597145049452
"2009-11-05",0.0207393683981716,0.083383749315276,0.104524423771622,0.0166945189268505,0.0168614815095142,0.0248608642574577,0.0638097086550498,0.116476548182703,0.0305661744598064,0.0269702482258044,0.104075644056849,0.0681975541529188,0.140798516563693,0.140344071303342,0.0122016516455237,0.0294954765754185
"2009-11-12",0.0225691295757397,0.090835891367612,0.0945980720171925,0.0150630406278963,0.0135487467072477,0.0226683066143846,0.0690468019980706,0.131675195834415,0.031260912658568,0.021471314076413,0.0982591855135812,0.0604377244548278,0.138316984663928,0.143803956705073,0.0168053438803927,0.0296393933046574
"2009-11-19",0.0233474977635509,0.082267309161981,0.100976334147016,0.0145839536758671,0.0121312580639162,0.0221074019353098,0.0616264024595422,0.132770107070905,0.0298110300094344,0.0235723559860348,0.10011609985539,0.0527445673227123,0.144251712049158,0.146869430411152,0.0240021673275565,0.0288223727604725
"2009-11-25",0.032016775832424,0.0757094535418202,0.0984168654209128,0.0201059927079466,0.0135349950619463,0.0288698517695715,0.0619572287710374,0.124484047036995,0.0439535422154675,0.0225865711816352,0.0896086511180725,0.0449946161230044,0.133545007927741,0.131538945648215,0.0361666372855962,0.0425108183576139
"2009-12-03",0.0328098422355171,0.071251579542804,0.0938746386961003,0.0185608721346829,0.0151998894256846,0.0367676291830663,0.0586846661433276,0.124653727412893,0.048461311725254,0.0239910046316328,0.0984838034325316,0.0419649023651347,0.123057814860954,0.127361573218469,0.0392891644341541,0.0455875805577946
"2009-12-10",0.0293374038755875,0.0786221028056743,0.0832615761372121,0.0250552727787403,0.0172971763188733,0.030225930274263,0.0658705218050664,0.114052061830406,0.0521524061338701,0.0237089589216911,0.090170197482183,0.0442866567487731,0.128254161196559,0.125397118256856,0.0390130107086556,0.0532954447255893
"2009-12-17",0.0248666156809609,0.0825025914795868,0.0895424084669101,0.020832289166498,0.0178723522494809,0.0276867882988837,0.0785946632818053,0.115124291496952,0.0488973351895487,0.0250201548568576,0.0835084520886455,0.0383553630486349,0.120981918726014,0.130005722451591,0.0366720703257014,0.0595369831919294
"2009-12-24",0.0196915084015668,0.0970501825997753,0.07416519590364,0.018249295842966,0.0180813432909293,0.0234121878502689,0.0872251480752814,0.116734544856967,0.0527252721595833,0.0233131710165265,0.080192075593358,0.0366563736042749,0.120555279472342,0.124834761563473,0.0346814230010052,0.0724322367680425
"2009-12-31",0.0201898851273188,0.103296576576749,0.076432954592248,0.0154614539187421,0.015446008231483,0.0216950430893525,0.0838439620831712,0.114027851375711,0.0458327714227023,0.0236596886858145,0.0821002042723032,0.0387223264992009,0.12692568907126,0.131499215926004,0.0297186315351813,0.0711477375927588
"2010-01-07",0.017246024706245,0.113100230473747,0.0772937827630573,0.0169039998978217,0.0138688689716339,0.0180653441133896,0.0948791146828627,0.10903120307331,0.0488524400106586,0.0215327596487582,0.0714245325826367,0.0363090897596238,0.121195090129303,0.125592655347064,0.0279628859478091,0.0867419778920792
"2010-01-14",0.0159935051768291,0.110014627497552,0.0741738489657608,0.0152867396595232,0.0145461415228745,0.0159881059378994,0.0958150386190823,0.110117562005176,0.0580106645623148,0.0194308139979044,0.0733158707785345,0.0344359307726921,0.113068001430421,0.125292826714327,0.0301709524477683,0.0943393699113414
"2010-01-21",0.0168919665795608,0.111584875856149,0.0739383896480089,0.0139995148965499,0.015562557468079,0.0171514139861777,0.099221741318169,0.111653566247724,0.0724889319410029,0.018963088819807,0.0735815152006859,0.034529913450903,0.103435748442811,0.117236650303674,0.0293872749071644,0.0903728509335327
"2010-01-28",0.019878936570252,0.113196109535407,0.0701746676899747,0.0162876514747252,0.0178743622922442,0.0192549320215067,0.0964792317669677,0.107059431587394,0.0740325297768004,0.0204970139709922,0.0692724349975082,0.0331196690117306,0.107155290342576,0.113621909993353,0.0309630719872065,0.0911327569813616
"2010-02-04",0.0248172547529366,0.135925400668917,0.0577018782202776,0.0168925795054489,0.0175956894236972,0.0280870213892248,0.117175956458714,0.0897359412082413,0.0771134624747601,0.0207474893352806,0.0619259268850463,0.0332464277061272,0.0937316675330324,0.0951156829143351,0.0318629598660533,0.0983246616579077
"2010-02-11",0.0223180145474331,0.129764472931805,0.058325843645825,0.0185749473458452,0.0215184926319656,0.0287786799756792,0.122933643401317,0.0925757533099581,0.0767964895742266,0.0214845290673584,0.059372329225459,0.0310775668996466,0.0928756366772531,0.0973674989704902,0.0326998450736702,0.0935362567220682
"2010-02-18",0.0212860120961568,0.13020660050266,0.0531112066666743,0.023918958836754,0.0228772993034167,0.0279474772768039,0.127986350370978,0.0812406158899791,0.0777468193220588,0.0252105901510596,0.0531176896229983,0.0361564060088118,0.0881177248563107,0.0868483344571604,0.040201791306648,0.10402612333153
"2010-02-25",0.0246453983114812,0.129604207456487,0.0546745326470674,0.0244077310976434,0.0263319972027085,0.0315528226318042,0.128401748684763,0.0875569605446811,0.071681850483553,0.0252087020787735,0.0527816041856472,0.0344479258740836,0.0821220044303087,0.0875307406535806,0.037422444499474,0.101629329217944
"2010-03-04",0.0286462367534957,0.123328169402086,0.0502929947677334,0.0309711454663697,0.0351259591565903,0.0332752595152088,0.122108321391153,0.0764271726411437,0.0673518910663081,0.0308698890061808,0.0489806959806618,0.0413840051555505,0.0875148185973788,0.0891035122066388,0.035465929786089,0.0991539991074112
"2010-03-11",0.0245696497501029,0.108209996712065,0.0480276135910625,0.0301512550759702,0.0546249849755078,0.0324590044866588,0.113298808377994,0.0759791756446237,0.0755756322114462,0.036349091515712,0.0487574547405196,0.0454635498346684,0.0877634797236105,0.090751675047997,0.0317291532090774,0.0962894751029843
"2010-03-18",0.0278437348808922,0.100615215492193,0.0479171648346187,0.0309778658938214,0.0586238321903395,0.0339399262366053,0.110200831823224,0.076361838337708,0.0708021032123217,0.0395876735822772,0.0479069343964058,0.0496015076485263,0.0897250830655255,0.08889526747949,0.0323688652647159,0.0946321556613353
"2010-03-25",0.029403666809352,0.0950706369627422,0.0485129614189004,0.0377198877820399,0.0563169702523466,0.0371686471557907,0.103168685145705,0.0704610974932195,0.0714273856688614,0.0450453563312204,0.0487714825186396,0.0526405379835024,0.0850631204721107,0.0810672647313442,0.0378949981991321,0.100267301075092
