"","Tick_2000-10-18_To_2001-10-11","Membership_2000-10-18_To_2001-10-11","Name_2000-10-18_To_2001-10-11","Exchange_2000-10-18_To_2001-10-11","Category.Name_2000-10-18_To_2001-10-11"
"79","ANIOY",2,"Acerinox, S.A.","PNK",""
"80","SFNC",2,"Simmons First National Corporation","NMS","Money Center Banks"
"81","PROBF",2,"Probe Metals Inc.","PNK",""
"82","CSGS",2,"CSG Systems International, Inc.","NMS","Business Software & Services"
"83","DNZOF",2,"DENSO Corporation","PNK",""
"84","MITSY",2,"Mitsui & Co., Ltd.","PNK",""
"85","TI",2,"Telecom Italia S.p.A.","NYQ","Diversified Communication Services"
"86","AGD",2,"Alpine Global Dynamic Dividend Fund","NYQ",""
"87","IGPPF",2,"Impellam Group PLC","PNK",""
"88","APPO",2,"AlphaPoint Technology, Inc.","PNK","Application Software"
"89","INFY",2,"Infosys Limited","NYQ","Technical & System Software"
"90","WEFIF",2,"Westfield Corp.","PNK",""
"91","HRC",2,"Hill-Rom Holdings, Inc.","NYQ","Medical Instruments & Supplies"
"92","MCEM",2,"Monarch Cement Co.","PNK",""
"93","SYCRF",2,"Syncora Holdings Ltd.","PNK",""
"94","ARC",2,"ARC Document Solutions, Inc.","NYQ","Business Services"
"95","CUAEF",2,"China Shenhua Energy Company Limited","PNK",""
"96","DHG",2,"Deutsche High Income Opportunities Fund, Inc.","NYQ",""
"97","EVK",2,"Ever-Glory International Group, Inc.","NGM","Textile - Apparel Clothing"
"98","BNPQY",2,"BNP Paribas SA","PNK",""
"99","EORBF",3,"Orbite Technologies Inc.","PNK",""
"100","JAZZ",3,"Jazz Pharmaceuticals Public Limited Company","NMS","Biotechnology"
"101","PPMD",3,"Protide Pharmaceuticals Inc.","PNK",""
"102","KNDI",3,"Kandi Technologies Group, Inc.","NMS","Auto Manufacturers - Major"
"103","HKTVY",3,"Hong Kong Television Network Limited","PNK",""
"104","UAL",3,"United Continental Holdings, Inc.","NYQ","Major Airlines"
"105","VICR",3,"Vicor Corporation","NMS","Diversified Electronics"
"106","CGXEF",3,"CGX Energy Inc.","PNK",""
"107","CCGN",3,"Consumer Capital Group, Inc","PNK","Food Wholesale"
"108","EBMT",3,"Eagle Bancorp Montana, Inc.","NGM","Regional - Pacific Banks"
"109","TSN",3,"Tyson Foods, Inc.","NYQ","Meat Products"
"110","EXMGF",3,"Excelsior Mining Corp.","PNK",""
"111","INS",3,"Intelligent Systems Corporation","ASE","Diversified Machinery"
"112","AGPPF",3,"Anglo American Platinum Limited","PNK",""
"113","UBAB",3,"United Bancorporation of Alabama, Inc.","PNK","Regional - Southeast Banks"
"114","GIGM",3,"GigaMedia Limited","NCM","Multimedia & Graphics Software"
"115","ABLZF",3,"ABB Ltd","PNK",""
"116","CEFC",3,"Commercial National Financial Corporation","PNK",""
"117","CAMT",3,"Camtek Ltd.","NGM","Semiconductor Equipment & Materials"
"118","UREE",3,"U.S. Rare Earths, Inc.","PNK",""
"119","TREX",3,"Trex Company, Inc.","NYQ","General Building Materials"
"120","ASOE",3,"Apollo Solar Energy, Inc.","PNK",""
"121","JNJ",4,"Johnson & Johnson","NYQ","Drug Manufacturers - Major"
"122","FENG",4,"Phoenix New Media Limited","NYQ","Internet Information Providers"
"123","XPPLF",4,"XP Power Limited","PNK",""
"124","LMSMF",4,"Maclos Capital Inc.","PNK",""
"125","ORINF",4,"Orion Oyj","PNK",""
"126","IMI",4,"Intermolecular, Inc.","NMS","Semiconductor Equipment & Materials"
"127","PCOM",4,"Points International Ltd.","NCM",""
"128","AVA",4,"Avista Corporation","NYQ","Diversified Utilities"
"129","SHPG",4,"Shire plc","NMS",""
"130","TIKRF",4,"Tikcro Technologies Ltd.","PNK",""
"131","SIPN",4,"SIPP International Industries, Inc.","PNK",""
"132","XEL",4,"Xcel Energy Inc.","NYQ","Electric Utilities"
"133","HONT",4,"Honat Bancorp, Inc.","PNK",""
"134","GTHKF",4,"Genting Hong Kong Limited","PNK",""
"135","ESIO",4,"Electro Scientific Industries, Inc.","NMS","Semiconductor - Integrated Circuits"
"136","RSCF",4,"Reflect Scientific, Inc.","PNK","Medical Appliances & Equipment"
"137","VPRO",4,"Viropro Inc.","PNK",""
"138","LTUS",4,"Lotus Pharmaceuticals, Inc.","PNK",""
"139","PLPM",4,"Planet Payment, Inc.","NCM","Technical & System Software"
"140","AZN",4,"AstraZeneca PLC","NYQ","Drug Manufacturers - Major"
"141","CMDXF",4,"Computer Modelling Group Ltd.","PNK",""
"142","BPMI",4,"BPM Inc.","PNK",""
"143","STAA",4,"STAAR Surgical Company","NGM","Medical Instruments & Supplies"
"144","SELF",4,"Global Self Storage, Inc.","NCM",""
"145","SAFM",4,"Sanderson Farms, Inc.","NMS","Food - Major Diversified"
"146","GNCGY",4,"Greencore Group plc","PNK",""
"147","GNTP",5,"Global Entertainment Corp.","PNK","Sporting Activities"
"148","NMI",5,"Nuveen Municipal Income Fund, Inc.","NYQ",""
"149","SLRK",5,"Solera National Bancorp, Inc.","PNK","Regional - Southwest Banks"
"150","EBCOY",5,"Ebara Corporation","PNK",""
"151","MTGE",5,"MTGE Investment Corp.","NMS","REIT - Diversified"
"152","STRNY",5,"Severn Trent Plc","PNK","Scientific & Technical Instruments"
"153","ANH",5,"Anworth Mortgage Asset Corporation","NYQ","REIT - Diversified"
"154","CEF",5,"Central Fund of Canada Limited","ASE",""
"155","MOFG",5,"MidWestOne Financial Group, Inc.","NMS","Regional - Southwest Banks"
"156","CAPC",5,"Capstone Companies, Inc.","PNK","Industrial Electrical Equipment"
"157","GTN",5,"Gray Television, Inc.","NYQ","Broadcasting - TV"
"158","AUKNY",5,"Auckland International Airport Limited","PNK",""
"159","IPSEF",5,"Ipsen S.A.","PNK",""
"160","FNMA",5,"Federal National Mortgage Association","PNK","Mortgage Investment"
"161","BDL",5,"Flanigan's Enterprises, Inc.","ASE","Specialty Eateries"
"162","AGPYF",5,"Agile Group Holdings Limited","PNK",""
"163","CNWT",5,"Cistera Networks Inc.","PNK",""
"164","URCFF",5,"Uracan Resources Ltd.","PNK",""
"165","HTLZF",5,"Hamilton Thorne Ltd.","PNK",""
"166","JFBC",5,"Jeffersonville Bancorp","PNK","Regional - Northeast Banks"
"167","ELCPF",5,"EDP - Energias de Portugal, S.A.","PNK",""
"168","OPLI",5,"OphthaliX Inc.","PNK","Biotechnology"
"169","SNSGF",5,"Sense Technologies, Inc.","PNK",""
"170","FBMS",5,"The First Bancshares, Inc.","NGM","Regional - Southeast Banks"
"171","YDVL",5,"Yadkin Valley Company","PNK",""
"172","AEZS",5,"Aeterna Zentaris Inc.","NCM","Biotechnology"
"173","GYB",5,"CABCO Series 2004-101 Trust (Goldman Sachs Capital I)","NYQ",""
"174","DAIO",5,"Data I/O Corporation","NCM","Diversified Electronics"
"175","AIG",6,"American International Group, Inc.","NYQ","Property & Casualty Insurance"
"176","OGFGY",6,"Origin Energy Limited","PNK",""
"177","MIN",6,"MFS Intermediate Income Trust","NYQ",""
"178","CWBK",6,"CommerceWest Bank","OBB","Regional - Pacific Banks"
"179","ORGS",6,"Orgenesis Inc.","PNK","Business Services"
"180","EGY",6,"VAALCO Energy, Inc.","NYQ","Independent Oil & Gas"
"181","AMEUF",6,"Admedus Limited","PNK",""
"182","CIVB",6,"Civista Bancshares, Inc.","NCM","Regional - Pacific Banks"
"183","PURA",6,"Puration, Inc.","PNK",""
"184","XREG",6,"XR Energy, Inc.","PNK","Business Services"
"185","GSBC",6,"Great Southern Bancorp, Inc.","NMS","Regional - Southwest Banks"
"186","DSU",6,"BlackRock Debt Strategies Fund, Inc.","NYQ",""
"187","BTCS",6,"BTCS Inc.","PNK",""
"188","HRGLF",6,"Hargreaves Lansdown plc","PNK",""
"189","CVALF",6,"Covalon Technologies Ltd.","PNK",""
"190","VLDI",6,"Validian Corporation","PNK","Security Software & Services"
"191","ZMRK",6,"Zalemark Holding Company Inc.","PNK",""
"192","QCCO",6,"QC Holdings, Inc.","PNK","Savings & Loans"
"193","RWWI",6,"Rand Worldwide, Inc.","PNK","Business Software & Services"
"194","KNYJY",6,"KONE Oyj","PNK",""
"195","TERRF",6,"TERNA - Rete Elettrica Nazionale Società per Azioni","PNK",""
"196","PBHC",6,"Pathfinder Bancorp, Inc.","NCM","Savings & Loans"
"197","IAUGY",6,"Insurance Australia Group Limited","PNK",""
"198","CHYCY",6,"Chiyoda Corporation","PNK",""
"199","QMIS",6,"QMIS Finance Securities Corporation","PNK",""
"200","ELCI",6,"Eastern Light Capital, Incorporated","PNK",""
"201","NBIO",6,"Nascent Biotech Inc.","PNK",""
"202","KWHIF",6,"Kawasaki Heavy Industries, Ltd.","PNK",""
"203","CMFV",6,"ComF5 International, Inc.","PNK",""
"204","MFSF",6,"MutualFirst Financial, Inc.","NGM","Regional - Midwest Banks"
"205","WTBA",6,"West Bancorporation, Inc.","NMS","Regional - Southwest Banks"
"206","RSNHF",6,"Resona Holdings, Inc.","PNK",""
"207","CMHHY",6,"China Merchants Port Holdings Company Limited","PNK",""
"208","HIG",6,"The Hartford Financial Services Group, Inc.","NYQ","Property & Casualty Insurance"
"209","AMAR",6,"Amarillo Biosciences, Inc.","PNK","Biotechnology"
"210","GVSI",6,"Good Vibrations Shoes Inc.","PNK",""
"211","JFR",6,"Nuveen Floating Rate Income Fund","NYQ",""
"212","ONCS",6,"OncoSec Medical Incorporated","NCM","Biotechnology"
"213","CSHB",6,"Community Shores Bank Corporation","PNK","Regional - Southwest Banks"
"214","ADDDF",6,"Adidas AG","PNK",""
"215","KTH",6,"Corts Trust For Peco Energy Capital Trust III","NYQ",""
"216","CSKL",6,"Catskill Hudson Bancorp, Inc.","PNK",""
"217","BTZ",6,"BlackRock Credit Allocation Income Trust","NYQ",""
"218","TDCH",6,"30DC, Inc.","PNK",""
"219","IPDQF",6,"ImpediMed Limited","PNK",""
"220","DORM",6,"Dorman Products, Inc.","NMS","Auto Parts"
"221","CVV",6,"CVD Equipment Corporation","NCM","Diversified Machinery"
"222","TSYI",6,"Terra Systems Inc.","PNK",""
"223","MFMLF",6,"Marifil Mines Ltd.","PNK",""
"224","FBSI",6,"First Bancshares, Inc.","PNK","Savings & Loans"
"225","UCBA",6,"United Community Bancorp","NGM","Savings & Loans"
"226","ROLL",6,"RBC Bearings Incorporated","NMS","Machine Tools & Accessories"
"227","GBTZY",6,"Global Logistic Properties Limited","PNK",""
"228","ALSI",6,"Atlas Resources International Inc.","PNK",""
"229","BXBLY",6,"Brambles Limited","PNK",""
"230","CFNB",6,"California First National Bancorp","NGM","Regional - Pacific Banks"
"231","SCND",6,"Scientific Industries, Inc.","PNK",""
"232","LDKB",6,"Landmark Bancorp, Inc.","PNK",""
"233","HLKMF",6,"Frontier Lithium Inc.","PNK",""
"234","FOXF",6,"Fox Factory Holding Corp","NMS","Recreational Vehicles"
"235","CNKEF",6,"Chinook Energy Inc.","PNK",""
"236","EVEP",6,"EV Energy Partners, L.P.","NMS","Oil & Gas Drilling & Exploration"
"237","NDGPF",6,"Nine Dragons Paper (Holdings) Limited","PNK",""
"238","FCCT",6,"First Community Corporation","PNK",""
"239","IHSFF",6,"iShares II Public Limited Company - iShares $ TIPS UCITS ETF","PNK",""
"240","FCCY",6,"1st Constitution Bancorp","NGM","Regional - Northeast Banks"
"241","JMDA",6,"Jerrick Media Holdings, Inc.","PNK",""
"242","WWNTF",6,"Want Want China Holdings Limited","PNK",""
"243","AMVGF",6,"AMVIG Holdings Limited","PNK",""
"244","NKSH",6,"National Bankshares, Inc.","NCM","Regional - Mid-Atlantic Banks"
"245","RCAR",6,"RenovaCare, Inc.","PNK","Biotechnology"
"246","HOWWF",6,"Hopewell Holdings Limited","PNK",""
"247","TAWNF",6,"Thai Airways International Public Company Limited","PNK",""
"248","CDNAF",6,"Canadian Tire Corporation, Limited","PNK",""
"249","DYSOF",6,"Greatcell Solar Limited","PNK",""
"250","NSFC",6,"Northern States Financial Corporation","PNK","Regional - Midwest Banks"
"251","SONVY",6,"Sonova Holding AG","PNK",""
"252","SOHOF",6,"SOHO China Limited","PNK","REIT - Hotel/Motel"
"253","CTMCF",6,"Canterra Minerals Corporation","PNK",""
"254","EFSC",6,"Enterprise Financial Services Corp","NMS","Regional - Southwest Banks"
"255","ISRG",6,"Intuitive Surgical, Inc.","NMS","Medical Appliances & Equipment"
"256","CRTO",6,"Criteo S.A.","NMS","Internet Information Providers"
"257","CHIF",6,"China Food & Beverage Company","PNK",""
"258","DKSHF",6,"DKSH Holding Ltd.","PNK",""
"259","NVAFF",6,"Paysafe Group Plc","PNK",""
"260","SIMO",6,"Silicon Motion Technology Corporation","NMS","Diversified Electronics"
"261","RNG",6,"RingCentral, Inc.","NYQ","Application Software"
"262","NLNK",6,"NewLink Genetics Corporation","NGM","Biotechnology"
"263","BSL",6,"Blackstone/GSO Senior Floating Rate Term Fund","NYQ",""
"264","ETX",6,"Eaton Vance Municipal Income 2028 Term Trust","NYQ",""
"265","CHWWF",6,"Chesswood Group Limited","PNK",""
"266","QTMM",6,"Quantum Materials Corp.","PNK","Industrial Metals & Minerals"
"267","AVPFF",6,"Avcorp Industries Inc.","PNK",""
"268","BMI",6,"Badger Meter, Inc.","NYQ","Scientific & Technical Instruments"
"269","FNMAN",6,"Federal National Mortgage Association","PNK",""
"270","CHKDP",6,"Chesapeake Energy Corporation","PNK",""
"271","LZAGF",6,"Lonza Group Ltd","PNK",""
"272","OCQLF",6,"01 Communique Laboratory Inc.","PNK",""
"273","CHKP",6,"Check Point Software Technologies Ltd.","NMS","Security Software & Services"
"274","SGAMF",6,"Sega Sammy Holdings Inc.","PNK",""
"275","FINMY",6,"Leonardo S.p.a.","PNK",""
"276","GLUSF",6,"Gluskin Sheff + Associates Inc.","PNK",""
"277","ANAV",6,"Alpha Network Alliance Ventures Inc.","PNK","Internet Information Providers"
"278","STAF",6,"Staffing 360 Solutions, Inc.","NCM","Staffing & Outsourcing Services"
"279","YARIY",6,"Yara International ASA","PNK",""
"280","TRXC",6,"TransEnterix, Inc.","ASE","Medical Instruments & Supplies"
"281","MRCY",6,"Mercury Systems, Inc.","NMS","Computer Peripherals"
"282","OAKS",6,"Five Oaks Investment Corp.","NYQ","REIT - Residential"
"283","ARDC",6,"Ares Dynamic Credit Allocation Fund, Inc.","NYQ",""
"284","NTIP",6,"Network-1 Technologies, Inc.","ASE","Communication Equipment"
"285","FBC",6,"Flagstar Bancorp, Inc.","NYQ","Savings & Loans"
"286","SONVF",6,"Sonova Holding AG","PNK",""
"287","QUTIF",6,"Questor Technology Inc.","PNK",""
"288","ASGN",6,"On Assignment, Inc.","NYQ","Staffing & Outsourcing Services"
"289","BBG",6,"Bill Barrett Corporation","NYQ","Oil & Gas Drilling & Exploration"
"290","TSSJF",6,"Tsutsumi Jewelry Co., Ltd.","PNK",""
"291","SLCJY",6,"SLC Agrícola S.A.","PNK",""
"292","DHI",6,"D.R. Horton, Inc.","NYQ","Residential Construction"
"293","JCYCF",6,"Jardine Cycle & Carriage Limited","PNK",""
"294","HBAYF",6,"Hudson's Bay Company","PNK",""
"295","HNFSA",6,"Hanover Foods Corporation","PNK",""
"296","STML",6,"Stemline Therapeutics, Inc.","NCM","Biotechnology"
"297","IORG",6,"INTREorg Systems, Inc.","PNK","Information & Delivery Services"
"298","OIIM",6,"O2Micro International Limited","NMS","Diversified Electronics"
"299","SECYF",6,"Secure Energy Services Inc.","PNK",""
"300","MAOMF",6,"Maudore Minerals Ltd.","PNK",""
"301","BFFI",6,"Ben Franklin Financial, Inc.","OBB","Regional - Midwest Banks"
"302","CNTO",6,"Centor Energy, Inc.","PNK","Industrial Metals & Minerals"
"303","TKECF",6,"Tokyo Electric Power Company Holdings, Incorporated","PNK",""
"304","MOMO",6,"Momo Inc.","NMS","Internet Software & Services"
"305","PBPB",6,"Potbelly Corporation","NMS","Specialty Eateries"
"306","TEGR",6,"Terra Energy & Resource Technologies, Inc.","PNK","Oil & Gas Equipment & Services"
"307","SILS",6,"Silver Scott Mines, Inc.","PNK",""
"308","MLNX",6,"Mellanox Technologies, Ltd.","NMS","Semiconductor - Broad Line"
"309","MCEP",6,"Mid-Con Energy Partners, LP","NMS","Independent Oil & Gas"
"310","KMAAF",6,"Komax Holding AG","PNK",""
"311","MRK",7,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major"
"312","WMT",7,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores"
"313","CVE",7,"Cenovus Energy Inc.","NYQ","Oil & Gas Drilling & Exploration"
"314","RATHF",7,"Rathdowney Resources Ltd.","PNK",""
"315","MXC",7,"Mexco Energy Corporation","ASE","Independent Oil & Gas"
"316","CLW",7,"Clearwater Paper Corporation","NYQ","Paper & Paper Products"
"317","SPGYF",7,"Whitecap Resources Inc.","PNK",""
"318","BIOQ",7,"BIOQUAL, Inc.","PNK",""
"319","BTE",7,"Baytex Energy Corp.","NYQ","Independent Oil & Gas"
"320","TREVF",7,"Trevali Mining Corporation","PNK",""
"321","GNMK",7,"GenMark Diagnostics, Inc.","NGM","Medical Appliances & Equipment"
"322","CHKIF",7,"China Southern Airlines Company Limited","PNK",""
"323","JMF",7,"Nuveen Energy MLP Total Return Fund","NYQ",""
"324","AGHI",7,"Agora Holdings, Inc.","PNK",""
"325","ARGEF",7,"Argex Titanium Inc.","PNK",""
"326","SZKMF",7,"Suzuki Motor Corporation","PNK",""
"327","CHPGF",7,"Chesapeake Gold Corp.","PNK",""
"328","KEX",7,"Kirby Corporation","NYQ","Shipping"
"329","OGEN",7,"Oragenics, Inc.","ASE","Biotechnology"
"330","PDS",7,"Precision Drilling Corporation","NYQ","Oil & Gas Equipment & Services"
"331","ALGT",7,"Allegiant Travel Company","NMS","Regional Airlines"
"332","FZMD",7,"Fuse Medical, Inc.","PNK",""
"333","ANF",7,"Abercrombie & Fitch Co.","NYQ","Apparel Stores"
"334","MAURY",7,"Marui Group Co., Ltd.","PNK",""
"335","ATHOF",7,"Athabasca Oil Corporation","PNK",""
"336","HBHC",7,"Hancock Holding Company","NMS","Regional - Southeast Banks"
"337","NRP",7,"Natural Resource Partners L.P.","NYQ","Industrial Metals & Minerals"
"338","SMFNF",7,"Sumitomo Mitsui Financial Group, Inc.","PNK",""
"339","SHLRF",7,"Schindler Holding AG","PNK",""
"340","IGGHY",7,"IG Group Holdings plc","PNK",""
"341","TXHD",7,"Textmunication Holdings, Inc.","PNK",""
"342","VPTDF",7,"VentriPoint Diagnostics Ltd.","PNK",""
"343","BCEI",7,"Bonanza Creek Energy Inc.","NYQ","Independent Oil & Gas"
"344","FOLGF",7,"Falcon Oil & Gas Ltd.","PNK",""
"345","CRHKY",7,"China Resources Beer (Holdings) Company Limited","PNK",""
"346","GST",7,"Gastar Exploration Inc.","ASE","Independent Oil & Gas"
"347","MYMX",7,"Mymetics Corporation","PNK",""
"348","CCOHF",7,"China State Construction International Holdings Limited","PNK",""
"349","BWMG",7,"Brownie's Marine Group, Inc.","PNK","Recreational Goods, Other"
"350","IHLDY",7,"Imperial Holdings Limited","PNK",""
"351","KYN",7,"Kayne Anderson MLP Investment Company","NYQ",""
"352","AVOA",7,"Avoca LLC","PNK",""
"353","BEPTF",7,"Beach Energy Limited","PNK",""
"354","IMPUY",7,"Impala Platinum Holdings Limited","PNK",""
"355","SGY",7,"Stone Energy Corporation","NYQ","Independent Oil & Gas"
"356","LFVN",7,"Lifevantage Corporation","NCM","Personal Products"
"357","KGC",7,"Kinross Gold Corporation","NYQ","Gold"
"358","MAMS",7,"MAM Software Group, Inc.","NCM","Business Software & Services"
"359","OXLC",7,"Oxford Lane Capital Corp.","NMS",""
"360","ICON",7,"Iconix Brand Group, Inc.","NMS","Textile - Apparel Footwear & Accessories"
"361","WERN",7,"Werner Enterprises, Inc.","NMS","Trucking"
"362","SID",7,"Companhia Siderúrgica Nacional","NYQ","Steel & Iron"
"363","EGPLF",7,"Eagle Plains Resources Ltd.","PNK",""
"364","PG",8,"The Procter & Gamble Company","NYQ","Personal Products"
"365","VZ",8,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic"
"366","MSFT",8,"Microsoft Corporation","NMS","Business Software & Services"
"367","BACHY",8,"Bank of China Limited","PNK",""
"368","BSAC",8,"Banco Santander-Chile","NYQ","Money Center Banks"
"369","ARR",8,"ARMOUR Residential REIT, Inc.","NYQ","REIT - Residential"
"370","SVNDY",8,"Seven & i Holdings Co., Ltd.","PNK",""
"371","DSNKY",8,"Daiichi Sankyo Company, Limited","PNK",""
"372","TKC",8,"Turkcell Iletisim Hizmetleri A.S.","NYQ","Wireless Communications"
"373","RCI",8,"Rogers Communications Inc.","NYQ","Wireless Communications"
"374","ASAGF",8,"Australian Agricultural Company Limited","PNK",""
"375","MNBEY",8,"MinebeaMitsumi Inc.","PNK",""
"376","MYI",9,"BlackRock MuniYield Quality Fund III, Inc.","NYQ",""
"377","NAN",9,"Nuveen New York Quality Municipal Income Fund","NYQ",""
"378","KSM",9,"Deutsche Strategic Municipal Income Trust","NYQ",""
"379","PMM",9,"Putnam Managed Municipal Income Trust","NYQ",""
"380","BTA",9,"BlackRock Long-Term Municipal Advantage Trust","NYQ",""
"381","NMY",9,"Nuveen Maryland Quality Municipal Income Fund","NYQ",""
"382","AEO",9,"American Eagle Outfitters, Inc.","NYQ","Apparel Stores"
"383","SFS",9,"Smart & Final Stores, Inc.","NYQ","Grocery Stores"
"384","KTF",9,"Deutsche Municipal Income Trust","NYQ",""
"385","MCA",9,"BlackRock MuniYield California Quality Fund, Inc.","NYQ",""
"386","EQCO",10,"Equity Commonwealth","NYQ",""
"387","AFSD",10,"Aflac Incorporated","NYQ",""
"388","AHH",10,"Armada Hoffler Properties, Inc.","NYQ","REIT - Diversified"
"389","BRBOF",10,"Brembo S.p.A.","PNK",""
"390","GORAF",10,"Goldrea Resources Corp.","PNK",""
"391","DOLLF",10,"Dolly Varden Silver Corporation","PNK",""
"392","GELV",10,"Green Energy Live, Inc.","PNK",""
"393","GLBXF",10,"Globex Mining Enterprises Inc.","PNK",""
"394","STKXF",10,"Strikepoint Gold Inc.","PNK",""
"395","CAOVY",10,"China Overseas Land & Investment Limited","PNK",""
