"","Bank rate","Target rate","BAR 1-month","BAR 2-month","BAR 3-month","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years"
"2018-02-14",0.00206108929065544,0.00199121756250416,0.0594224559853919,0.0700446919811198,0.0689251321965123,0.0022784598181494,0.0296890346874392,0.07082866819026,0.0758805370020225,0.0630989521116746,0.0848639007627138,0.040913157221525,0.0447399115976955,0.0456446628021514,0.0758332676211882,0.036717047241328,0.0418767052997595,0.0466538869161193,0.0858557153027317,0.0526815064090584
"2018-02-15",0.00192417001617847,0.0018170568474299,0.0700400988754549,0.062780286715209,0.0699514063412607,0.00183964439294161,0.0356659256414964,0.0682724400626784,0.0669676303105333,0.0575818411110229,0.0910103261124199,0.0400746075323524,0.0439035620216472,0.0416715500001826,0.080848517698173,0.0322152790346184,0.0446521218669347,0.0435756745722013,0.0856178359630223,0.0595900248842428
"2018-02-16",0.0025612662137527,0.00218046394520238,0.0584547871858192,0.0663164137637953,0.0607144876950613,0.00195964955970861,0.0305404569783149,0.0768322296411165,0.0712566814085671,0.0561367917148536,0.0785937808019007,0.0424365759931989,0.046404218570349,0.0476916598394116,0.0835376569684715,0.0447347731469316,0.0402048941080966,0.04214536285464,0.0831794668300521,0.0641183827807567
"2018-02-17",0.00201664433380629,0.00204260362315968,0.0574097705460131,0.066639501661472,0.0706267738405955,0.00210318306839269,0.0356841960561459,0.068234438287974,0.0758870455464462,0.0443882868692814,0.0901774568236713,0.0435512002143036,0.0453467174045267,0.0488986952113945,0.0875270468603075,0.030617639232701,0.0396958594701892,0.0455729341258909,0.0989495758399029,0.0446304309838255
"2018-02-18",0.00170146875046127,0.00152736711114854,0.068645730636802,0.0645816657271776,0.0662075422762498,0.00194668865904351,0.0451829729125988,0.0703517746557561,0.0804178948985226,0.0671795623261918,0.0742069416642119,0.0472882657952693,0.0472229381335397,0.0524414323941269,0.0798858562815992,0.0254032765390088,0.0397653315470144,0.0453693490638188,0.0768587135322804,0.0438152270951785
"2018-02-19",0.00204896325364519,0.00181036339291397,0.0631002029805093,0.0654749558191179,0.0683653003306054,0.00203896253719864,0.0417248695127596,0.0713908868174103,0.0772172719149146,0.0572648357444379,0.0693058576972887,0.0481083648955123,0.0561700211641847,0.0540179466161432,0.0827473012036404,0.0236915889627055,0.0501911376284683,0.0456606103978082,0.0782768915130631,0.041393667617673
"2018-02-20",0.00207980699807182,0.00143933160961141,0.0640645896452013,0.0642310769108313,0.0607087797417819,0.00241480529290828,0.0376924051856003,0.0654740421699399,0.0772954437988478,0.0600442627543387,0.083819375323806,0.041504419250458,0.0467017416596504,0.0512684642096922,0.0792982549509131,0.0342899690948121,0.0408982089627383,0.0457583573096941,0.0857749573981659,0.0552417077329372
"2018-02-21",0.00153919435208383,0.00172339347575272,0.0713399624280714,0.0643084807216812,0.0676787854068365,0.00206314484797521,0.0403992046609553,0.0661413480274981,0.0862335818193951,0.0567328104436131,0.0828407506521379,0.0428405406124825,0.0451473925548998,0.0512811277936708,0.0832183183087795,0.0282396687415445,0.0365810853129745,0.0452791875017374,0.084756022742353,0.0416559995955574
"2018-02-22",0.00167613233508051,0.00194479870420032,0.0768027443529108,0.0762977859406052,0.0785359269919345,0.00220027325596883,0.0401276050549993,0.0682329356884436,0.0872978447101549,0.0615162576388542,0.0716113370003899,0.042908433678537,0.04743981756998,0.0431538519175989,0.0692668113779598,0.0266820553005432,0.0440205085780104,0.0408425980998877,0.0684377826180448,0.0510044991858961
"2018-02-23",0.00228584397901554,0.00182831311117852,0.0619159257663281,0.0609933460351847,0.0575398920156282,0.002175700338357,0.0298953604683232,0.0879449320474504,0.0657805727541893,0.0571154170834817,0.100141140339419,0.0396327916214592,0.04205525783097,0.0496944682411133,0.0780154427616195,0.0400407720535464,0.0396601382205858,0.0458167498408799,0.0803921697372795,0.0570757657539904
