"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XEB.TO",0.002,0.023,0.007,0.126,1,-0.005,-0.002,-0.001,0,0,0,0.001,0.003,0.006,"XEB.TO","iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged)"
"VBU.TO",0.002,0.017,0.008,0.17,1,-0.003,-0.002,-0.001,0,0,0,0.001,0.002,0.003,"VBU.TO","Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged)"
"FDE.TO",0.001,0.012,0.003,0.372,1,-0.005,0,0,0,0,0,0,0,0.013,"FDE.TO","First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged)"
"XHY.TO",0.002,0.02,0.007,0.136,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"XHY.TO","iShares U.S. High Yield Bond Index ETF (CAD-Hedged)"
"CHB.TO",0.001,0.022,0.006,0.116,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"CHB.TO","iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)"
"ZFM.TO",0.002,0.01,0.007,0.303,1,-0.003,-0.002,-0.001,0,0,0.001,0.001,0.002,0.003,"ZFM.TO","BMO Mid Federal Bond Index ETF"
"ZMU.TO",0.002,0.022,0.007,0.127,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"ZMU.TO","BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF"
"XSH.TO",0.001,0.011,0.007,0.283,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.002,"XSH.TO","iShares Core Canadian Short Term Corporate + Maple Bond Index ETF"
"VBG.TO",0.002,0.011,0.007,0.3,1,-0.002,-0.001,0,0,0,0,0.001,0.002,0.003,"VBG.TO","Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged)"
"XCD.TO",0.002,0.001,0.007,0.976,1,-0.01,-0.003,0,0,0,0.003,0.006,0.009,0.013,"XCD.TO","iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged)"
"^GDAXI",0.013,0.015,0.037,0.221,2,-0.012,-0.005,-0.002,-0.001,0,0.003,0.005,0.008,0.013,"^GDAXI","^GDAXI"
"^FCHI",0.018,0.009,0.043,0.338,2,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"^FCHI","^FCHI"
"^N100",0.023,0.009,0.054,0.337,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"^N100","^N100"
"^CXKCX",0.006,0.023,0.017,0.138,2,-0.014,-0.007,-0.004,-0.001,0,0.004,0.006,0.01,0.016,"^CXKCX","^CXKCX"
"C060.DE",0.02,0.011,0.052,0.284,2,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.009,"C060.DE","ComStage - STOXX Europe 600 NR UCITS ETF"
"SC0C.DE",0.027,0.01,0.063,0.311,2,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.011,"SC0C.DE","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"EXH2.F",0.006,0.008,0.017,0.415,2,-0.01,-0.005,-0.002,0,0.001,0.003,0.005,0.007,0.011,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"C064.F",0.01,0.009,0.024,0.357,2,-0.011,-0.005,-0.002,0,0.001,0.003,0.005,0.008,0.013,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"EXV8.F",0.009,0.025,0.022,0.097,2,-0.011,-0.005,-0.002,0,0,0.003,0.005,0.007,0.012,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXV7.F",0.009,0.01,0.022,0.308,2,-0.011,-0.005,-0.002,0,0,0.003,0.005,0.009,0.013,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"C060.F",0.013,0.012,0.038,0.263,2,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"C060.F","ComStage - STOXX Europe 600 NR UCITS ETF"
