"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"NPR",0.00826,3,0.99519,0.9977,0.99901,0.9998,1.00014,1.00175,1.00285,1.00399,1.00733,"Nepalese Rupee"
"PYG",0.01189,3,0.99539,0.99786,0.99862,0.99955,0.99989,1.00136,1.00204,1.00358,1.00712,"Guarani"
"PAB",0.03047,3,0.99624,0.99884,0.99939,0.9998,0.99997,1.00038,1.00101,1.00263,1.00596,"Balboa US Dollar"
"SVC",0.03391,3,0.99626,0.99891,0.99946,0.99983,0.99995,1.00041,1.00106,1.00261,1.00588,"El Salvador Colon US Dollar"
"SDG",0.01678,3,0.99592,0.99844,0.99931,0.99983,0.99994,1.00055,1.00149,1.0033,1.00927,"Sudanese Pound"
"TTD",0.01188,3,0.99453,0.99785,0.99908,0.99982,1,1.00077,1.00174,1.00374,1.00944,"Trinidad and Tobago Dollar"
"UAH",0.00947,3,0.99442,0.99804,0.99959,1,1,1.0013,1.00274,1.00414,1.00882,"Hryvnia"
"UGX",0.01554,3,0.99532,0.99854,0.99933,0.99994,1.00038,1.00122,1.00208,1.0038,1.00676,"Uganda Shilling"
"BGN",0.01788,4,0.99424,0.99667,0.99761,0.99918,0.99958,1.00201,1.0032,1.00527,1.00815,"Bulgarian Lev"
"CVE",0.01099,4,0.99486,0.99695,0.99833,0.99939,0.99985,1.00183,1.0031,1.00448,1.00666,"Cape Verde Escudo"
"CZK",0.01924,4,0.99349,0.99639,0.99786,0.99938,0.99981,1.0015,1.00308,1.00558,1.00817,"Czech Koruna"
"CHF",0.00652,4,0.99493,0.99728,0.99853,0.99992,1.00042,1.00166,1.00274,1.00437,1.00719,"Swiss Franc"
"HRK",0.01953,4,0.99422,0.99695,0.99782,0.99937,0.99996,1.00149,1.00258,1.00459,1.00863,"Croatian Kuna"
"DKK",0.02534,4,0.99496,0.99706,0.99803,0.99934,0.99984,1.00165,1.00289,1.00456,1.00717,"Danish Krone"
"DZD",0.00547,4,0.99791,0.99907,0.99948,0.99977,1.00009,1.00088,1.00144,1.00237,1.0044,"Algerian Dinar"
"EUR",0.02563,4,0.99496,0.9971,0.99808,0.99934,0.99977,1.00174,1.00288,1.00445,1.00727,"Euro"
"GBP",0.00489,4,0.99407,0.99723,0.99831,0.99935,0.99968,1.00157,1.00292,1.00469,1.00772,"Pound Sterling"
"HUF",0.01792,4,0.99307,0.9966,0.99841,0.99947,1.00015,1.00249,1.00406,1.00575,1.00889,"Forint"
"ILS",0.00392,4,0.99554,0.9977,0.99844,0.99965,0.99989,1.00134,1.00256,1.00406,1.00598,"New Israeli Sheqel"
"ISK",0.0067,4,0.99349,0.9966,0.99817,0.9999,1.00033,1.00198,1.00371,1.00639,1.009,"Iceland Krona"
"JPY",0.00411,4,0.9939,0.99681,0.99837,0.99967,0.99994,1.0019,1.00317,1.00483,1.00769,"Yen"
"MKD",0.00977,4,0.99365,0.99687,0.99811,0.99962,1.00006,1.00151,1.00293,1.00509,1.00848,"Denar"
"NOK",0.00989,4,0.99282,0.9962,0.9979,0.99907,0.99971,1.00153,1.00346,1.00562,1.00971,"Norwegian Krone"
"PLN",0.01839,4,0.99342,0.99596,0.99758,0.99887,0.9996,1.00177,1.00339,1.00616,1.01054,"Zloty"
"RON",0.01567,4,0.99446,0.99692,0.99812,0.99965,1.00006,1.00201,1.00287,1.00443,1.00788,"New Leu"
"RSD",0.00918,4,0.99304,0.99639,0.99771,0.99907,0.99975,1.00158,1.0035,1.00551,1.00853,"Serbian Dinar"
"SEK",0.01034,4,0.99309,0.99654,0.99811,0.99934,1,1.00239,1.00391,1.0064,1.00967,"Swedish Krona"
"TND",0.00346,4,0.98782,0.9952,0.99758,0.99979,1.00032,1.0028,1.0054,1.00918,1.01637,"Tunisian Dinar"
"XOF",0.00547,4,0.9926,0.99621,0.99754,0.99914,0.99965,1.00189,1.00375,1.00571,1.0115,"CFA Franc BCEAO"
"XPF",0.01578,4,0.99462,0.99673,0.99797,0.9994,0.99994,1.00121,1.00297,1.00472,1.00741,"CFP Franc"
"XAF",0.00968,4,0.99442,0.99692,0.9988,0.9996,1.00005,1.00182,1.00273,1.00415,1.00683,"CFA Franc BEAC"
