"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","COUNTRY"
"ILS",0.00432,4,-0.00464,-0.0023,-0.00153,-0.00026,5e-05,0.00139,0.00263,0.00405,0.00573,"New Israeli Sheqel"
"ISK",0.00831,4,-0.00649,-0.00343,-0.002,-0.00017,3e-04,0.00195,0.00373,0.00563,0.00888,"Iceland Krona"
"JPY",0.00426,4,-0.00564,-0.00312,-0.00174,-0.00031,-4e-05,0.00183,0.00317,0.00471,0.00753,"Yen"
"MKD",0.01305,4,-0.00615,-0.00314,-0.00181,-0.00032,0.00017,0.00169,0.00294,0.00528,0.00843,"Denar"
"MGA",0.00407,4,-0.00564,-0.0023,-0.00122,0,0,0.00161,0.0033,0.0053,0.01282,"Malagasy Ariary"
"NOK",0.01067,4,-0.00716,-0.00369,-0.00187,-0.00085,9e-05,0.00191,0.00346,0.00607,0.00984,"Norwegian Krone"
"PLN",0.02094,4,-0.00646,-0.00401,-0.00247,-0.00112,-4e-04,0.00188,0.00349,0.00649,0.01073,"Zloty"
"RON",0.01656,4,-0.00547,-0.00317,-0.00182,-0.00039,3e-05,0.00201,0.00297,0.00467,0.00835,"New Leu"
"RSD",0.01072,4,-0.00618,-0.00357,-0.00215,-0.00089,-2e-04,0.00192,0.00358,0.00575,0.00869,"Serbian Dinar"
"SEK",0.01144,4,-0.00704,-0.00344,-0.0018,-0.00023,0.00024,0.00251,0.00391,0.00644,0.0098,"Swedish Krona"
"TND",0.00373,4,-0.01103,-0.00417,-0.00174,-2e-04,0.00036,0.0028,0.00536,0.00889,0.01572,"Tunisian Dinar"
"XPF",0.01568,4,-0.0053,-0.00309,-0.00171,-0.00051,0,0.00133,0.00296,0.00475,0.00741,"CFP Franc"
"XAF",0.00879,4,-0.0055,-0.00298,-0.00101,-0.00026,2e-04,0.00185,0.00275,0.00438,0.00738,"CFA Franc BEAC"
