"","Bank rate","BAR 1-month","BAR 2-month","BAR 3-month","GCBBY 10 year","GCBBY 2 year","GCBBY 3 year","GCBBY 5 year","GCBBY 7 year","GCBBY long term","GCMB 1 to 3 years","GCMB 3 to 5 years","GCMB 5 to 10 years","GCMB over 10 years","Operating band, high","Operating band, low","Overnight money market financing","PCPR 1-month","PCPR 2-month","PCPR 3-month","RRBBYLT","Target rate","TrB1-month","TrB1-year","TrB2-month","TrB3-month","TrB6-month"
"2018-08-09",0.00497151090964261,0.0361820826529017,0.0462717309427089,0.0520183413144062,0.0303937270770543,0.0551954603307095,0.0337516533644866,0.0474110372518307,0.0366452062996497,0.0275908433488621,0.0622100150948157,0.0481548820029575,0.0307726933892152,0.0284685911378683,0.0056768771835148,0.00427987123774302,0.00438658860838853,0.0550968974867979,0.0602882592651168,0.0581086633101083,0.000512127429894981,0.00550217280187542,0.0677909094295092,0.0773156176585841,0.0352803369696252,0.0372105689049755,0.0485133345967572
"2018-08-10",0.00512035535844966,0.0346772660037511,0.0378192886117621,0.042205993585772,0.0349285826329701,0.0630769905769788,0.0460902568084492,0.0621210008297922,0.0346809861301925,0.0351384905744417,0.0636560602108927,0.0719870067786339,0.0332539954375557,0.0334305231179784,0.00594128698573217,0.00643347245120255,0.00648959959504132,0.0528828942608611,0.0462050801870316,0.0443913893870279,0.00042588568731077,0.0061699849945044,0.0596063427365445,0.0656313799491883,0.035482188941394,0.0315851064358754,0.0405685917306658
"2018-08-11",0.00572187611446239,0.0344640237370472,0.0332004553593482,0.0437796998765476,0.0409565214465319,0.0611570559813389,0.042798342561214,0.066255822136669,0.0400821970763388,0.0415064096200339,0.0511116487534447,0.075895267185338,0.0393272549724578,0.0335911860215105,0.0051905452181008,0.00526075278745938,0.00545450251771159,0.0448628641917082,0.0472198825185067,0.0445949889284094,0.000501064462209089,0.00452246888806342,0.0603082383702711,0.06342297357096,0.0330142707839379,0.0289549520948248,0.0468447348255548
"2018-08-12",0.00579365063232419,0.0299082221894927,0.0332024350392992,0.0437156083131422,0.0344269914621079,0.0610854439769438,0.0389549681119716,0.0686778889723879,0.0392872014375062,0.0376501854283981,0.0468239880807317,0.0708318673299964,0.0413742376630971,0.0378060662324659,0.00585124585260525,0.00640707306413395,0.006677812344461,0.0481901775288205,0.0527215330471968,0.0455411389676713,0.00049487306689531,0.00596469840733039,0.0532748673654478,0.0671402243402345,0.037400601864594,0.0324271589589166,0.0483698403218278
"2018-08-13",0.00442146091670077,0.0292295341125709,0.0313027331009466,0.0393370473933542,0.0387606151224242,0.0684646617199939,0.0454127106113059,0.0645487371997879,0.039895773136224,0.0425498541754635,0.0649804531019487,0.0682612344235391,0.0400598983714509,0.0356265144678038,0.00736207993862387,0.00661710411945503,0.0038701835894429,0.0519653671949595,0.0436223148363407,0.0564581950930672,0.000743861033175679,0.00392623015290107,0.0482494816118694,0.0634167680680241,0.0325497819297644,0.0277685269064143,0.0405988776724473
"2018-08-14",0.00700186993909561,0.0329645683918565,0.0330724605234308,0.0408972847934939,0.0424292257281553,0.0624089066796953,0.0409244412257703,0.064985438489265,0.0442006787494126,0.040098608883989,0.0468758830557388,0.0705700411139415,0.0412676400434793,0.0384301103551113,0.00608873961210645,0.00713951044355255,0.00627858974863708,0.0457211437426896,0.0504413399694183,0.0480143011033726,0.00060275861474576,0.0095863217460836,0.0531456217509874,0.0663991286623929,0.0304352567317699,0.0269974307085034,0.0430226991933051
"2018-08-15",0.00463253290065333,0.0326129155026627,0.0359994998449562,0.0396198455342362,0.0362764140729575,0.0515456693116354,0.0414903161972742,0.0699547037931124,0.0394625724074822,0.0369626606479977,0.0483467340458002,0.0689344263226884,0.03562515303859,0.0348374853325172,0.00469026331583352,0.00574895515062646,0.00651265233092674,0.0509555647194882,0.0560319701078221,0.0487886087089147,0.000598398693349076,0.00634402035856377,0.0520241550417036,0.0715628495563138,0.0398847582560055,0.0297638991115784,0.0507929756963105
"2018-08-16",0.00761360472061453,0.0337132447170538,0.0334607455148131,0.0369451473693037,0.0377320689694688,0.0562905245593105,0.0401744396984288,0.0714140172877236,0.0451606909917076,0.0276518832689452,0.0442999912009748,0.0689972310442737,0.041603853107167,0.0304637866803877,0.0115860596157189,0.00758613590401089,0.0077838918339062,0.0530586923541033,0.054231446446047,0.0531919811685264,0.000388759668707665,0.00783445813216574,0.052650022038906,0.0667277133323917,0.0359417330702055,0.02852407896484,0.044973798340298
"2018-08-17",0.00868308953491925,0.0310323763441347,0.0332929858531554,0.0331692053696638,0.0342180263627459,0.0680015249797756,0.0402252194550314,0.070888219770406,0.0367304548183047,0.026302312996235,0.0481347574721959,0.0679180732292269,0.0359944410915224,0.0239623456826387,0.00721230726301257,0.00980800264159254,0.00785361841920816,0.0600617579709083,0.0562172070710708,0.0510282663154876,0.000351314491719647,0.00760928744536526,0.0476660683817703,0.0722777285263723,0.0413213153567103,0.0301400449776684,0.0499000481791582
"2018-08-18",0.00593318955913789,0.0280841386765251,0.0293412185424386,0.032380337550445,0.0395687143848405,0.0640467509032871,0.0528551701513781,0.0662759848445299,0.0396174900669593,0.020212753042551,0.0571611156878721,0.0679523237729571,0.0410607955456047,0.0299731669703298,0.00763742998337327,0.00663277259625758,0.0069205479974874,0.0518063142905453,0.0507276823150199,0.0499046178504982,0.000934920258053294,0.00612620222674697,0.0484389684849431,0.0724390344794262,0.0423018939927265,0.0286880290816366,0.0529784367444295
