"","^FTSE","AHT.L","CCL.L","VOD.L","CCH.L","SSE.L","PPB.L","NMC.L","TUI.L","RR.L","RTO.L","EXPN.L","ANTO.L","SN.L","PRU.L","NG.L","DLG.L","CNA.L","CPG.L","RMV.L","SMT.L","SHP.L","WG.L","RB.L","SDR.L","SMIN.L","STJ.L","EZJ.L","GVC.L","BATS.L","LSE.L"
"2018-02-21",0.0713453072593112,0.0414374191539446,0.0283673926288031,0.0298736391178223,0.0289120323616735,0.0331270287894569,0.0201847421247957,0.0187874457670917,0.0227950636443737,0.0239347946395411,0.037297708594173,0.0564421469593136,0.0159898158078696,0.0339823727841744,0.0617371454940639,0.0337623449855801,0.0194051878767965,0.0203542717846519,0.0232681084988717,0.0367836779830702,0.0160854394328107,0.0216931983496093,0.0265965638181711,0.0204158735871296,0.0409129069974562,0.0630054285281625,0.0383833040874021,0.0199729000098107,0.0168712944199398,0.0416433349335288,0.0366321095806009
"2018-02-22",0.0664259640808618,0.0401738055779963,0.0279174010182553,0.0281356709484372,0.0283787392405006,0.0311952142550278,0.0196552393417137,0.0208002017148225,0.0246077781077871,0.0265957458039577,0.0350581220082014,0.0561443149685324,0.016924781843196,0.0346483445339693,0.0682856833874818,0.0321984029020066,0.0184535437832813,0.0217946113238737,0.0232663427667465,0.0374810601694106,0.0177713129955523,0.022443470749171,0.0258328037880656,0.0216694495211376,0.0407807906615905,0.0618333920257724,0.0368181590201982,0.0211575426984761,0.0167075773052682,0.0409717598525116,0.0358727736061967
"2018-02-23",0.0713686684340507,0.0409649266505625,0.0299678031731767,0.0292362557043592,0.0287579328812775,0.0314528063353218,0.0196258377974242,0.0215239235472067,0.0249302058299382,0.0271438511915419,0.038284438323472,0.0587385564843579,0.0170720445364206,0.0353844256249511,0.0645695506420653,0.0359800209119129,0.0178661707315515,0.0206877596359655,0.0242192572285736,0.030938895299716,0.0162977943623941,0.0205801684037479,0.0252099923610906,0.0232959939349125,0.040177648730506,0.0581967656436105,0.0363782610242506,0.0203427110548767,0.0172257784927084,0.0384096375385896,0.0351719174894672
"2018-02-26",0.0721035197794179,0.0440580679835246,0.0306691307832084,0.0284412283827432,0.0271282157867076,0.0309853089826295,0.0207028184761,0.021373400475849,0.0217954012892519,0.0281267158390709,0.0326234638195871,0.0573896790385283,0.0157353367089434,0.0353184478710617,0.0659073303287369,0.0343148838206377,0.0189843601175295,0.022404826054866,0.024977399779716,0.0316027044512956,0.0164723205264941,0.0209059094614253,0.027803910379542,0.0231252439216888,0.0416625975164578,0.0629475821367006,0.0326723808340575,0.0197663959541748,0.0175578988533076,0.0376816478222581,0.034761872824488
"2018-02-27",0.0697183898680892,0.0378000274309729,0.0302632144462073,0.0269840522690936,0.0272220907605946,0.0298181759617692,0.0202186203056376,0.0221880105991104,0.0215924271318468,0.0268069894834093,0.0321771044385202,0.0547824745251016,0.0159045642357487,0.0350635249094119,0.0665011633074929,0.0374688052323875,0.0200822972444835,0.0255112569536672,0.023182783943934,0.0331029323872385,0.0164414915136032,0.0191555097987075,0.0258013910243225,0.0211091053312339,0.0449748962986172,0.0568986347430032,0.0386890496979607,0.0218220456604164,0.0182270357055714,0.0402722005388554,0.0402197342529916
"2018-02-28",0.071522123903114,0.0377286070407812,0.0284063491799266,0.0283701655340991,0.0273431372173555,0.0313435495005471,0.0227439272243037,0.0229428885321815,0.0224569438450578,0.0283465165402287,0.0381753982347291,0.0542445570864119,0.0162113408934111,0.0350636092820589,0.0620964975273211,0.0375008479756214,0.0195052378030465,0.0237016112666865,0.025087539681846,0.0340417656057216,0.0162234932184445,0.0168588827299457,0.028958705761766,0.0228146324551221,0.0446181305017103,0.0564400136043335,0.0312588870825352,0.0212502541326056,0.0170244565806322,0.0421490436143482,0.0355708864441074
"2018-03-01",0.0737500185911189,0.0384274006914251,0.0321611983834329,0.0275630177094877,0.0282684077036797,0.0297513541644496,0.0237957988890968,0.0204196329865096,0.0202048614375826,0.0293407515189845,0.0383096921577739,0.0566343135737317,0.0156432490372031,0.0312030185882836,0.053187062342785,0.0341943848633396,0.0207319054055779,0.0208353108486423,0.0247120619214544,0.0340977294479692,0.0157793704626222,0.018509918394508,0.0249318041428433,0.0223675747478685,0.0449623255257796,0.0569080196596801,0.0367520268322576,0.0298047504924821,0.0170347645384596,0.0381770970616382,0.0415411778793328
"2018-03-02",0.0759091201189419,0.0461703096440938,0.0339801919203325,0.0267667275445039,0.0260394213055214,0.0283936326732578,0.0236745385225838,0.0203870451211742,0.0226255454011907,0.0284645214739517,0.0296752137632378,0.0536129993943088,0.0154855868064137,0.031992291849091,0.0594612794847746,0.0320012572043753,0.0213482960690985,0.0209310872003144,0.0252558998220072,0.0305251514460034,0.0170239347895162,0.0176792190827828,0.0268906060251706,0.0218021441459642,0.0404882562203759,0.0593617477970898,0.0374532143551761,0.028821115419115,0.0174974913281013,0.0375435313974524,0.0427386226740794
"2018-03-05",0.0734332527678039,0.048977627649863,0.0348716259698092,0.0292338983768438,0.0274064125524993,0.0269239506015728,0.0215731028942824,0.0226146512355189,0.0216279692828636,0.0278836570324173,0.024326848387093,0.0496453300689709,0.0167293097825064,0.0320694348444607,0.0596818356311524,0.0323659193058829,0.0227551306303764,0.0217789310264152,0.0271686524402691,0.0287567491802967,0.0167688325544177,0.0191321412526046,0.026757745539004,0.0221733060348082,0.0410585083179515,0.0627238556957224,0.0377697882789897,0.0293626536543277,0.0185206687558523,0.0332848528263739,0.04262335742905
"2018-03-06",0.0742758152507091,0.0384701420542672,0.0368070601529657,0.0272969107982659,0.0270712193774297,0.0298505432681787,0.022240276844798,0.0225124968839008,0.0205244179496084,0.0312358898190237,0.0256446256276378,0.0506486661828965,0.017002435370712,0.0311377118396789,0.0592114809788201,0.0346316425766783,0.0243862816175455,0.0206579842812565,0.025213530356793,0.0286621697293838,0.0169874988011963,0.0188783147323867,0.0267522802906269,0.0219289761869976,0.0416515739594626,0.0596398507711229,0.0384594931783535,0.031012015529829,0.0188562379160271,0.033907182691494,0.0444452749819538
