"","EWZ","^BVSP","BBDC4.SA","RADL3.SA","ITSA4.SA","PETR3.SA","LAME4.SA","BRML3.SA","LREN3.SA","SBSP3.SA","EQTL3.SA","PETR4.SA","TIMP3.SA","BBDC3.SA","MULT3.SA","BBSE3.SA","PCAR4.SA","VIVT4.SA","UGPA3.SA","USIM5.SA","BRKM5.SA","BBAS3.SA","ENBR3.SA","CCRO3.SA","JBSS3.SA","ECOR3.SA","CMIG4.SA","OIBR4.SA"
"2018-06-08",0.0158753462382267,0.0775244224587829,0.069937771501825,0.0224701083595961,0.0716127971976887,0.0348525722667094,0.0439828103299183,0.0289664083773568,0.0244966404183813,0.0213760280331517,0.0465377007114762,0.0372177318108874,0.0354390877039355,0.05503612145507,0.0522147766524964,0.0287287410904586,0.0424843330485838,0.0211692929490387,0.0198955295637146,0.0241242375956981,0.0197539149181463,0.0372715052934524,0.0186786938356785,0.0266701806521033,0.0145193437390011,0.0468380401816242,0.0410471512891142,0.0212787123278839
"2018-06-11",0.0144788438794241,0.0815634838895772,0.0772153013211224,0.0214192170785973,0.0742081004755764,0.0330952105452536,0.0486861742327881,0.0303692906482326,0.0214858894327657,0.0201420655890921,0.0442367522411037,0.0373103670624639,0.0347277567980314,0.0578790912198026,0.0534974346536876,0.0265789796761964,0.0426939406104094,0.0211910757255922,0.0200592732036853,0.0216501397757775,0.017045281034374,0.0352310893476813,0.0172260406070101,0.0261406710635893,0.0132473603324197,0.0509842394306576,0.0409613373247807,0.0166755928003077
"2018-06-12",0.0152850595531489,0.0752618573449444,0.0754131859285235,0.0217156468399115,0.0714083240576281,0.0318777512167405,0.0486628576306686,0.034238704124416,0.0223154029409324,0.0195624636914034,0.0464779255240319,0.0363211930830236,0.0332399738365731,0.0593571603786598,0.0546287204338529,0.0244021300714651,0.0438922265313025,0.019767341127184,0.0220736320685015,0.0219270505735856,0.0196355839043298,0.0355571493383956,0.0180987800183007,0.0270285977699152,0.013754545419837,0.0479334492156861,0.0430219033565288,0.0171413840205099
"2018-06-13",0.0151504365159128,0.0777347733741514,0.0656424839016319,0.0213573851337234,0.070818715517876,0.0318705024996243,0.0515766007614643,0.0343162817214755,0.0239398473373087,0.0204992935652498,0.0440213995951856,0.0375437837024084,0.0338047640418198,0.0510661525269547,0.0562446331812062,0.022272823713101,0.0400755216222955,0.0167144059649587,0.0216790174076635,0.0228444157886842,0.0207183096302379,0.0436511451526608,0.0177290586809148,0.0299744105349266,0.0137178803313459,0.05042574615228,0.046024488755634,0.0185857228893043
"2018-06-14",0.0153238859362001,0.065853441709021,0.0646561266429576,0.0219898555532484,0.0711319266428372,0.0290276490035043,0.0532490328611763,0.0354853737265956,0.0236574157273231,0.0190442285997595,0.0527098655019272,0.0354713118170738,0.0297773317368998,0.0535038382746057,0.0611163744468732,0.0270308371354498,0.0375784259393862,0.0161512844814073,0.0217903322583555,0.0233712947300937,0.019651650146616,0.0433237115316494,0.0170223476575201,0.0308243824646512,0.0146537373087379,0.0507760195764897,0.0461436276432318,0.0196846909464087
"2018-06-15",0.015766198126433,0.0660809352471924,0.0803149017083851,0.0212690670340925,0.0756535023774438,0.0273757671787889,0.0517558677500426,0.0375509641141091,0.0233832848032121,0.0197914638615787,0.050932322398052,0.0318361218882645,0.0284397852931876,0.0586430928589732,0.0646963119203735,0.0278894009509967,0.0311647359754184,0.0181327201480149,0.0213870372667162,0.0228071773284002,0.0177802533066503,0.0405027293014246,0.0167765596972687,0.0286264019195322,0.0135040024251513,0.0486744597398046,0.040726946498515,0.0185379888819782
"2018-06-18",0.0150043684339373,0.0670511144257168,0.0835251832623339,0.0211518938032068,0.0753836130754695,0.0279350011988913,0.0446464645343314,0.0393286207218855,0.0246711839905973,0.0195798955638532,0.0476752781982896,0.0338507833650604,0.0273775725896334,0.0610321260531304,0.0718823744078407,0.0258042364829943,0.0327114305827946,0.0191464613552386,0.0200577861636291,0.0232808373522981,0.0191153383961203,0.0419391421622,0.0169887509258899,0.0292368306126899,0.0136842696158671,0.0442741493920378,0.0360273505774913,0.0176379427565714
"2018-06-19",0.0152637441441868,0.0686544322882995,0.0763545654694367,0.020038651698963,0.0770090275951232,0.026306457554622,0.0460412892130217,0.0395200551120559,0.0240529442697853,0.0183542704399585,0.0411382538079398,0.032002877985495,0.0274199257934798,0.0624036649120947,0.0689983532387979,0.0269941201962774,0.0333583312286386,0.0204319931193015,0.0185844080615852,0.0243045519917885,0.0207576834800555,0.0399563759257956,0.0182999411949725,0.0285344156286191,0.0133730398147677,0.0534448179460326,0.0400824939222733,0.0183193139666327
"2018-06-20",0.0159785225159127,0.0648235346009135,0.0749598133272495,0.021064373685856,0.0794429042025949,0.0254379352854245,0.0400135325737594,0.041852916294659,0.0250689155071542,0.0181498341456494,0.0403112565882771,0.0316247436844623,0.0253910277952637,0.061790606226998,0.0713085796216304,0.0285848356292645,0.0341370906973383,0.0206718429725082,0.0212616063640877,0.0248466887645545,0.0197937999178731,0.0399723001402084,0.0195309663113043,0.0309998407535571,0.0135917216788386,0.0539373976642998,0.0359711853190709,0.0194822277312902
"2018-06-21",0.0165076522485251,0.0620938277224562,0.0795349116020954,0.0248976171073766,0.0733289084686876,0.0268723918227543,0.0400860099621196,0.0415795251091222,0.0223699501218622,0.0185778330261395,0.0403958890581954,0.032046956951508,0.0237365018243261,0.0642888581266503,0.0699476323840088,0.0261988311521451,0.0393521221508304,0.0201384528147104,0.0207781167871277,0.0272186662641571,0.018599928194787,0.0400338285282006,0.0225237990749947,0.0324560206811953,0.0131031934292545,0.0494159723707317,0.0339012229530043,0.0200153800630338
