"","^DJI","V","IBM","MRK","TRV","PFE","UNH","PG","MMM","NKE","INTC","VZ","CVX","XOM","UTX","HD","CSCO","AAPL","AXP","MCD","DIS","MSFT","KO","WMT","GS","JNJ","JPM","GE","BA","CAT","C","BAC","AIG","MS","WBA","DWDP"
"2018-08-29",0.0667194144063315,0.0170888122798647,0.0217396776438313,0.0194475670430562,0.026481830696049,0.022016775874543,0.0204529229005511,0.0187167458530061,0.046817802639003,0.018330509547219,0.0163804958017778,0.021319459546079,0.0166478036789517,0.0346429069246426,0.0470866552720717,0.0158009952946867,0.0184985483155233,0.0162662759414312,0.0223382408540948,0.017332558154024,0.0163504232442161,0.0186991142241121,0.019902273432601,0.0149144942753183,0.0370679672885877,0.0242339243414125,0.0443754190689991,0.0244142104250281,0.0401377371633865,0.0491720753385948,0.0486385888518995,0.0454337567185793,0.0234682485647735,0.0356887848805839,0.0186731148961359,0.034703868619034
"2018-08-30",0.0664811932348792,0.0173340461977987,0.0215060577486006,0.0178800343376031,0.0279946787543681,0.0213605345260146,0.0197512463952136,0.0180288428995979,0.0423542556230268,0.0173784678406614,0.0175748326965783,0.0200662377297394,0.0176052582693732,0.0315080711246529,0.0541907733351445,0.0160709980005492,0.0187882337598496,0.0157440860933766,0.0218701292408785,0.0167764824377295,0.0176162435002788,0.0196593077043904,0.0183513806183345,0.0145929354080547,0.038818497614677,0.0235130597945373,0.0438997337354843,0.0230564049847902,0.0451307611878318,0.052840039688981,0.0466678897140587,0.0410228499138507,0.0245852734538199,0.0381060915993708,0.0176290084635795,0.0342460623723246
"2018-08-31",0.0650899504184428,0.0182002721704574,0.0214550199990541,0.0188706927354675,0.0282104820555938,0.0212430734312898,0.019417532484115,0.0179086263509353,0.0450739534160381,0.0181380517516386,0.0168496581861279,0.0205437182263299,0.016622085357087,0.0330096564463731,0.0494845282207584,0.0161528350127123,0.0192037245604584,0.0152542837224103,0.0230900260545575,0.0175096504859681,0.0196452891847519,0.0198133441810778,0.0190522909822662,0.0136554974063164,0.0368888466667698,0.0228974274500851,0.0423108227252814,0.0242486604344655,0.0399409547700359,0.0552694260478957,0.0483517271665293,0.0416518752022502,0.0247698892125589,0.0372300066921279,0.0174664911347926,0.03547962965698
"2018-09-04",0.063199338933998,0.0197228276684428,0.022761884816097,0.0188375986509345,0.0243678492329647,0.0223271539915673,0.0195406513343851,0.0207654076332888,0.0401344046739257,0.0181761373678858,0.0175230668794229,0.0204602014506772,0.0179447972667353,0.0338898282273559,0.0499451830551843,0.0155830356731104,0.023710232955241,0.0164297939941393,0.0218397098415017,0.0179768716010346,0.0202617828046278,0.0191241482180769,0.0206963700949157,0.0144481572660034,0.0329178805419762,0.0251084652538096,0.0411201104777528,0.0245118706675293,0.0391258204014555,0.0537828630847528,0.0447510746693846,0.042569712082091,0.0221392278480661,0.0384718194668476,0.0187521571422423,0.0370825647325764
"2018-09-05",0.0561434033200081,0.0183178175796504,0.0218677063227259,0.0193277184001824,0.0267184586246342,0.0239546507816727,0.0197264738918486,0.0247459780472597,0.0441495717220868,0.0154967256585475,0.0176636758594563,0.0213382627503757,0.0174091184082819,0.0305247532830696,0.0511695532423903,0.0150926166618677,0.0231537872963604,0.0169048195504709,0.0228958882239453,0.0187136924300284,0.0185524659366576,0.0213559271397362,0.0207817357312627,0.0158374363058408,0.0333683329867659,0.0264412743910481,0.040792413744419,0.022494169835887,0.0403320851783312,0.05368946558327,0.0437252856867443,0.0405646786791842,0.0236150042425228,0.0382437281966248,0.0187593081742319,0.0361320161326105
"2018-09-06",0.0547902005386848,0.0179648036929922,0.0226575860894236,0.0192545160306725,0.0258812930009857,0.0225596973741339,0.018589645001787,0.0221220928096414,0.0440710757835776,0.0160210446195871,0.0165855675465815,0.0221978593280259,0.0180277168250256,0.0294048329662427,0.0491319081624981,0.0156958322696152,0.0237651286971139,0.0178480698246492,0.0252074248897635,0.0175941763336149,0.0201364696555583,0.0202737386753796,0.0203215117424272,0.0142254761412824,0.039357225537934,0.0253862749156453,0.042250218166481,0.023809672072675,0.0360675099092953,0.0519876803817187,0.0477092021529132,0.044311332649963,0.0227676063205221,0.0382270145075589,0.0210091851494927,0.0327894102365374
"2018-09-07",0.0537555406348889,0.0177800210299418,0.0232052489610427,0.0212143120309733,0.0252049927047647,0.0236030614327293,0.0188004950531425,0.0227795307025727,0.0405971525962068,0.0167111143691597,0.0171281435105405,0.0224545702071134,0.0187735214946945,0.0275332242474015,0.0512695263192114,0.015396485320957,0.0234461732122976,0.0170125251645963,0.0247302359497852,0.0178856963915607,0.0199754227796264,0.019814023134798,0.0207461921472185,0.0150990095517101,0.0356188140592997,0.0266182767761744,0.0404709603978416,0.023996712499546,0.0397779922802308,0.0521898458510248,0.0450851413160757,0.0440462544753644,0.0249261147827293,0.0362057494595883,0.0213612204651384,0.0347866986900532
"2018-09-10",0.0568010427688055,0.018189431765707,0.0231331644792764,0.0191050929710865,0.0259084530925339,0.0230173115492499,0.0185173436803568,0.0239455394844275,0.0406191515993594,0.0167465642337462,0.0175205217039366,0.021683731293475,0.0177113581438602,0.028953011953233,0.0441367668825408,0.0167546883743358,0.0263523820178582,0.0177158407008627,0.0225631449121247,0.0181976481411789,0.0202704222695723,0.0206601038358867,0.0202614854592241,0.0150958273690055,0.037826828310493,0.0253098655394712,0.0406883768159318,0.0229861322525579,0.0357035467322487,0.0533092483246698,0.0458158073601525,0.0431585718103155,0.0239462992858358,0.0394720992203758,0.0193687322324107,0.0385544634338936
"2018-09-11",0.0547518358757129,0.0184605989440801,0.0229678686300274,0.0206876766725657,0.0240540311397892,0.022181239570128,0.021371590261658,0.024794099391808,0.037720183063915,0.0169997626830883,0.0176079711499186,0.0221924959037415,0.0176253528666547,0.0294297096612042,0.0457281451532187,0.0171941130453969,0.0272679592683045,0.0175626010377214,0.0262721861377994,0.0185865647989955,0.0199707107323903,0.0225488231813296,0.0204967921570436,0.0154583468339233,0.0322943644731762,0.0236229723103912,0.037959057407767,0.0226998161548083,0.0370943846478916,0.0525489529171768,0.0422796794491339,0.0437064051254582,0.0251549042541781,0.042553371022221,0.0206636183075701,0.0374918157698127
"2018-09-12",0.0554873453305583,0.0189825166023804,0.0240679527598083,0.0220734372521607,0.0250413472257814,0.0233286133392882,0.0239043017929747,0.0233503959891389,0.0352899298904691,0.0173029167898664,0.0176167292157672,0.0242323311574303,0.0173225640050069,0.0308597721692792,0.0438576252429091,0.0186814363871278,0.025900840718999,0.0178511643207308,0.028047773398489,0.0183764862595722,0.0211595519232817,0.0231494405598017,0.0202539261512843,0.0150333047678302,0.0318421696301008,0.0261141244576235,0.038350489690356,0.0226807569855077,0.0366878295546504,0.0479682912359501,0.0380305875807351,0.04207224544319,0.0262158579812281,0.0432283071678975,0.0190015089386639,0.036636128084161
