"","^OMX","SSAB-A.ST","SECU-B.ST","AZN.ST","KINV-B.ST","SWED-A.ST","SKF-B.ST","ABB.ST","SCA-B.ST","BOL.ST","ELUX-B.ST","INVE-B.ST","TELIA.ST","HM-B.ST","SWMA.ST","ALIV-SDB.ST","TEL2-B.ST","SEB-A.ST","SKA-B.ST","SAND.ST","SHB-A.ST","GETI-B.ST","VOLV-B.ST","ATCO-A.ST","ASSA-B.ST","ATCO-B.ST","HEXA-B.ST","ERIC-B.ST","ALFA.ST","EWD"
"2018-03-23",0.0708480127435887,0.0123379260912363,0.06027284512526,0.0147344665207464,0.0369965930959186,0.0382929251748866,0.0330050040313878,0.0526424353541681,0.0323356113051633,0.0236449292901759,0.0194352141022947,0.0530782601263503,0.0165271353504082,0.0165706993277105,0.0157837492342688,0.0131257797419213,0.0192271316543225,0.0249114968026917,0.0181811503672155,0.0555458725926237,0.0173100619635739,0.0153216683364035,0.0358504068641565,0.0818704665815052,0.0191753682384499,0.0812664834807675,0.0288263710179283,0.0233382897310496,0.0494575248056186,0.0200861209482082
"2018-03-26",0.0748162685598208,0.0108469143537233,0.0641645091798668,0.0133678700432229,0.0316247578223628,0.0369977355118279,0.033626234580992,0.0541245845062407,0.0308257098947037,0.0229686860436111,0.0201618918202789,0.0536805905979788,0.0160256827644318,0.0151487275240493,0.0143504752033696,0.0124257593416181,0.0172269396018366,0.0220003039783417,0.0190671590468738,0.057272249732378,0.0189869491176595,0.0157192331084492,0.0359205987603951,0.0894519948976026,0.0193352293652542,0.0780738470404475,0.0264506278254378,0.0226050947974657,0.0563814408003239,0.0163519341794361
"2018-03-27",0.0709039832196104,0.0113231154633773,0.0661038019704834,0.0136392370461988,0.0316634544121501,0.0322226373324907,0.0373090706886084,0.0529215762566818,0.0320621660255831,0.0211360010750848,0.0176625297099734,0.0546164796020958,0.0142456732471614,0.0135944041455578,0.0135777668795324,0.0146003010613685,0.0178021848796329,0.0141378535019627,0.0189646561815623,0.0599070959474348,0.0145484892121143,0.0154346917761403,0.0381106572838296,0.0946766220232103,0.0209135150723005,0.0875580051865526,0.0248084659647718,0.0234487031536988,0.0576089838797758,0.014497877801055
"2018-03-28",0.0771434400162771,0.0112622471481327,0.0642121901157316,0.0129342952792222,0.0306596668897953,0.0309555055518745,0.0338906579845993,0.0506087700131722,0.0379029831975183,0.0195502361153052,0.0154265730592252,0.0471694087669058,0.016850529492853,0.0111673772116546,0.0153326070624358,0.0153855605694806,0.0214928516441374,0.0149323015553555,0.0202998080668935,0.0603981513126886,0.0154222878452786,0.0157197235302372,0.0363141471651973,0.0954395912056307,0.0212813064665939,0.0841857453302849,0.026193473838273,0.0205691831672071,0.0619483730069094,0.0153510073911292
"2018-03-29",0.0812137058777861,0.0104211124360609,0.0602987204769947,0.0120696115620055,0.0280708329098376,0.0308999243627455,0.0388483714002855,0.0479735537281576,0.0341584915677843,0.0205606057531223,0.0147709320673231,0.0440815393748232,0.014412559653002,0.0103737848552899,0.0136628247099872,0.0150009504220365,0.0207047373265146,0.0144613835278242,0.0192644881670741,0.0721055992063517,0.0148335725626964,0.0152072350349502,0.037551287676466,0.101248088674597,0.0181877700244957,0.0897715624858791,0.024220348402994,0.0141330123841644,0.0668421375581878,0.0146512558105625
"2018-04-03",0.0815152500254294,0.0112213213326893,0.0598426805104036,0.0111940774414529,0.0254813754237962,0.0288162286539473,0.0383060002491467,0.0475890135624803,0.028905053495417,0.0190478232224561,0.015626659189065,0.0411329900265953,0.0128634414793407,0.0104379796062073,0.0128415419787203,0.0139654804507685,0.0207729199447126,0.0145650029576672,0.0264773572166125,0.0735547380447864,0.0186104828292652,0.0163797598649273,0.0403284484767929,0.099367180062357,0.0221950676197468,0.0828134340697551,0.0281096684430582,0.0150338283024638,0.0679164330016327,0.0150887625183063
"2018-04-04",0.0840251106406885,0.0119501620279439,0.0643540266196706,0.0122812485732724,0.0244519530122099,0.0226279583010682,0.0405287459697025,0.0441284490305266,0.02582421268434,0.0187794445074565,0.0160626812920553,0.0434124300786607,0.0127536513377957,0.0111148786924791,0.0109262364802096,0.0137647948567153,0.02269536111682,0.0141474236980717,0.0283220673403908,0.0712593088858258,0.015189641028684,0.0167305357328347,0.0381741592825792,0.10067374967588,0.0241633456552301,0.0868647760698898,0.02883531783582,0.0157839627713624,0.0654061978697858,0.0147681689320304
"2018-04-05",0.0878183195995062,0.0119749251254028,0.0584628643808599,0.0126870753267188,0.0246798948390843,0.0222408310122285,0.0430150036121809,0.0409263416508788,0.0226704380105839,0.0170348888841314,0.0146419864277759,0.0430524917739003,0.0114150887205802,0.0111919670086251,0.011754043282905,0.0111486649237921,0.0251465511887533,0.0140310099543697,0.0270041162675845,0.0673667997574336,0.0136657188141382,0.0183272875213578,0.0386750373001496,0.100939309099346,0.04273289708671,0.0872328215623406,0.0297091130763111,0.0160190014475876,0.0605838315027011,0.0138516808420634
"2018-04-06",0.0877442908853794,0.0128857386509774,0.0640344761293621,0.0117594728434853,0.0219849024695111,0.0196618421458413,0.0393491993210545,0.040194695976614,0.0207614848504852,0.0166715424095502,0.0182411329143744,0.0406480500889068,0.010951298044669,0.0104527790874592,0.0111236936004452,0.00972179771222789,0.0207972602158114,0.0128596613935309,0.0228018734832151,0.0748381591313684,0.0157394724344254,0.01526264190134,0.0374547583487708,0.104235687513921,0.0498426688233383,0.0898079970630274,0.0264306894870119,0.0131038009498603,0.0685847057013511,0.0120542264226848
"2018-04-09",0.085344192978228,0.012067553866044,0.0539340502775753,0.0138902074332141,0.0220484202586355,0.0208403881293279,0.0398688641502024,0.0418634920064884,0.0211931901320895,0.0184169965438772,0.0202970339870843,0.0422462345113286,0.0116768329061901,0.0126381771144777,0.0128240086060795,0.0106466511332897,0.0225047840758203,0.0154584989723801,0.0231423823354022,0.0685704258693786,0.0161125496978166,0.0171703668362215,0.039973221434992,0.103921243124898,0.0485728308397408,0.0903496349196204,0.0251454849465874,0.0141504851208956,0.063009982525306,0.012121815266809
