"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"DAI.DE",0.013,0.053,2,-0.064,-0.021,-0.007,0.001,0.005,0.016,0.026,0.039,0.058,"Daimler AG","GER","Auto Manufacturers - Major","Germany"
"C",0.014,0.053,1,-0.036,-0.021,-0.011,-0.001,0.003,0.013,0.023,0.036,0.058,"Citigroup Inc.","NYQ","Money Center Banks","USA"
"SAP.DE",0.013,0.054,2,-0.038,-0.013,-0.006,0.003,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"BMW.DE",0.014,0.055,2,-0.055,-0.025,-0.011,-0.003,0,0.014,0.021,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"JPM",0.016,0.057,1,-0.031,-0.015,-0.007,0.004,0.008,0.017,0.026,0.039,0.06,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"BAC",0.016,0.059,1,-0.028,-0.014,-0.004,0.003,0.006,0.015,0.028,0.045,0.074,"Bank of America Corporation","NYQ","Money Center Banks","USA"
"MS",0.015,0.059,1,-0.032,-0.017,-0.009,-0.001,0.003,0.015,0.025,0.038,0.072,"Morgan Stanley","NYQ","Investment Brokerage - National","USA"
"SU.PA",0.015,0.06,2,-0.034,-0.015,-0.006,-0.001,0.002,0.013,0.021,0.034,0.07,"Schneider Electric S.E.","PAR","Diversified Machinery","France"
"^GSPC",0.016,0.061,1,-0.021,-0.006,0.002,0.009,0.013,0.025,0.037,0.049,0.085,"-","-","-","-"
"ALV.DE",0.016,0.064,2,-0.035,-0.016,-0.008,0.003,0.006,0.017,0.025,0.038,0.068,"Allianz SE","GER","Property & Casualty Insurance","Germany"
"AI.PA",0.016,0.065,2,-0.034,-0.017,-0.011,-0.003,0.003,0.015,0.024,0.037,0.071,"Air Liquide, société anonyme","PAR","Chemicals - Major Diversified","France"
"SIE.DE",0.016,0.065,2,-0.039,-0.023,-0.01,-0.002,0.004,0.015,0.028,0.041,0.069,"Siemens Aktiengesellschaft","GER","Diversified Machinery","Germany"
"^DJI",0.019,0.076,1,-0.023,-0.008,0,0.008,0.015,0.033,0.043,0.06,0.112,"-","-","-","-"
"BAS.DE",0.022,0.087,2,-0.042,-0.014,-0.006,-0.001,0.003,0.014,0.024,0.036,0.057,"BASF SE","GER","Chemicals - Major Diversified","Germany"
"^FCHI",0.025,0.097,2,-0.03,-0.014,-0.005,0.003,0.007,0.02,0.03,0.044,0.076,"-","-","-","-"
"^GDAXI",0.026,0.102,2,-0.034,-0.013,-0.004,0.004,0.007,0.018,0.029,0.04,0.07,"-","-","-","-"
