"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","datx11.Ticker","saq"
"LYYU.F",0.003,0.002,0.009,0.614,3,-0.008,-0.003,-0.002,-0.001,0.001,0.002,0.004,0.006,0.01,"LYYU.F","Lyxor ETF STOXX Europe 600 Media_Media"
"^STOXX",0.003,0.002,0.009,0.582,4,-0.005,-0.002,-0.001,-0.001,-0.001,0.002,0.002,0.005,0.008,"-","-"
"^STOXX50E",0.003,0.006,0.008,0.425,4,-0.007,-0.004,-0.002,-0.002,-0.002,0.002,0.003,0.005,0.01,"-","-"
"IQQQ.F",0.002,0.001,0.009,0.9,4,-0.005,-0.002,-0.001,0.001,0.002,0.003,0.004,0.005,0.008,"IQQQ.F","iShares S&P Global Water_Alternative investments"
"LYYN.F",0.005,0.015,0.013,0.253,4,-0.019,-0.006,-0.004,-0.002,-0.001,0.002,0.005,0.008,0.021,"LYYN.F","Lyxor ETF STOXX Europe 600 Automobiles_Automobiles & Parts"
"SC0P.F",0.004,0.015,0.012,0.234,4,-0.018,-0.006,-0.004,-0.002,-0.001,0.002,0.005,0.009,0.022,"SC0P.F","STOXX 600 Optimised Automobiles & Parts_Automobiles & Parts"
"S7XE.F",0.004,0.025,0.011,0.118,4,-0.016,-0.008,-0.005,-0.002,-0.001,0.003,0.007,0.009,0.018,"S7XE.F","EURO STOXX Optimised Banks Source ETF_Banks"
"SC0U.F",0.004,0.018,0.014,0.176,4,-0.012,-0.007,-0.004,-0.001,0.001,0.004,0.005,0.008,0.014,"SC0U.F","STOXX 600 Optimised Banks Source ETF_Banks"
"DXSC.F",0.004,0.005,0.012,0.534,4,-0.018,-0.009,-0.006,-0.003,-0.001,0.005,0.008,0.013,0.019,"DXSC.F","db x-trackers Stoxx® Europe 600 Basic Res_Basic resources"
"IS0E.F",0.002,0.006,0.007,0.455,4,-0.013,-0.008,-0.005,-0.003,-0.001,0.001,0.004,0.008,0.015,"IS0E.F","iShares S&P Commodity Producers Gold_Basic resources"
"SC0W.F",0.004,0.005,0.013,0.546,4,-0.019,-0.009,-0.007,-0.003,-0.001,0.006,0.009,0.014,0.021,"SC0W.F","STOXX 600 Optimised Basic Resources S_Basic resources"
"SC00.F",0.009,0.001,0.027,0.921,4,-0.011,-0.002,-0.001,0.001,0.002,0.004,0.005,0.009,0.012,"SC00.F","STOXX 600 Optimised Chemicals Source E_Chemicals"
"SC01.F",0.01,0.003,0.031,0.588,4,-0.011,-0.003,-0.001,0,0.001,0.004,0.005,0.006,0.009,"SC01.F","STOXX 600 Optimised Construction & Mater_Construction & materials"
"IQQH.F",0.002,0.007,0.008,0.443,4,-0.011,-0.007,-0.004,0,0,0.002,0.005,0.008,0.011,"IQQH.F","iShares S&P Global Clean Energy_Energy"
"IQQL.F",0.002,0.001,0.007,0.999,4,-0.005,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.011,"IQQL.F","iShares S&P Listed Private Equity_Financial services"
"SC02.F",0.006,0.005,0.018,0.461,4,-0.009,-0.005,-0.002,0,0,0.004,0.005,0.007,0.011,"SC02.F","STOXX 600 Optimised Financial Services_Financial services"
"SC03.F",0.002,0.002,0.008,0.794,4,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.006,0.01,"SC03.F","STOXX 600 Optimised Food & Beverage Sour_Food & beverage"
"DXSE.F",0.004,0.001,0.013,1.006,4,-0.008,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.012,"DXSE.F","db x-trackers Stoxx® Europe 600 Health Care_Health care"
"SC0T.F",0.005,0.001,0.015,1.044,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.012,"SC0T.F","STOXX 600 Optimised Health Care Source E_Health care"
"SC0S.F",0.01,0.001,0.031,0.863,4,-0.01,-0.002,-0.001,0.001,0.001,0.004,0.005,0.007,0.011,"SC0S.F","STOXX 600 Optimised Industrial Goods_Industrial goods 6 services"
"IQQI.F",0.002,0.001,0.009,0.955,4,-0.006,-0.003,-0.001,0,0,0.003,0.004,0.007,0.009,"IQQI.F","iShares FTSE/Macquarie Global Infrastructure_Infrastructur"
"IUS8.F",0.003,0.013,0.01,0.272,4,-0.015,-0.007,-0.005,-0.003,-0.002,0.004,0.008,0.011,0.014,"IUS8.F","iShares S&P Emerging Markets Infrastructure_Infrastructur"
"UIMY.F",0.008,0.002,0.026,0.64,4,-0.007,-0.002,-0.001,0,0,0.002,0.003,0.006,0.007,"UIMY.F","UBS-ETF MSCI Europe Infrastructure I_Infrastructur"
"UIMZ.F",0.013,0.003,0.038,0.5,4,-0.01,-0.004,-0.002,0,0.001,0.002,0.004,0.007,0.012,"UIMZ.F","UBS-ETF MSCI Japan Infrastructure A_Infrastructur"
"EXH5.F",0.006,0.013,0.02,0.267,4,-0.008,-0.005,-0.003,0,0.001,0.003,0.004,0.007,0.01,"EXH5.F","iShares STOXX Europe 600 Insurance (DE)_Insurance"
"SC0Y.F",0.006,0.012,0.018,0.297,4,-0.008,-0.004,-0.003,0,0,0.003,0.004,0.008,0.011,"SC0Y.F","STOXX 600 Optimised Insurance Source ETF_Insurance"
"SC06.F",0.002,0.001,0.009,0.983,4,-0.009,-0.004,-0.001,0,0,0.003,0.005,0.006,0.011,"SC06.F","STOXX 600 Optimised Media Source ETF_Media"
"DXSD.F",0.003,0.002,0.01,0.813,4,-0.012,-0.005,-0.002,0.001,0.001,0.005,0.008,0.009,0.019,"DXSD.F","db x-trackers Stoxx® Europe 600 Oil & Gas E_Oil & gas"
"IS0D.F",0.003,0.002,0.01,0.947,4,-0.018,-0.007,-0.004,-0.001,0.001,0.006,0.009,0.014,0.022,"IS0D.F","iShares S&P Commodity Producers Oil and G_Oil & gas"
"SC0V.F",0.004,0.002,0.011,0.806,4,-0.014,-0.006,-0.002,0,0.001,0.005,0.008,0.011,0.021,"SC0V.F","STOXX 600 Optimised Oil & Gas Source ETF_Oil & gas"
"SC04.F",0.003,0.002,0.01,0.704,4,-0.008,-0.004,-0.001,0.001,0.001,0.002,0.005,0.006,0.011,"SC04.F","STOXX 600 Optimised Personal & Household_Personal & household goods"
"D5BK.F",0.003,0.001,0.01,0.724,4,-0.005,-0.003,-0.002,0,0,0.002,0.003,0.005,0.009,"D5BK.F","db x-trackers FTSE EPRA/NAREIT Developed_Real estate"
"IQQ4.F",0.002,0.001,0.009,0.797,4,-0.007,-0.004,-0.001,0,0,0.003,0.004,0.006,0.01,"IQQ4.F","iShares FTSE EPRA/NAREIT Asia Property_Real estate"
"IQQ6.F",0.003,0,0.009,1.094,4,-0.005,-0.003,-0.001,0,0,0.003,0.004,0.007,0.014,"IQQ6.F","iShares FTSE EPRA/Nareit Developed World_Real estate"
"IQQ7.F",0.003,0,0.009,1.206,4,-0.009,-0.003,-0.002,0,0.002,0.004,0.007,0.01,0.018,"IQQ7.F","iShares FTSE EPRA/NAREIT US Property Yie_Real estate"
"IQQP.F",0.003,0.001,0.009,0.666,4,-0.006,-0.003,-0.001,-0.001,0,0.002,0.004,0.006,0.009,"IQQP.F","iShares FTSE/EPRA European Property Index_Real estate"
"EXI5.F",0.003,0.002,0.009,0.619,4,-0.007,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.011,"EXI5.F","iShares STOXX Europe 600 Real Estate (DE)_Real estate"
"SC05.F",0.003,0.002,0.011,0.878,4,-0.009,-0.004,-0.002,-0.001,0,0.002,0.006,0.007,0.011,"SC05.F","STOXX 600 Optimised Retail Source ETF_Retail"
"SC0X.F",0.007,0.001,0.023,1.025,4,-0.013,-0.005,-0.002,0,0.002,0.005,0.007,0.011,0.015,"SC0X.F","STOXX 600 Optimised Technology Source E_Technology"
"SC0Q.F",0.002,0.019,0.008,0.194,4,-0.011,-0.007,-0.003,-0.002,-0.001,0.001,0.004,0.007,0.015,"SC0Q.F","STOXX 600 Optimised Telecommunications_Telecommunication"
"18M5.F",0.009,0.001,0.023,0.844,5,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.006,0.009,"18M5.F","AMUNDI ETF MSCI EUROPE CONSUMER S_Consumer staples"
"LYPB.F",0.002,0.002,0.009,0.941,5,-0.005,-0.002,0,0,0.001,0.002,0.003,0.005,0.009,"LYPB.F","Lyxor ETF MSCI World Consumer Staples TR_Consumer staples"
"SPYC.F",0.008,0.001,0.021,0.834,5,-0.006,-0.003,-0.002,0,0,0.003,0.004,0.006,0.009,"SPYC.F","SPDR MSCI Europe Consumer Staples ETF_Consumer staples"
"C067.F",0.01,0.002,0.026,0.772,5,-0.008,-0.003,-0.001,0,0,0.003,0.005,0.007,0.01,"C067.F","ComStage ETF STOXX Europe 600 Food_Food & beverage"
"DXSK.F",0.007,0.001,0.018,0.807,5,-0.007,-0.003,-0.001,0,0,0.002,0.004,0.006,0.01,"DXSK.F","db x-trackers Stoxx® Europe 600 Food_Food & beverage"
"EXH3.F",0.01,0.002,0.023,0.768,5,-0.008,-0.003,-0.001,0,0,0.003,0.004,0.006,0.01,"EXH3.F","iShares STOXX Europe 600 Food & Beverage_Food & beverage"
"LYYR.F",0.01,0.002,0.022,0.785,5,-0.007,-0.002,-0.001,0,0,0.003,0.005,0.006,0.011,"LYYR.F","Lyxor ETF STOXX Europe 600 Food & Bever_Food & beverage"
"C073.F",0.008,0.001,0.021,0.669,5,-0.009,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.011,"C073.F","ComStage ETF STOXX Europe 600 P & H_Personal & household goods"
"EXH7.F",0.007,0.001,0.02,0.658,5,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.007,0.011,"EXH7.F","iShares STOXX Europe 600 Personal & H_Personal & household goods"
"LYYV.F",0.008,0.001,0.02,0.718,5,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.011,"LYYV.F","Lyxor ETF STOXX Europe 600 Personal & H_Personal & household goods"
