"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"TSP.V",0.009,3,-0.214,-0.137,-0.114,-0.017,-0.017,-0.009,0,0.012,0.017,"TitanStar Properties Inc.","VAN","Real Estate Development","Canada"
"VRX.TO",0.011,3,-0.027,-0.015,-0.005,0.006,0.01,0.018,0.026,0.034,0.044,"Valeant Pharmaceuticals International, Inc.","TOR","Drugs - Generic","Canada"
"XTC.TO",0.009,3,-0.03,-0.016,-0.01,-0.007,-0.004,0.002,0.008,0.016,0.029,"Exco Technologies Limited","TOR","Auto Parts","Canada"
"ZKL.V",0.011,3,-0.215,-0.141,-0.102,-0.017,-0.017,-0.01,0,0.012,0.017,"China Keli Electric Company Ltd","VAN","Diversified Electronics","Canada"
"OTEX.TO",0.009,3,-0.025,-0.014,-0.008,-0.001,0.003,0.01,0.019,0.029,0.043,"-","-","-","-"
"ATA.TO",0.011,4,-0.019,-0.008,-0.001,0.004,0.007,0.016,0.022,0.034,0.054,"ATS Automation Tooling Systems Inc.","TOR","Diversified Machinery","Canada"
"BMO.TO",0.02,4,-0.021,-0.011,-0.004,0.006,0.01,0.022,0.031,0.046,0.066,"Bank of Montreal","TOR","Money Center Banks","Canada"
"BNS.TO",0.014,4,-0.025,-0.013,-0.008,-0.002,0.001,0.01,0.023,0.032,0.049,"The Bank of Nova Scotia","TOR","Money Center Banks","Canada"
"CM.TO",0.019,4,-0.023,-0.013,-0.003,0.004,0.007,0.016,0.022,0.031,0.059,"Canadian Imperial Bank of Commerce","TOR","Money Center Banks","Canada"
"MFC.TO",0.015,4,-0.022,-0.01,-0.005,0,0.003,0.011,0.018,0.026,0.034,"Manulife Financial Corporation","TOR","Life Insurance","Canada"
"NA.TO",0.018,4,-0.021,-0.006,0.001,0.007,0.01,0.021,0.029,0.038,0.051,"National Bank of Canada","TOR","Money Center Banks","Canada"
"PWF.TO",0.012,4,-0.027,-0.011,-0.007,-0.002,0.002,0.008,0.014,0.025,0.048,"Power Financial Corporation","TOR","Life Insurance","Canada"
"RY.TO",0.02,4,-0.022,-0.011,-0.004,0.002,0.005,0.012,0.02,0.045,0.064,"Royal Bank of Canada","TOR","Money Center Banks","Canada"
"TD.TO",0.017,4,-0.021,-0.009,0,0.006,0.009,0.018,0.027,0.043,0.063,"The Toronto-Dominion Bank","TOR","Money Center Banks","Canada"
"WJX.TO",0.011,4,-0.026,-0.011,-0.005,0,0.003,0.01,0.017,0.022,0.033,"Wajax Corporation","TOR","Industrial Equipment Wholesale","Canada"
"^GSPTSE",0.02,4,-0.018,-0.006,-0.002,0.003,0.007,0.014,0.024,0.035,0.057,"-","-","-","-"
"SLF.TO",0.013,4,-0.021,-0.009,-0.001,0.007,0.01,0.017,0.023,0.032,0.045,"Sun Life Financial Inc.","TOR","Property & Casualty Insurance","Canada"
"ATH.TO",0.019,5,-0.025,-0.014,-0.009,-0.004,0,0.01,0.017,0.025,0.037,"Athabasca Oil Corporation","TOR","Independent Oil & Gas","Canada"
