"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"C070.F",0.012,0.042,3,-0.008,-0.004,-0.002,0,0.002,0.003,0.005,0.008,0.011,"C070.F","ComStage - STOXX Europe 600 Insurance NR UCITS ETF"
"C066.DE",0.013,0.045,3,-0.011,-0.002,0,0,0.001,0.003,0.006,0.007,0.01,"C066.DE","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"EXV9.F",0.007,0.021,3,-0.009,-0.005,-0.002,0,0.001,0.003,0.004,0.007,0.011,"EXV9.F","iShares (DE) I - iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE)"
"EXH2.F",0.02,0.058,3,-0.01,-0.004,-0.002,0.001,0.001,0.004,0.005,0.007,0.01,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"EXH6.F",0.005,0.017,3,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.013,"EXH6.F","iShares (DE) I - iShares STOXX Europe 600 Media UCITS ETF (DE)"
"EXSA.F",0.028,0.092,3,-0.008,-0.002,-0.001,0.001,0.001,0.003,0.004,0.006,0.01,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"EXV8.F",0.022,0.069,3,-0.011,-0.003,-0.001,0.001,0.001,0.004,0.005,0.007,0.009,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXV6.F",0.014,0.037,4,-0.02,-0.008,-0.005,-0.001,0.001,0.007,0.009,0.015,0.022,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"SC0W.DE",0.003,0.012,4,-0.014,-0.006,-0.001,0,0,0.001,0.007,0.012,0.021,"SC0W.DE","Source Markets plc - Source STOXX Europe 600 Optimised Basic Resources UCITS ETF"
"EXV6.DE",0.012,0.033,4,-0.018,-0.01,-0.005,-0.002,0,0.007,0.01,0.014,0.022,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"C063.DE",0.009,0.025,4,-0.016,-0.009,-0.005,-0.001,0,0.004,0.008,0.015,0.025,"C063.DE","ComStage - STOXX Europe 600 Basic Resources NR UCITS ETF"
"DXSC.DE",0.005,0.016,4,-0.013,-0.007,-0.003,0,0,0.004,0.008,0.011,0.02,"DXSC.DE","DB X-TRACKERS STOXX EUR 600 BSC"
"C063.F",0.013,0.037,4,-0.02,-0.008,-0.004,-0.001,0.001,0.005,0.009,0.016,0.022,"C063.F","ComStage - STOXX Europe 600 Basic Resources NR UCITS ETF"
"LYYN.DE",0.004,0.013,5,-0.018,-0.006,-0.002,0,0,0,0.004,0.007,0.016,"LYYN.DE","LYXOR Ucits Etf STOXX Europe 600 Automobiles & Parts"
"C061.DE",0.007,0.021,5,-0.018,-0.006,-0.004,-0.001,0,0.002,0.005,0.008,0.017,"C061.DE","ComStage - STOXX Europe 600 Automobiles & Parts NR UCITS ETF"
"C061.F",0.007,0.021,5,-0.019,-0.005,-0.004,-0.002,-0.001,0.002,0.005,0.008,0.018,"C061.F","ComStage - STOXX Europe 600 Automobiles & Parts NR UCITS ETF"
"EXV5.F",0.007,0.021,5,-0.019,-0.006,-0.004,-0.002,-0.001,0.002,0.005,0.009,0.019,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"SC0P.DE",0.003,0.009,5,-0.019,-0.002,0,0,0,0,0.001,0.007,0.018,"SC0P.DE","Source Markets plc - Source STOXX Europe 600 Optimised Automobiles & Parts UCITS"
"C079.F",0.008,0.023,6,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.011,"C079.F","ComStage - STOXX Europe 600 Utilities NR UCITS ETF"
"EXH9.F",0.008,0.02,6,-0.012,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.011,"EXH9.F","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXH9.DE",0.006,0.019,6,-0.009,-0.004,-0.002,0,0,0.003,0.006,0.007,0.011,"EXH9.DE","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"SC0Z.F",0.009,0.022,6,-0.009,-0.005,-0.002,0,0.001,0.004,0.005,0.007,0.011,"SC0Z.F","Source Markets plc - Source STOXX Europe 600 Optimised Utilities UCITS ETF"
"C068.F",0.012,0.035,7,-0.007,-0.003,-0.001,0.001,0.002,0.003,0.004,0.007,0.012,"C068.F","ComStage - STOXX Europe 600 Health Care NR UCITS ETF"
"C068.DE",0.012,0.036,7,-0.009,-0.003,-0.001,0,0,0.003,0.005,0.009,0.011,"C068.DE","ComStage - STOXX Europe 600 Health Care NR UCITS ETF"
"DXSE.DE",0.012,0.032,7,-0.007,-0.003,-0.001,0,0,0.004,0.005,0.007,0.011,"DXSE.DE","DB X-TRACKERS STOXX EURP 600 HE"
"SC0T.DE",0.004,0.016,7,-0.005,-0.002,0,0,0,0.003,0.005,0.009,0.011,"SC0T.DE","Source Markets plc - Source STOXX Europe 600 Optimised Health Care UCITS ETF"
"EXV4.F",0.012,0.034,7,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.012,"EXV4.F","iShares (DE) I - iShares STOXX Europe 600 Health Care UCITS ETF (DE)"
"SC0U.DE",0.007,0.02,8,-0.013,-0.005,-0.002,0,0,0.002,0.004,0.008,0.014,"SC0U.DE","Source Markets plc - Source STOXX Europe 600 Optimised Banks UCITS ETF"
"C062.F",0.011,0.034,8,-0.012,-0.007,-0.003,-0.001,0,0.004,0.005,0.008,0.013,"C062.F","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"C062.DE",0.005,0.017,8,-0.013,-0.006,-0.002,0,0,0.002,0.004,0.007,0.013,"C062.DE","ComStage - STOXX Europe 600 Banks NR UCITS ETF"
"EXV1.F",0.01,0.031,8,-0.012,-0.006,-0.002,-0.001,0,0.003,0.005,0.007,0.013,"EXV1.F","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"EXV1.DE",0.01,0.03,8,-0.013,-0.006,-0.002,0,0.001,0.003,0.005,0.007,0.011,"EXV1.DE","iShares (DE) I - iShares STOXX Europe 600 Banks UCITS ETF (DE)"
"^GDAXI",0.02,0.061,9,-0.014,-0.005,-0.002,0,0.001,0.004,0.006,0.009,0.012,"-","-"
"^FCHI",0.018,0.052,9,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.01,"-","-"
"^N100",0.022,0.065,9,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.009,"-","-"
"C060.DE",0.024,0.082,9,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.009,"C060.DE","ComStage - STOXX Europe 600 NR UCITS ETF"
"MEUD.PA",0.034,0.095,9,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.006,0.008,"MEUD.PA","LYXOR STOXX600 EUR"
"SC0C.DE",0.034,0.095,9,-0.008,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.01,"SC0C.DE","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"EXSA.DE",0.038,0.108,9,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.008,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"C067.F",0.009,0.026,10,-0.007,-0.002,-0.001,0,0,0.003,0.005,0.007,0.011,"C067.F","ComStage - STOXX Europe 600 Food & Beverage NR UCITS ETF"
"C067.DE",0.007,0.022,10,-0.005,-0.002,-0.001,0,0,0.002,0.005,0.007,0.01,"C067.DE","ComStage - STOXX Europe 600 Food & Beverage NR UCITS ETF"
"EXH3.F",0.008,0.023,10,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.007,0.01,"EXH3.F","iShares (DE) I - iShares STOXX Europe 600 Food & Beverage UCITS ETF (DE)"
"DXSD.DE",0.008,0.023,11,-0.012,-0.004,-0.001,0,0.001,0.006,0.008,0.011,0.017,"DXSD.DE","DB X-TRACKERS STOXX EURP 600 O&"
"C072.F",0.011,0.03,11,-0.012,-0.004,-0.001,0.001,0.001,0.005,0.008,0.01,0.021,"C072.F","ComStage - STOXX Europe 600 Oil & Gas NR UCITS ETF"
"C072.DE",0.008,0.023,11,-0.014,-0.004,-0.002,0,0,0.006,0.007,0.012,0.019,"C072.DE","ComStage - STOXX Europe 600 Oil & Gas NR UCITS ETF"
"SC0V.DE",0.005,0.016,11,-0.01,-0.003,0,0,0,0.004,0.007,0.011,0.019,"SC0V.DE","Source Markets plc - Source STOXX Europe 600 Optimised Oil & Gas UCITS ETF"
"EXH1.F",0.01,0.028,11,-0.011,-0.004,-0.001,0.001,0.001,0.006,0.008,0.01,0.021,"EXH1.F","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"C076.F",0.012,0.031,12,-0.011,-0.004,-0.002,0.001,0.002,0.005,0.007,0.01,0.015,"C076.F","ComStage - STOXX Europe 600 Technology NR UCITS ETF"
"C076.DE",0.009,0.026,12,-0.012,-0.005,-0.002,0,0.002,0.005,0.007,0.011,0.017,"C076.DE","ComStage - STOXX Europe 600 Technology NR UCITS ETF"
"EXV3.F",0.01,0.028,12,-0.011,-0.004,-0.002,0.001,0.003,0.005,0.007,0.011,0.014,"EXV3.F","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
