"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"FR.PA",0.009,0.04,2,-0.048,-0.025,-0.014,-0.001,0.002,0.013,0.02,0.03,0.061,"Valeo SA","PAR","Auto Parts","France"
"MC.PA",0.01,0.045,2,-0.027,-0.009,-0.003,0.005,0.008,0.018,0.028,0.041,0.065,"LVMH Moët Hennessy Louis Vuitton S.E.","PAR","Jewelry Stores","France"
"AIR.PA",0.007,0.031,2,-0.029,-0.013,-0.005,0.003,0.006,0.015,0.025,0.041,0.074,"Airbus SE","PAR","","France"
"UG.PA",0.007,0.032,2,-0.032,-0.016,-0.008,0.002,0.005,0.016,0.024,0.037,0.053,"Peugeot S.A.","PAR","Auto Manufacturers - Major","France"
"SGO.PA",0.01,0.045,2,-0.049,-0.024,-0.015,-0.008,-0.005,0.008,0.021,0.029,0.051,"Compagnie de Saint-Gobain S.A.","PAR","General Building Materials","France"
"KER.PA",0.009,0.042,2,-0.023,-0.003,0.003,0.01,0.014,0.023,0.029,0.043,0.074,"Kering S.A.","PAR","","France"
"AC.PA",0.008,0.037,2,-0.037,-0.018,-0.009,0.002,0.006,0.022,0.036,0.056,0.087,"Accor SA","PAR","Lodging","France"
"LR.PA",0.008,0.036,2,-0.031,-0.014,-0.005,0.002,0.005,0.016,0.026,0.035,0.07,"Legrand SA","PAR","Diversified Machinery","France"
"ATO.PA",0.007,0.031,2,-0.041,-0.02,-0.012,-0.006,0,0.009,0.019,0.031,0.064,"Atos SE","PAR","Information Technology Services","France"
"ENGI.PA",0.008,0.035,2,-0.043,-0.017,-0.008,-0.002,0.002,0.011,0.023,0.04,0.07,"ENGIE SA","PAR","","France"
"SAN.PA",0.007,0.032,2,-0.046,-0.017,-0.008,-0.002,0,0.012,0.021,0.029,0.057,"Sanofi","PAR","Drug Manufacturers - Major","France"
"BN.PA",0.007,0.032,2,-0.036,-0.018,-0.008,-0.001,0.001,0.013,0.021,0.032,0.055,"Danone","PAR","Food - Major Diversified","France"
"GLE.PA",0.01,0.043,2,-0.052,-0.031,-0.02,-0.011,-0.008,0.005,0.017,0.035,0.053,"Societe Generale Group","PAR","Money Center Banks","France"
"SU.PA",0.012,0.053,2,-0.035,-0.015,-0.008,-0.001,0.001,0.012,0.021,0.034,0.07,"Schneider Electric S.E.","PAR","Diversified Machinery","France"
"OR.PA",0.01,0.041,2,-0.027,-0.011,-0.003,0.002,0.005,0.014,0.022,0.033,0.054,"L'Oréal S.A.","PAR","Personal Products","France"
"BNP.PA",0.011,0.045,2,-0.051,-0.024,-0.017,-0.01,-0.004,0.009,0.016,0.029,0.076,"BNP Paribas SA","PAR","Money Center Banks","France"
"ML.PA",0.008,0.036,2,-0.043,-0.017,-0.009,-0.002,0,0.01,0.017,0.033,0.059,"Compagnie Générale des Etablissements Michelin","PAR","Rubber & Plastics","France"
"VIE.PA",0.008,0.035,2,-0.035,-0.015,-0.005,0.002,0.008,0.018,0.028,0.041,0.081,"Veolia Environnement S.A.","PAR","Waste Management","France"
"DG.PA",0.01,0.043,2,-0.033,-0.012,-0.005,0,0.004,0.017,0.024,0.035,0.076,"VINCI SA","PAR","General Contractors","France"
"VIV.PA",0.007,0.031,2,-0.037,-0.021,-0.015,-0.007,-0.004,0.009,0.018,0.029,0.057,"Vivendi SA","PAR","Wireless Communications","France"
"ORA.PA",0.007,0.031,2,-0.04,-0.018,-0.01,-0.004,0.001,0.014,0.024,0.038,0.067,"Orange S.A.","PAR","","France"
"EN.PA",0.009,0.04,2,-0.043,-0.02,-0.012,-0.003,0.005,0.017,0.025,0.037,0.067,"Bouygues SA","PAR","General Contractors","France"
"^FCHI",0.021,0.082,2,-0.03,-0.013,-0.002,0.006,0.009,0.021,0.031,0.045,0.076,"-","-","-","-"
"RI.PA",0.006,0.029,2,-0.03,-0.014,-0.005,0.002,0.005,0.016,0.028,0.038,0.065,"Pernod Ricard SA","PAR","Beverages - Wineries & Distillers","France"
"^N100",0.022,0.093,2,-0.03,-0.01,0,0.007,0.01,0.021,0.033,0.051,0.091,"-","-","-","-"
"^DJI",0.014,0.062,3,-0.022,-0.008,0,0.009,0.015,0.032,0.04,0.054,0.107,"-","-","-","-"
"MSFT",0.007,0.033,3,-0.021,-0.006,0.001,0.007,0.012,0.021,0.031,0.041,0.065,"Microsoft Corporation","NMS","Business Software & Services","USA"
"MRK",0.007,0.033,3,-0.046,-0.018,-0.009,-0.002,0.001,0.017,0.024,0.037,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"DIS",0.006,0.03,3,-0.037,-0.018,-0.01,-0.001,0.002,0.012,0.019,0.029,0.052,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"JNJ",0.008,0.035,3,-0.036,-0.018,-0.01,-0.002,0,0.011,0.02,0.034,0.068,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"HD",0.006,0.03,3,-0.033,-0.014,-0.003,0.005,0.011,0.026,0.037,0.057,0.083,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"KO",0.007,0.033,3,-0.033,-0.017,-0.009,0,0.004,0.016,0.025,0.038,0.07,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"MMM",0.009,0.042,3,-0.035,-0.017,-0.007,0.002,0.007,0.019,0.029,0.043,0.075,"3M Company","NYQ","Diversified Machinery","USA"
"AAPL",0.006,0.029,3,-0.038,-0.014,-0.005,0.004,0.008,0.019,0.027,0.043,0.067,"Apple Inc.","NMS","Electronic Equipment","USA"
"UTX",0.009,0.039,3,-0.028,-0.012,-0.005,0.004,0.01,0.019,0.029,0.041,0.092,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"TRV",0.007,0.033,3,-0.031,-0.016,-0.009,-0.001,0.002,0.012,0.025,0.041,0.064,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"IBM",0.007,0.034,3,-0.041,-0.017,-0.009,-0.002,0.001,0.012,0.022,0.034,0.076,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"BA",0.008,0.033,3,-0.021,-0.006,-0.001,0.006,0.008,0.017,0.025,0.038,0.068,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"GS",0.01,0.041,3,-0.038,-0.016,-0.01,-0.003,0.001,0.013,0.024,0.036,0.057,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"V",0.006,0.027,3,-0.017,-0.004,0.003,0.009,0.012,0.025,0.036,0.049,0.079,"Visa Inc.","NYQ","Credit Services","USA"
"WMT",0.006,0.026,3,-0.031,-0.013,-0.007,0.001,0.004,0.015,0.021,0.034,0.056,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"JPM",0.01,0.043,3,-0.029,-0.013,-0.006,0.006,0.008,0.02,0.028,0.044,0.063,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
