"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"XON",0.005,6,-0.022,-0.014,-0.011,-0.007,-0.003,0.005,0.01,0.016,0.026,"Intrexon Corporation","NYQ","Biotechnology","USA"
"RARE",0.008,6,-0.025,-0.011,-0.005,0,0.003,0.011,0.016,0.024,0.033,"Ultragenyx Pharmaceutical Inc.","NMS","Biotechnology","USA"
"RGEN",0.006,6,-0.018,-0.006,0,0.004,0.006,0.011,0.016,0.025,0.038,"Repligen Corporation","NMS","Biotechnology","USA"
"LXRX",0.007,6,-0.031,-0.016,-0.011,-0.005,-0.003,0.005,0.008,0.017,0.035,"Lexicon Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"PTCT",0.005,6,-0.017,-0.005,-0.001,0.004,0.006,0.014,0.022,0.028,0.041,"PTC Therapeutics, Inc.","NMS","Biotechnology","USA"
"SPPI",0.004,6,-0.019,-0.006,-0.002,0.004,0.007,0.013,0.018,0.026,0.045,"Spectrum Pharmaceuticals, Inc.","NMS","Biotechnology","USA"
"ANIK",0.005,6,-0.022,-0.013,-0.009,0,0.007,0.017,0.021,0.025,0.037,"Anika Therapeutics, Inc.","NMS","Biotechnology","USA"
"CYTK",0.006,6,-0.023,-0.014,-0.008,-0.002,0,0.007,0.013,0.023,0.033,"Cytokinetics, Incorporated","NMS","Biotechnology","USA"
"PACB",0.005,6,-0.025,-0.014,-0.009,-0.003,-0.001,0.007,0.013,0.022,0.04,"Pacific Biosciences of California, Inc.","NMS","Biotechnology","USA"
"CCXI",0.005,6,-0.028,-0.014,-0.006,0.001,0.005,0.014,0.019,0.025,0.037,"ChemoCentryx, Inc.","NMS","Biotechnology","USA"
"^NBI",0.015,6,-0.022,-0.009,-0.002,0.002,0.005,0.013,0.017,0.023,0.03,"-","-","-","-"
"^BTK",0.013,6,-0.018,-0.006,-0.001,0.004,0.006,0.013,0.018,0.025,0.034,"-","-","-","-"
"CTRP",0.006,6,-0.026,-0.015,-0.008,-0.002,-0.001,0.012,0.017,0.023,0.032,"Ctrip.com International, Ltd.","NMS","Lodging","USA"
"EXPE",0.004,6,-0.019,-0.007,-0.001,0.002,0.005,0.01,0.015,0.019,0.028,"Expedia, Inc.","NMS","Lodging","USA"
"SHPG",0.005,6,-0.025,-0.014,-0.009,-0.005,-0.003,0.005,0.01,0.016,0.035,"Shire plc","NMS","","USA"
"BLUE",0.004,7,-0.019,-0.005,-0.001,0.002,0.003,0.009,0.014,0.02,0.033,"bluebird bio, Inc.","NMS","Biotechnology","USA"
"NKTR",0.005,7,-0.016,-0.006,0,0.005,0.007,0.014,0.019,0.029,0.053,"Nektar Therapeutics","NMS","Biotechnology","USA"
"WYNN",0.004,7,-0.017,-0.005,-0.002,0.001,0.003,0.011,0.015,0.02,0.032,"Wynn Resorts, Limited","NMS","Resorts & Casinos","USA"
"^DRG",0.01,8,-0.024,-0.009,-0.004,0.001,0.003,0.009,0.016,0.023,0.035,"-","-","-","-"
"^RUT",0.011,8,-0.017,-0.005,0.001,0.006,0.009,0.017,0.02,0.028,0.04,"-","-","-","-"
"AAL",0.005,8,-0.025,-0.016,-0.012,-0.003,0.002,0.009,0.014,0.023,0.029,"American Airlines Group Inc.","NMS","Major Airlines","USA"
"ADP",0.005,8,-0.018,-0.004,0.002,0.006,0.009,0.016,0.022,0.028,0.037,"Automatic Data Processing, Inc.","NMS","Business Software & Services","USA"
"CA",0.007,8,-0.014,-0.004,0.001,0.006,0.008,0.012,0.019,0.023,0.035,"CA, Inc.","NMS","Business Software & Services","USA"
"CERN",0.005,8,-0.022,-0.012,-0.007,-0.001,0.001,0.006,0.011,0.018,0.03,"Cerner Corporation","NMS","Healthcare Information Services","USA"
"CHKP",0.005,8,-0.017,-0.01,-0.005,-0.002,0.002,0.007,0.012,0.018,0.026,"Check Point Software Technologies Ltd.","NMS","Security Software & Services","USA"
"CTAS",0.007,8,-0.013,-0.003,0.001,0.006,0.008,0.016,0.022,0.026,0.042,"Cintas Corporation","NMS","Business Services","USA"
"CSX",0.005,8,-0.016,-0.008,-0.004,0.002,0.005,0.013,0.017,0.023,0.037,"CSX Corporation","NMS","Railroads","USA"
"FAST",0.005,8,-0.013,-0.006,-0.001,0.003,0.005,0.01,0.017,0.024,0.038,"Fastenal Company","NMS","Industrial Equipment Wholesale","USA"
"FISV",0.008,8,-0.012,-0.004,-0.001,0.004,0.006,0.012,0.018,0.028,0.038,"Fiserv, Inc.","NMS","Business Services","USA"
"JBHT",0.005,8,-0.014,-0.004,0.001,0.006,0.008,0.017,0.023,0.029,0.039,"J.B. Hunt Transport Services, Inc.","NMS","Trucking","USA"
"MYL",0.007,8,-0.027,-0.009,-0.005,0,0.002,0.008,0.015,0.024,0.034,"Mylan N.V.","NMS","Drugs - Generic","USA"
"PAYX",0.006,8,-0.018,-0.006,-0.001,0.003,0.005,0.013,0.022,0.027,0.036,"Paychex, Inc.","NMS","Staffing & Outsourcing Services","USA"
"SIRI",0.005,8,-0.015,-0.003,0.001,0.006,0.008,0.014,0.019,0.026,0.039,"Sirius XM Holdings Inc.","NMS","Broadcasting - Radio","USA"
"PCAR",0.006,8,-0.022,-0.01,-0.005,-0.002,0,0.009,0.02,0.029,0.04,"PACCAR Inc","NMS","Trucks & Other Vehicles","USA"
"VRSK",0.005,8,-0.012,-0.002,0.005,0.01,0.013,0.017,0.021,0.03,0.041,"Verisk Analytics, Inc.","NMS","Business Services","USA"
"^BKX",0.006,8,-0.017,-0.007,-0.002,0.001,0.003,0.011,0.018,0.028,0.045,"-","-","-","-"
"DISCA",0.007,9,-0.029,-0.015,-0.01,-0.004,-0.002,0.005,0.012,0.021,0.04,"Discovery Communications, Inc.","NMS","CATV Systems","USA"
"DISCK",0.008,9,-0.03,-0.017,-0.011,-0.003,-0.001,0.005,0.013,0.021,0.041,"Discovery Communications, Inc.","NMS","","USA"
"DISH",0.004,9,-0.028,-0.02,-0.015,-0.011,-0.009,-0.003,0.003,0.008,0.019,"DISH Network Corporation","NMS","CATV Systems","USA"
"TMUS",0.004,9,-0.021,-0.012,-0.006,0,0.001,0.008,0.012,0.017,0.033,"T-Mobile US, Inc.","NMS","Wireless Communications","USA"
"VIAB",0.007,9,-0.024,-0.014,-0.01,-0.005,-0.003,0.003,0.01,0.017,0.039,"Viacom, Inc.","NMS","Entertainment - Diversified","USA"
"QURE",0.003,10,-0.011,0,0.004,0.008,0.009,0.015,0.019,0.026,0.034,"uniQure N.V.","NMS","Biotechnology","USA"
"HAS",0.004,10,-0.034,-0.012,-0.006,-0.002,0,0.005,0.008,0.013,0.023,"Hasbro, Inc.","NMS","Toys & Games","USA"
"MAT",0.005,10,-0.03,-0.016,-0.009,-0.004,0,0.007,0.011,0.017,0.031,"Mattel, Inc.","NMS","Toys & Games","USA"
"COST",0.005,11,-0.018,-0.006,-0.002,0.004,0.006,0.014,0.019,0.026,0.034,"Costco Wholesale Corporation","NMS","Discount, Variety Stores","USA"
"ROST",0.006,11,-0.016,-0.004,0.001,0.004,0.006,0.012,0.017,0.023,0.039,"Ross Stores, Inc.","NMS","Apparel Stores","USA"
"TSCO",0.006,11,-0.026,-0.01,-0.004,0.003,0.006,0.015,0.021,0.032,0.042,"Tractor Supply Company","NMS","Specialty Retail, Other","USA"
"ULTA",0.004,11,-0.021,-0.014,-0.009,-0.005,-0.002,0.003,0.009,0.016,0.026,"Ulta Beauty, Inc.","NMS","Specialty Retail, Other","USA"
"ORLY",0.006,11,-0.018,-0.01,-0.004,0.001,0.004,0.014,0.019,0.023,0.032,"O'Reilly Automotive, Inc.","NMS","Auto Parts Stores","USA"
"JD",0.005,12,-0.025,-0.014,-0.008,-0.002,0,0.009,0.017,0.024,0.038,"JD.com, Inc.","NMS","Internet Information Providers","USA"
"MELI",0.005,12,-0.023,-0.012,-0.007,-0.001,0.001,0.013,0.018,0.024,0.036,"Mercadolibre, Inc.","NMS","Catalog & Mail Order Houses","USA"
"TSLA",0.004,12,-0.022,-0.013,-0.008,-0.004,0,0.008,0.012,0.017,0.027,"Tesla, Inc.","NMS","Auto Manufacturers - Major","USA"
