"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"TRV",0.009,2,-0.031,-0.016,-0.009,-0.002,0.002,0.011,0.022,0.038,0.061,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"WMT",0.008,2,-0.031,-0.013,-0.006,0.001,0.005,0.015,0.023,0.035,0.075,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"GS",0.012,2,-0.042,-0.017,-0.01,-0.004,0,0.011,0.021,0.033,0.055,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"NKE",0.007,2,-0.028,-0.012,-0.003,0.003,0.006,0.016,0.026,0.04,0.063,"NIKE, Inc.","NYQ","Textile - Apparel Footwear & Accessories","USA"
"HD",0.009,2,-0.028,-0.014,-0.003,0.005,0.01,0.024,0.035,0.055,0.084,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"CSCO",0.008,2,-0.024,-0.01,-0.001,0.008,0.011,0.022,0.032,0.042,0.063,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"MCD",0.008,2,-0.03,-0.017,-0.008,-0.001,0.004,0.013,0.022,0.034,0.071,"McDonald's Corporation","NYQ","Restaurants","USA"
"CVX",0.01,2,-0.03,-0.01,-0.003,0.005,0.011,0.021,0.028,0.04,0.067,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"JPM",0.013,2,-0.034,-0.018,-0.009,0.003,0.006,0.015,0.025,0.039,0.06,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"MSFT",0.01,2,-0.022,-0.006,0.001,0.007,0.012,0.022,0.032,0.047,0.079,"Microsoft Corporation","NMS","Business Software & Services","USA"
"MMM",0.012,2,-0.037,-0.02,-0.008,0.001,0.006,0.019,0.028,0.043,0.075,"3M Company","NYQ","Diversified Machinery","USA"
"AAPL",0.009,2,-0.038,-0.014,-0.005,0.005,0.009,0.02,0.031,0.048,0.072,"Apple Inc.","NMS","Electronic Equipment","USA"
"AXP",0.01,2,-0.03,-0.01,-0.003,0.005,0.009,0.021,0.029,0.04,0.071,"American Express Company","NYQ","Credit Services","USA"
"DIS",0.008,2,-0.038,-0.018,-0.01,-0.001,0.001,0.013,0.02,0.03,0.05,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"IBM",0.009,2,-0.044,-0.02,-0.011,-0.003,0.001,0.011,0.021,0.034,0.076,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"V",0.008,2,-0.016,-0.003,0.003,0.01,0.013,0.029,0.041,0.05,0.081,"Visa Inc.","NYQ","Credit Services","USA"
"DWDP",0.01,2,-0.034,-0.018,-0.007,0.001,0.004,0.012,0.023,0.036,0.071,"-","-","-","-"
"UNH",0.008,2,-0.025,-0.01,-0.003,0.003,0.006,0.017,0.027,0.046,0.077,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
