"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"IEXF.L",0.003,0.01,1,-0.005,-0.001,-0.001,0,0,0,0.001,0.003,0.006,"IEXF.L","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials UCITS ETF"
"EEX5.SW",0.001,0.004,1,0,0,0,0,0,0,0,0,0,"EEX5.SW","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF"
"IEAC.SW",0.002,0.01,1,-0.003,0,0,0,0,0,0,0.002,0.005,"IEAC.SW","iShares III Public Limited Company - iShares Core Euro Corporate Bond UCITS ETF"
"SDHG.L",0.003,0.012,1,-0.004,-0.001,0,0.001,0.001,0.001,0.001,0.003,0.006,"SDHG.L","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"IEX5.L",0.003,0.012,1,-0.003,0,0,0,0,0,0,0.001,0.006,"IEX5.L","iShares III Public Limited Company - iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF"
"SDIG.SW",0.002,0.008,1,-0.003,0,0,0,0,0,0,0,0.005,"SDIG.SW","iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF"
"IECF.L",0.003,0.01,1,-0.006,0,0,0,0,0,0,0,0.083,"IECF.L","iShares VI Public Limited Company - iShares Euro Corporate Bond Financials UCITS ETF"
"EUN3.DE",0.018,0.044,2,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"EUN3.DE","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
"IUS5.F",0.012,0.031,2,-0.004,-0.002,-0.001,-0.001,0,0.001,0.003,0.004,0.006,"IUS5.F","iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF"
"EUN3.F",0.016,0.04,2,-0.004,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"EUN3.F","iShares III Public Limited Company - iShares Global Government Bond UCITS ETF"
"IUS5.DE",0.014,0.035,2,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.004,0.006,"IUS5.DE","iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF"
"IS0Q.DE",0.015,0.04,2,-0.006,-0.003,-0.001,0,0,0.002,0.003,0.004,0.007,"IS0Q.DE","iShares V Public Limited Company - iShares $ Emerging Markets Corporate Bond UCITS ETF"
"IS3J.DE",0.023,0.05,2,-0.005,-0.003,-0.002,-0.001,0,0.002,0.003,0.004,0.007,"IS3J.DE","iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF"
"SDHY.AS",0.02,0.046,2,-0.006,-0.003,-0.001,0,0.001,0.002,0.003,0.005,0.007,"SDHY.AS","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"SDIG.AS",0.024,0.05,2,-0.005,-0.003,-0.002,-0.001,0,0.002,0.003,0.005,0.007,"SDIG.AS","iShares IV Public Limited Company - iShares $ Short Duration Corporate Bond UCITS ETF"
"IS3K.DE",0.02,0.047,2,-0.006,-0.003,-0.002,0,0,0.002,0.003,0.005,0.007,"IS3K.DE","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"E20Y.L",0.004,0.014,3,-0.008,-0.002,-0.001,0,0,0.001,0.003,0.005,0.012,"E20Y.L","iShares IV Public Limited Company - iShares Euro Government Bond 20yr Target Duration UCITS ETF"
"IITB.L",0.006,0.021,3,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.004,"IITB.L","iShares V Public Limited Company - iShares Italy Government Bond UCITS ETF"
"IFRB.L",0.002,0.008,3,-0.002,0,0,0,0,0,0,0.001,0.003,"IFRB.L","iShares V Public Limited Company - iShares France Government Bond UCITS ETF"
"IESP.L",0.008,0.018,3,-0.003,-0.001,0,0,0,0.001,0.001,0.002,0.003,"IESP.L","iShares V Public Limited Company - iShares Spain Government Bond UCITS ETF"
"IEGZ.SW",0.002,0.007,3,0,0,0,0,0,0,0,0,0.001,"IEGZ.SW","iShares III Public Limited Company - iShares Euro Government Bond 10-15yr UCITS ETF"
"IEGY.L",0.008,0.019,3,-0.002,0,0,0,0,0,0.001,0.001,0.003,"IEGY.L","iShares III Public Limited Company - iShares Euro Government Bond 5-7yr UCITS ETF"
"EUN6.DE",0.006,0.023,3,0,0,0,0,0,0,0,0,0,"EUN6.DE","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
"IBGM.MI",0.005,0.014,3,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"IBGM.MI","iShares II Public Limited Company - iShares Euro Government Bond 7-10yr UCITS ETF"
"IBGL.MI",0.004,0.012,3,-0.006,-0.002,-0.001,0,0,0.002,0.003,0.004,0.006,"IBGL.MI","iShares II Public Limited Company - iShares Euro Government Bond 15-30yr UCITS ETF"
"IEGE.L",0.008,0.016,3,0,0,0,0,0,0,0,0,0.001,"IEGE.L","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
"IEGY.SW",0.001,0.003,3,0,0,0,0,0,0,0,0,0,"IEGY.SW","iShares III Public Limited Company - iShares Euro Government Bond 5-7yr UCITS ETF"
"IITB.SW",0.002,0.007,3,0,0,0,0,0,0,0,0,0.003,"IITB.SW","iShares V Public Limited Company - iShares Italy Government Bond UCITS ETF"
"IBGS.MI",0.005,0.018,3,-0.001,0,0,0,0,0,0,0,0.001,"IBGS.MI","iShares Public Limited Company - iShares Euro Government Bond 1-3yr UCITS ETF"
"SAAA.L",0.002,0.006,3,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"SAAA.L","iShares VI Public Limited Company - iShares Global AAA-AA Government Bond UCITS ETF"
"EUN6.F",0.005,0.019,3,0,0,0,0,0,0,0,0,0,"EUN6.F","iShares III Public Limited Company - iShares Euro Government Bond 0-1yr UCITS ETF"
"SSXF.L",0.007,0.021,3,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.004,"SSXF.L","iShares III Public Limited Company - iShares £ Corporate Bond ex-Financials UCITS ETF"
"SUSS.L",0.006,0.022,3,-0.001,0,0,0,0,0,0,0,0.002,"SUSS.L","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"SUSE.L",0.013,0.051,3,-0.006,-0.003,-0.001,0,0,0.001,0.002,0.004,0.01,"SUSE.L","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"CRPH.L",0.002,0.007,3,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"CRPH.L","iShares VI Public Limited Company - iShares Global Corporate Bond EUR Hedged UCITS ETF"
"EUCF.L",0.006,0.019,3,-0.002,-0.001,0,0,0,0,0.001,0.001,0.002,"EUCF.L","iShares VI Public Limited Company - iShares Euro Corporate Bond Financials UCITS ETF"
"IRCP.L",0.005,0.019,3,-0.001,-0.001,0,0,0,0,0,0.001,0.002,"IRCP.L","iShares V Public Limited Company - iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF"
"SUSE.SW",0.002,0.007,3,0,0,0,0,0,0,0,0,0,"SUSE.SW","iShares Euro Corporate Bond Sustainability Screened 0-3yr UCITS ETF"
"IEBB.L",0.007,0.015,3,-0.001,0,0,0,0,0,0,0.001,0.002,"IEBB.L","iShares III Public Limited Company - iShares Euro Corporate Bond BBB-BB UCITS ETF"
"SE15.SW",0.002,0.007,3,0,0,0,0,0,0,0,0,0,"SE15.SW","iShares III Public Limited Company - iShares Euro Corporate Bond 1-5yr UCITS ETF"
"SDHY.SW",0.002,0.008,3,-0.002,0,0,0,0,0,0,0.002,0.007,"SDHY.SW","iShares IV Public Limited Company - iShares $ Short Duration High Yield Corporate Bond UCITS ETF"
"EXHF.F",0.015,0.041,4,-0.002,-0.001,0,0,0,0.001,0.001,0.002,0.003,"EXHF.F","iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF (DE)"
"SXRP.DE",0.008,0.027,4,-0.002,-0.001,0,0,0,0,0,0.001,0.002,"SXRP.DE","iShares VII Public Limited Company - iShares Euro Government Bond 3-7yr UCITS ETF (Acc)"
"IEGA.AS",0.047,0.113,4,-0.003,-0.001,0,0,0,0.001,0.001,0.002,0.003,"IEGA.AS","iShares III Public Limited Company - iShares Core Euro Government Bond UCITS ETF"
"EXHF.DE",0.029,0.077,4,-0.002,-0.001,0,0,0,0.001,0.001,0.001,0.003,"EXHF.DE","iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF (DE)"
"IS0P.DE",0.005,0.017,4,-0.003,-0.001,-0.001,0,0,0.001,0.002,0.002,0.003,"IS0P.DE","iShares V Public Limited Company - iShares Spain Government Bond UCITS ETF"
"IS0K.F",0.002,0.007,4,-0.001,0,0,0,0,0,0,0.001,0.002,"IS0K.F","iShares V Public Limited Company - iShares France Government Bond UCITS ETF"
"SXRQ.DE",0.003,0.012,4,-0.003,0,0,0,0,0,0.001,0.002,0.003,"SXRQ.DE","iShares VII Public Limited Company - iShares Euro Government Bond 7-10yr UCITS ETF (Acc)"
"EUNH.DE",0.05,0.122,4,-0.002,-0.001,0,0,0,0.001,0.001,0.002,0.003,"EUNH.DE","iShares III Public Limited Company - iShares Core Euro Government Bond UCITS ETF"
