"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XEN.TO",0.005,0.014,1,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.009,"XEN.TO","iShares Jantzi Social Index ETF"
"XSH.TO",0.002,0.008,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.002,"XSH.TO","iShares Core Canadian Short Term Corporate + Maple Bond Index ETF"
"ZFM.TO",0.002,0.008,1,-0.003,-0.002,-0.001,0,0,0.001,0.001,0.002,0.003,"ZFM.TO","BMO Mid Federal Bond Index ETF"
"URTH",0.017,0.047,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.01,"URTH","iShares, Inc. - iShares MSCI World ETF"
"SPY",0.044,0.108,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"SPY","SPDR S&P 500 ETF Trust"
"ITOT",0.055,0.136,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"ITOT","iShares Trust - iShares Core S&P Total U.S. Stock Market ETF"
"IVV",0.053,0.132,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.008,0.012,"IVV","iShares Trust - iShares Core S&P 500 ETF"
"IWV",0.061,0.148,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"IWV","iShares Trust - iShares Russell 3000 ETF"
"^W5000",0.047,0.114,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.011,"^W5000","^W5000"
"^GSPC",0.064,0.158,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.012,"^GSPC","^GSPC"
"^NDX",0.01,0.025,2,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"^NDX","^NDX"
"^DJI",0.016,0.045,2,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.005,0.008,0.014,"^DJI","^DJI"
"^IXIC",0.012,0.03,2,-0.009,-0.003,-0.001,0,0.001,0.004,0.007,0.009,0.015,"^IXIC","^IXIC"
"^NYA",0.017,0.048,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.006,0.01,"^NYA","^NYA"
"^RUT",0.007,0.022,2,-0.009,-0.003,-0.001,0.001,0.002,0.004,0.006,0.009,0.013,"^RUT","^RUT"
"^RUA",0.008,0.023,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.005,0.007,0.011,"^RUA","^RUA"
"^RUI",0.069,0.171,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.012,"^RUI","^RUI"
"CRBN",0.014,0.038,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,"CRBN","iShares MSCI ACWI Low Carbon Target ETF"
"IEFA",0.005,0.013,2,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.009,"IEFA","iShares Core MSCI EAFE ETF"
"IEMG",0.004,0.012,2,-0.014,-0.006,-0.003,-0.001,0.001,0.004,0.007,0.011,0.017,"IEMG","iShares, Inc. - iShares Core MSCI Emerging Markets ETF"
"PZD",0.002,0.008,2,-0.009,-0.004,-0.002,0,0.001,0.004,0.006,0.008,0.013,"PZD","PowerShares Exchange-Traded Fund Trust - PowerShares Cleantech Portfolio"
"VIDI",0.004,0.012,2,-0.01,-0.004,-0.003,-0.001,0,0.003,0.005,0.008,0.012,"VIDI","Vident International Equity"
"VTI",0.056,0.138,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.005,0.008,0.012,"VTI","Vanguard Index Funds - Vanguard Total Stock Market ETF"
"VEF.TO",0.013,0.036,3,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.01,"VEF.TO","Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged)"
"ZWE.TO",0.004,0.013,3,-0.007,-0.004,-0.002,0,0,0.002,0.004,0.006,0.01,"ZWE.TO","BMO Europe High Dividend Covered Call Hedged to CAD ETF"
"ZEQ.TO",0.005,0.014,3,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.01,"ZEQ.TO","BMO MSCI Europe High Quality Hedged to CAD Index ETF"
"ZDM.TO",0.012,0.033,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,"ZDM.TO","BMO MSCI EAFE Hedged to CAD Index ETF"
"ZDH.TO",0.004,0.012,3,-0.008,-0.003,-0.002,0,0,0.003,0.004,0.006,0.009,"ZDH.TO","BMO International Dividend Hedged to CAD ETF"
"XFH.TO",0.011,0.029,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.009,"XFH.TO","iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)"
"XIN.TO",0.017,0.044,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"XFF.TO",0.005,0.015,3,-0.008,-0.003,-0.002,0,0,0.003,0.005,0.008,0.011,"XFF.TO","iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged)"
"EUR.TO",0.001,0.005,3,-0.007,0,0,0,0,0,0.001,0.006,0.012,"EUR.TO","First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged)"
"XEH.TO",0.006,0.018,3,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.01,"XEH.TO","iShares MSCI Europe IMI Index ETF (CAD-Hedged)"
"VGH.TO",0.012,0.034,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VGH.TO","Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged)"
"ZDJ.TO",0.022,0.056,4,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.013,"ZDJ.TO","BMO Dow Jones Industrial Average Hedged to CAD Index ETF"
"ZWA.TO",0.023,0.063,4,-0.009,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.013,"ZWA.TO","BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF"
"ULV.TO",0.004,0.015,4,-0.005,0,0,0,0,0,0.002,0.005,0.009,"ULV.TO","PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF"
"ZUE.TO",0.032,0.079,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"ZUE.TO","BMO S&P 500 Hedged to CAD Index ETF"
"ZUD.TO",0.006,0.019,4,-0.007,-0.002,0,0,0.001,0.003,0.005,0.007,0.009,"ZUD.TO","BMO US Dividend Hedged to CAD ETF"
"ZQQ.TO",0.011,0.027,4,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"ZQQ.TO","BMO NASDAQ 100 Equity Hedged to CAD Index ETF"
"VUS.TO",0.031,0.079,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"VUS.TO","Vanguard U.S. Total Market Index ETF (CAD-Hedged)"
"VSP.TO",0.041,0.103,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VSP.TO","Vanguard S&P 500 Index ETF (CAD-hedged)"
"CUD.TO",0.008,0.026,4,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.004,0.006,0.01,"CUD.TO","iShares US Dividend Growers Index ETF (CAD-Hedged)"
"XSU.TO",0.005,0.017,4,-0.008,-0.003,-0.001,0.001,0.002,0.004,0.006,0.008,0.013,"XSU.TO","iShares U.S. Small Cap Index ETF (CAD-Hedged)"
"XHD.TO",0.004,0.013,4,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.006,0.011,"XHD.TO","iShares U.S. High Dividend Equity Index ETF (CAD-Hedged)"
"XHC.TO",0.004,0.014,4,-0.009,-0.003,-0.001,0,0.001,0.004,0.005,0.008,0.012,"XHC.TO","iShares Global Healthcare Index ETF (CAD-Hedged)"
"XSP.TO",0.037,0.096,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XSP.TO","iShares Core S&P 500 Index ETF (CAD-Hedged)"
"ZUH.TO",0.007,0.02,4,-0.01,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.014,"ZUH.TO","BMO Equal Weight US Health Care Hedged to CAD Index ETF"
"XMH.TO",0.006,0.018,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XMH.TO","iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged)"
"XQQ.TO",0.011,0.025,4,-0.01,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"XQQ.TO","iShares NASDAQ 100 Index ETF (CAD-Hedged)"
"XUH.TO",0.01,0.03,4,-0.008,-0.003,0,0.001,0.002,0.004,0.005,0.007,0.011,"XUH.TO","iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged)"
