"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"VEF.TO",0.007,0.005,0.019,0.45,6,-0.007,-0.003,-0.001,0,0.001,0.002,0.003,0.005,0.008,"VEF.TO","Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged)"
"XUH.TO",0.006,0.002,0.021,0.855,6,-0.006,-0.002,-0.001,0,0.001,0.004,0.005,0.006,0.01,"XUH.TO","iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged)"
"ZUD.TO",0.003,0.005,0.011,0.642,6,-0.006,-0.002,-0.001,0,0,0.002,0.004,0.006,0.009,"ZUD.TO","BMO US Dividend Hedged to CAD ETF"
"ZUH.TO",0.006,0.002,0.019,0.928,6,-0.008,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.013,"ZUH.TO","BMO Equal Weight US Health Care Hedged to CAD Index ETF"
"XSP.TO",0.02,0.002,0.051,0.833,6,-0.006,-0.002,-0.001,0.001,0.001,0.003,0.005,0.006,0.009,"XSP.TO","iShares Core S&P 500 Index ETF (CAD-Hedged)"
"XIC.TO",0.004,0.001,0.011,0.81,6,-0.005,-0.002,-0.001,0,0,0.002,0.004,0.005,0.007,"XIC.TO","iShares Core S&P/TSX Capped Composite Index ETF"
"ZWE.TO",0.002,0.008,0.008,0.311,6,-0.007,-0.004,-0.002,0,0,0.002,0.004,0.006,0.01,"ZWE.TO","BMO Europe High Dividend Covered Call Hedged to CAD ETF"
"XFH.TO",0.006,0.006,0.018,0.391,6,-0.009,-0.003,-0.001,0,0,0.002,0.004,0.006,0.009,"XFH.TO","iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)"
"PDF.TO",0.002,0.005,0.009,0.594,6,-0.005,-0.003,-0.002,0,0,0.002,0.003,0.005,0.007,"PDF.TO","Purpose Fund Corp. - Purpose Core Dividend Fund"
"CYH.TO",0.003,0.005,0.011,0.524,6,-0.004,-0.003,-0.001,0,0,0.002,0.003,0.005,0.007,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"XHC.TO",0.005,0.005,0.017,0.728,6,-0.007,-0.002,-0.001,0.001,0.002,0.004,0.005,0.007,0.01,"XHC.TO","iShares Global Healthcare Index ETF (CAD-Hedged)"
"ZDJ.TO",0.011,0.002,0.029,0.74,6,-0.006,-0.003,-0.001,0,0.001,0.004,0.005,0.007,0.011,"ZDJ.TO","BMO Dow Jones Industrial Average Hedged to CAD Index ETF"
"XQQ.TO",0.007,0,0.021,1.059,6,-0.008,-0.003,-0.001,0.001,0.001,0.004,0.006,0.01,0.013,"XQQ.TO","iShares NASDAQ 100 Index ETF (CAD-Hedged)"
"XIN.TO",0.008,0.005,0.024,0.43,6,-0.008,-0.003,-0.001,0.001,0.002,0.003,0.004,0.005,0.009,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"VUS.TO",0.018,0.001,0.045,0.887,6,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.006,0.008,"VUS.TO","Vanguard U.S. Total Market Index ETF (CAD-Hedged)"
"XMH.TO",0.004,0.001,0.014,0.899,6,-0.006,-0.003,-0.001,0,0.001,0.003,0.005,0.006,0.01,"XMH.TO","iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged)"
