"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"AXP",0.008,2,-0.014,-0.004,0,0.005,0.008,0.015,0.021,0.032,0.046,"American Express Company","NYQ","Credit Services","USA"
"JPM",0.014,2,-0.017,-0.007,-0.001,0.003,0.006,0.016,0.023,0.032,0.047,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"MMM",0.007,2,-0.02,-0.013,-0.007,0,0.003,0.015,0.022,0.03,0.042,"3M Company","NYQ","Diversified Machinery","USA"
"CAT",0.012,2,-0.012,-0.003,0.001,0.007,0.011,0.021,0.029,0.035,0.051,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"HD",0.006,2,-0.015,-0.009,-0.003,0.004,0.008,0.018,0.028,0.036,0.055,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"UTX",0.009,2,-0.019,-0.011,-0.005,0.003,0.005,0.014,0.021,0.029,0.048,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"BA",0.008,2,-0.005,0.001,0.006,0.01,0.012,0.019,0.027,0.034,0.051,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"GS",0.009,2,-0.02,-0.009,-0.005,-0.002,0.001,0.009,0.015,0.022,0.033,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"XOM",0.01,2,-0.026,-0.009,-0.004,0,0.003,0.016,0.021,0.027,0.037,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
"TRV",0.007,2,-0.017,-0.011,-0.006,-0.003,0,0.009,0.017,0.026,0.046,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"FAST",0.006,2,-0.013,-0.006,0,0.004,0.005,0.011,0.018,0.026,0.041,"Fastenal Company","NMS","Industrial Equipment Wholesale","USA"
"PCAR",0.009,2,-0.023,-0.01,-0.005,-0.002,0.001,0.011,0.022,0.032,0.044,"PACCAR Inc","NMS","Trucks & Other Vehicles","USA"
"C",0.011,2,-0.023,-0.012,-0.006,-0.002,0.001,0.012,0.019,0.026,0.037,"Citigroup Inc.","NYQ","Money Center Banks","USA"
"WFC",0.011,2,-0.023,-0.014,-0.006,-0.002,0.002,0.014,0.02,0.028,0.041,"Wells Fargo & Company","NYQ","Money Center Banks","USA"
"GLE.PA",0.007,2,-0.033,-0.019,-0.011,-0.006,-0.003,0.006,0.011,0.017,0.031,"Societe Generale Group","PAR","Money Center Banks","France"
"LLOY.L",0.007,2,-0.029,-0.018,-0.012,-0.007,-0.005,0.007,0.012,0.02,0.035,"Lloyds Banking Group plc","LSE","Money Center Banks","United Kingdom"
"DB",0.006,2,-0.03,-0.017,-0.011,-0.008,-0.006,0.002,0.009,0.018,0.039,"Deutsche Bank Aktiengesellschaft","NYQ","Foreign Regional Banks","USA"
"HTH",0.006,2,-0.024,-0.014,-0.009,-0.002,0,0.009,0.021,0.03,0.039,"Hilltop Holdings Inc.","NYQ","Mortgage Investment","USA"
"HSBC",0.009,2,-0.024,-0.01,-0.004,0.001,0.003,0.014,0.02,0.026,0.034,"HSBC Holdings plc","NYQ","Foreign Money Center Banks","USA"
"ING",0.011,2,-0.031,-0.019,-0.012,-0.004,-0.001,0.007,0.017,0.031,0.043,"ING Groep N.V.","NYQ","","USA"
"RBS",0.007,2,-0.026,-0.015,-0.007,0.001,0.003,0.011,0.018,0.028,0.039,"The Royal Bank of Scotland Group plc","NYQ","","USA"
"USB",0.011,2,-0.02,-0.01,-0.005,-0.001,0.001,0.007,0.012,0.019,0.032,"U.S. Bancorp","NYQ","Regional - Midwest Banks","USA"
"UBS",0.008,2,-0.027,-0.015,-0.01,-0.002,0.001,0.011,0.019,0.026,0.043,"UBS Group AG","NYQ","Foreign Money Center Banks","USA"
