"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"EXSI.DE",0.053,0.133,1,-0.008,-0.004,-0.002,0,0,0.003,0.004,0.006,0.01,"EXSI.DE","iShares EURO STOXX UCITS ETF (DE)"
"IQQM.DE",0.024,0.058,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"IQQM.DE","iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF"
"EXV2.F",0.002,0.009,2,-0.012,-0.005,-0.003,-0.001,0,0.002,0.005,0.007,0.014,"EXV2.F","iShares (DE) I - iShares STOXX Europe 600 Telecommunications UCITS ETF (DE)"
"EXH1.F",0.002,0.009,2,-0.011,-0.004,-0.002,0,0.001,0.004,0.007,0.01,0.014,"EXH1.F","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"ISPA.F",0.006,0.017,2,-0.007,-0.003,-0.002,0,0,0.002,0.004,0.006,0.01,"ISPA.F","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"EXSH.F",0.007,0.022,2,-0.007,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.009,"EXSH.F","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"EXH9.F",0.003,0.009,2,-0.011,-0.005,-0.003,0,0,0.003,0.005,0.007,0.014,"EXH9.F","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXH9.DE",0.003,0.008,2,-0.011,-0.005,-0.003,0,0.001,0.003,0.005,0.007,0.013,"EXH9.DE","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"EXV5.F",0.003,0.009,2,-0.013,-0.005,-0.003,-0.001,0,0.003,0.006,0.01,0.016,"EXV5.F","iShares (DE) I - iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE)"
"EXV7.F",0.008,0.023,2,-0.011,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.013,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"EXSH.DE",0.009,0.027,2,-0.007,-0.004,-0.001,0,0.001,0.002,0.004,0.006,0.009,"EXSH.DE","iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)"
"EXV3.F",0.003,0.01,2,-0.012,-0.004,-0.003,0,0.001,0.004,0.007,0.01,0.015,"EXV3.F","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
"EXV6.DE",0.003,0.008,2,-0.016,-0.007,-0.003,0,0.001,0.006,0.009,0.013,0.019,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"ISPA.DE",0.005,0.015,2,-0.007,-0.003,-0.002,-0.001,0,0.002,0.004,0.006,0.008,"ISPA.DE","iShares (DE) I - iShares STOXX Global Select Dividend 100 UCITS ETF (DE)"
"EXV6.F",0.003,0.009,2,-0.018,-0.007,-0.004,0,0.001,0.005,0.009,0.013,0.019,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXI5.DE",0.002,0.007,2,-0.007,-0.004,-0.002,-0.001,-0.001,0.002,0.005,0.007,0.011,"EXI5.DE","iShares (DE) I - iShares STOXX Europe 600 Real Estate UCITS ETF (DE)"
"EXFN.AS",0.001,0.002,2,-0.002,0,0,0,0,0,0,0.001,0.006,"EXFN.AS","iShares II Public Limited Company - iShares EURO STOXX 50 ex-Financials UCITS ETF"
"CSX5.L",0.001,0.006,2,-0.008,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.015,"CSX5.L","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"^SSMI",0.004,0.011,3,-0.009,-0.004,-0.002,-0.001,0,0.002,0.004,0.007,0.013,"-","-"
"CSSX5E.SW",0.004,0.012,3,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.008,0.013,"CSSX5E.SW","iShares VII Public Limited Company - iShares Core EURO STOXX 50 UCITS ETF"
"SX7EEX.SW",0.003,0.009,3,-0.016,-0.007,-0.003,-0.001,0,0.002,0.005,0.01,0.017,"SX7EEX.SW","iShares EURO STOXX Banks 30-15 UCITS ETF (DE)"
