"","so","mem","Q%10","Q%25","Q%35","Q%45","Q%50","Q%65","Q%75","Q%85","Q%95"
"MEG.TO",0.014,4,-0.024,-0.011,-0.007,-0.002,0.001,0.013,0.021,0.036,0.053
"PD.TO",0.016,4,-0.031,-0.018,-0.011,-0.006,-0.004,0.006,0.015,0.025,0.042
"PEY.TO",0.009,4,-0.04,-0.025,-0.019,-0.012,-0.01,-0.003,0.004,0.012,0.022
"PGF.TO",0.013,4,-0.032,-0.021,-0.015,-0.009,-0.008,0.001,0.011,0.021,0.032
"PPL.TO",0.012,4,-0.03,-0.018,-0.01,-0.003,0.001,0.007,0.013,0.024,0.047
"SU.TO",0.018,4,-0.03,-0.015,-0.008,0.002,0.008,0.02,0.028,0.036,0.05
"TCW.TO",0.013,4,-0.03,-0.016,-0.01,-0.005,-0.002,0.005,0.012,0.02,0.037
"WCP.TO",0.015,4,-0.031,-0.018,-0.01,-0.004,-0.002,0.007,0.011,0.021,0.033
"ARX.TO",0.01,4,-0.036,-0.017,-0.009,-0.006,-0.004,0.003,0.01,0.017,0.029
"POU.TO",0.012,4,-0.036,-0.018,-0.012,-0.006,-0.004,0.008,0.015,0.026,0.039
