"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"BN.PA",0.007,0.032,5,-0.036,-0.018,-0.009,-0.002,0.001,0.012,0.021,0.032,0.052,"Danone","PAR","Food - Major Diversified","France"
"ENGI.PA",0.01,0.043,5,-0.043,-0.017,-0.008,-0.002,0.002,0.011,0.022,0.039,0.07,"ENGIE SA","PAR","","France"
"COFB.BR",0.007,0.031,5,-0.026,-0.011,-0.004,0.002,0.006,0.014,0.021,0.034,0.063,"Cofinimmo S.A.","BRU","REIT - Diversified","Belgium"
"SAN.MC",0.015,0.06,6,-0.041,-0.02,-0.014,-0.008,-0.004,0.008,0.019,0.028,0.066,"Banco Santander, S.A.","MCE","Money Center Banks","Spain"
"MAP.MC",0.009,0.036,6,-0.039,-0.022,-0.013,-0.005,-0.003,0.009,0.018,0.03,0.05,"Mapfre, S.A.","MCE","Accident & Health Insurance","Spain"
"BKT.MC",0.011,0.044,6,-0.039,-0.019,-0.012,-0.005,0.001,0.013,0.022,0.034,0.057,"Bankinter, S.A.","MCE","Money Center Banks","Spain"
"BBVA.MC",0.013,0.05,6,-0.039,-0.019,-0.013,-0.007,-0.003,0.007,0.014,0.023,0.046,"Banco Bilbao Vizcaya Argentaria, S.A.","MCE","Money Center Banks","Spain"
"CABK.MC",0.009,0.038,6,-0.034,-0.02,-0.012,-0.007,-0.004,0.008,0.018,0.028,0.057,"CaixaBank, S.A.","MCE","","Spain"
"ACA.PA",0.009,0.039,6,-0.051,-0.027,-0.017,-0.009,-0.004,0.007,0.017,0.024,0.062,"Credit Agricole S.A.","PAR","Money Center Banks","France"
"GLE.PA",0.012,0.049,6,-0.052,-0.031,-0.02,-0.012,-0.008,0.004,0.016,0.033,0.05,"Societe Generale Group","PAR","Money Center Banks","France"
"BNP.PA",0.014,0.054,6,-0.051,-0.024,-0.017,-0.01,-0.004,0.009,0.016,0.028,0.075,"BNP Paribas SA","PAR","Money Center Banks","France"
"KBC.BR",0.009,0.038,6,-0.029,-0.015,-0.011,-0.004,-0.002,0.008,0.016,0.026,0.053,"KBC Group NV","BRU","Money Center Banks","Belgium"
