"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"CHB.TO",0.002,0.009,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"CHB.TO","iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)"
"FSL.TO",0.002,0.007,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"FSL.TO","First Trust Senior Loan ETF (CAD-Hedged)"
"FUD.TO",0.001,0.004,1,0,0,0,0,0,0,0,0,0.008,"FUD.TO","First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged)"
"VBG.TO",0.004,0.013,1,-0.002,-0.001,0,0,0,0,0.001,0.002,0.003,"VBG.TO","Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged)"
"XCD.TO",0.003,0.011,1,-0.01,-0.003,0,0,0,0.003,0.005,0.009,0.013,"XCD.TO","iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged)"
"XIG.TO",0.004,0.012,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.004,"XIG.TO","iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged)"
"XGI.TO",0.003,0.012,1,-0.011,-0.002,0,0,0,0.002,0.005,0.008,0.013,"XGI.TO","iShares S&P Global Industrials Index ETF (CAD-Hedged)"
"ITOT",0.046,0.102,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"-","-"
"IVV",0.042,0.094,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.008,0.012,"-","-"
"IWV",0.05,0.11,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"-","-"
"^W5000",0.042,0.092,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.011,"-","-"
"^GSPC",0.05,0.113,2,-0.007,-0.002,-0.001,0.001,0.001,0.002,0.004,0.008,0.012,"-","-"
"^NDX",0.013,0.03,2,-0.011,-0.003,-0.001,0,0.001,0.004,0.006,0.01,0.017,"-","-"
"^DJI",0.017,0.042,2,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.005,0.008,0.014,"-","-"
"^IXIC",0.016,0.035,2,-0.009,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.015,"-","-"
"^NYA",0.017,0.041,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.004,0.006,0.01,"-","-"
"^RUT",0.008,0.023,2,-0.009,-0.003,-0.001,0.001,0.002,0.004,0.006,0.009,0.013,"-","-"
"^RUA",0.01,0.027,2,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.005,0.007,0.011,"-","-"
"^RUI",0.055,0.124,2,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.008,0.012,"-","-"
"VEF.TO",0.02,0.053,3,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.01,"VEF.TO","Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged)"
"ZWE.TO",0.005,0.018,3,-0.007,-0.004,-0.002,0,0,0.002,0.004,0.006,0.01,"ZWE.TO","BMO Europe High Dividend Covered Call Hedged to CAD ETF"
"ZEQ.TO",0.007,0.02,3,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.01,"ZEQ.TO","BMO MSCI Europe High Quality Hedged to CAD Index ETF"
"ZDM.TO",0.018,0.048,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,"ZDM.TO","BMO MSCI EAFE Hedged to CAD Index ETF"
"ZDH.TO",0.006,0.018,3,-0.008,-0.003,-0.002,0,0,0.003,0.004,0.006,0.009,"ZDH.TO","BMO International Dividend Hedged to CAD ETF"
"XFH.TO",0.018,0.045,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.009,"XFH.TO","iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)"
"XIN.TO",0.025,0.065,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"XFF.TO",0.007,0.021,3,-0.008,-0.003,-0.002,0,0,0.003,0.005,0.008,0.011,"XFF.TO","iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged)"
"EUR.TO",0.002,0.007,3,-0.007,0,0,0,0,0,0.001,0.006,0.012,"EUR.TO","First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged)"
"XEH.TO",0.01,0.026,3,-0.008,-0.003,-0.002,0,0.001,0.003,0.005,0.007,0.01,"XEH.TO","iShares MSCI Europe IMI Index ETF (CAD-Hedged)"
"VGH.TO",0.019,0.053,4,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VGH.TO","Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged)"
"ZDJ.TO",0.036,0.09,4,-0.008,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.013,"ZDJ.TO","BMO Dow Jones Industrial Average Hedged to CAD Index ETF"
"ZWA.TO",0.037,0.101,4,-0.009,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.013,"ZWA.TO","BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF"
"ULV.TO",0.006,0.021,4,-0.005,0,0,0,0,0,0.002,0.005,0.009,"ULV.TO","PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF"
"ZUE.TO",0.051,0.125,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.004,0.007,0.011,"ZUE.TO","BMO S&P 500 Hedged to CAD Index ETF"
"ZUD.TO",0.009,0.028,4,-0.007,-0.002,0,0,0.001,0.003,0.005,0.007,0.009,"ZUD.TO","BMO US Dividend Hedged to CAD ETF"
"ZQQ.TO",0.018,0.041,4,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"ZQQ.TO","BMO NASDAQ 100 Equity Hedged to CAD Index ETF"
"VUS.TO",0.05,0.126,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"VUS.TO","Vanguard U.S. Total Market Index ETF (CAD-Hedged)"
"VSP.TO",0.065,0.163,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VSP.TO","Vanguard S&P 500 Index ETF (CAD-hedged)"
"CUD.TO",0.012,0.036,4,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.004,0.006,0.01,"CUD.TO","iShares US Dividend Growers Index ETF (CAD-Hedged)"
"XSU.TO",0.008,0.025,4,-0.008,-0.003,-0.001,0.001,0.002,0.004,0.006,0.008,0.013,"XSU.TO","iShares U.S. Small Cap Index ETF (CAD-Hedged)"
"XHD.TO",0.005,0.018,4,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.006,0.011,"XHD.TO","iShares U.S. High Dividend Equity Index ETF (CAD-Hedged)"
"XHC.TO",0.007,0.021,4,-0.009,-0.004,-0.001,0,0.001,0.004,0.005,0.008,0.012,"XHC.TO","iShares Global Healthcare Index ETF (CAD-Hedged)"
"XSP.TO",0.059,0.148,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XSP.TO","iShares Core S&P 500 Index ETF (CAD-Hedged)"
"ZUH.TO",0.01,0.03,4,-0.01,-0.003,-0.001,0,0.001,0.003,0.006,0.009,0.014,"ZUH.TO","BMO Equal Weight US Health Care Hedged to CAD Index ETF"
"XMH.TO",0.009,0.026,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.012,"XMH.TO","iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged)"
"XQQ.TO",0.017,0.039,4,-0.01,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"XQQ.TO","iShares NASDAQ 100 Index ETF (CAD-Hedged)"
"XUH.TO",0.015,0.046,4,-0.008,-0.003,0,0.001,0.002,0.004,0.005,0.007,0.011,"XUH.TO","iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged)"
