"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Symbol","Name"
"AIA",0.008,0.031,4,-0.034,-0.013,-0.007,0.002,0.005,0.015,0.023,0.039,0.078,"AIA","iShares Asia 50 ETF"
"LEMB",0.005,0.021,4,-0.04,-0.018,-0.011,-0.005,0,0.011,0.019,0.03,0.058,"LEMB","iShares JP Morgan EM Local Ccy Bd ETF"
"EWL",0.007,0.029,4,-0.036,-0.016,-0.008,0.003,0.005,0.016,0.027,0.047,0.082,"EWL","iShares MSCI Switzerland Capped ETF"
"EWW",0.004,0.016,4,-0.041,-0.02,-0.013,-0.006,-0.004,0.007,0.016,0.031,0.058,"EWW","iShares MSCI Mexico Capped ETF"
"SCZ",0.011,0.042,4,-0.032,-0.015,-0.005,0.004,0.008,0.024,0.032,0.048,0.09,"SCZ","iShares MSCI EAFE Small-Cap ETF"
"EZA",0.005,0.02,4,-0.037,-0.019,-0.013,-0.005,-0.003,0.01,0.024,0.038,0.071,"EZA","iShares MSCI South Africa ETF"
"THD",0.004,0.018,4,-0.029,-0.012,-0.003,0.003,0.007,0.019,0.026,0.036,0.058,"THD","iShares MSCI Thailand Capped ETF"
"EWT",0.006,0.025,4,-0.035,-0.017,-0.009,-0.001,0.002,0.015,0.026,0.042,0.068,"EWT","iShares MSCI Taiwan Capped ETF"
"IEUS",0.009,0.037,4,-0.03,-0.015,-0.007,0.003,0.007,0.02,0.026,0.039,0.077,"IEUS","iShares MSCI Europe Small-Cap ETF"
"EPU",0.003,0.015,4,-0.045,-0.015,-0.004,0.003,0.007,0.02,0.028,0.038,0.065,"EPU","iShares MSCI All Peru ETF"
"^RUT",0.013,0.047,5,-0.027,-0.015,-0.004,0.005,0.009,0.022,0.032,0.045,0.081,"-","-"
"IWC",0.01,0.036,5,-0.033,-0.016,-0.006,0.005,0.009,0.022,0.035,0.054,0.086,"IWC","iShares Micro-Cap ETF"
"JKK",0.007,0.026,5,-0.025,-0.007,0,0.008,0.012,0.022,0.032,0.042,0.092,"JKK","iShares Morningstar Small-Cap Growth ETF"
"JKJ",0.011,0.039,5,-0.03,-0.013,-0.004,0.003,0.006,0.018,0.03,0.048,0.083,"JKJ","iShares Trust - iShares Morningstar Small-Cap ETF"
"IWO",0.011,0.04,5,-0.029,-0.011,-0.003,0.007,0.011,0.023,0.032,0.044,0.083,"IWO","iShares Russell 2000 Growth ETF"
"IJS",0.012,0.042,5,-0.031,-0.018,-0.006,0.004,0.007,0.019,0.029,0.049,0.08,"IJS","iShares S&P Small-Cap 600 Value ETF"
"IJR",0.013,0.045,5,-0.031,-0.017,-0.002,0.007,0.011,0.02,0.031,0.046,0.069,"IJR","iShares Core S&P Small-Cap ETF"
"IJT",0.01,0.035,5,-0.028,-0.012,-0.003,0.009,0.012,0.022,0.031,0.042,0.07,"IJT","iShares S&P Small-Cap 600 Growth ETF"
"IJJ",0.014,0.048,5,-0.025,-0.011,-0.002,0.003,0.006,0.016,0.026,0.042,0.064,"IJJ","iShares S&P Mid-Cap 400 Value ETF"
"IJH",0.016,0.057,5,-0.026,-0.009,-0.001,0.007,0.009,0.018,0.029,0.046,0.07,"IJH","iShares Core S&P Mid-Cap ETF"
"JKL",0.011,0.039,5,-0.03,-0.014,-0.005,0.002,0.006,0.016,0.029,0.045,0.063,"JKL","iShares Morningstar Small-Cap Value ETF"
