"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"T",0.005,4,-0.027,-0.019,-0.013,-0.007,-0.004,0.004,0.013,0.021,0.034,"AT&T Inc.","NYQ","Telecom Services - Domestic","USA"
"VZ",0.005,4,-0.026,-0.016,-0.009,-0.005,-0.001,0.006,0.014,0.023,0.038,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"PG",0.004,4,-0.027,-0.016,-0.007,-0.001,0.002,0.01,0.016,0.021,0.031,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"KO",0.005,4,-0.023,-0.012,-0.008,-0.002,0,0.009,0.014,0.022,0.043,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"PEP",0.005,4,-0.03,-0.017,-0.011,-0.003,0,0.009,0.014,0.022,0.03,"Pepsico, Inc.","NYQ","Beverages - Soft Drinks","USA"
"MO",0.004,4,-0.028,-0.018,-0.015,-0.007,-0.004,0.006,0.009,0.014,0.031,"Altria Group, Inc.","NYQ","Cigarettes","USA"
"MDLZ",0.004,4,-0.028,-0.014,-0.008,-0.003,-0.001,0.006,0.013,0.02,0.03,"Mondelez International, Inc.","NMS","Confectioners","USA"
"TSN",0.004,4,-0.019,-0.01,-0.005,0.001,0.003,0.012,0.017,0.025,0.062,"Tyson Foods, Inc.","NYQ","Meat Products","USA"
"^BANK",0.008,5,-0.018,-0.006,-0.002,0.003,0.004,0.01,0.016,0.024,0.038,"-","-","-","-"
"JPM",0.013,5,-0.017,-0.007,-0.002,0.002,0.006,0.015,0.023,0.031,0.047,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"BRK-B",0.009,5,-0.017,-0.006,-0.001,0.004,0.006,0.012,0.019,0.032,0.05,"Berkshire Hathaway Inc.","NYQ","","USA"
"BAC",0.012,5,-0.017,-0.007,-0.002,0.004,0.007,0.016,0.022,0.027,0.045,"Bank of America Corporation","NYQ","Money Center Banks","USA"
"WFC",0.01,5,-0.023,-0.014,-0.006,-0.002,0.002,0.013,0.02,0.028,0.041,"Wells Fargo & Company","NYQ","Money Center Banks","USA"
"C",0.01,5,-0.023,-0.012,-0.006,-0.002,0,0.011,0.018,0.026,0.037,"Citigroup Inc.","NYQ","Money Center Banks","USA"
"GS",0.007,5,-0.02,-0.009,-0.005,-0.002,0.001,0.009,0.014,0.021,0.032,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"USB",0.009,5,-0.02,-0.01,-0.005,-0.001,0.001,0.007,0.012,0.019,0.032,"U.S. Bancorp","NYQ","Regional - Midwest Banks","USA"
"AXP",0.006,5,-0.014,-0.004,-0.001,0.005,0.008,0.014,0.02,0.03,0.045,"American Express Company","NYQ","Credit Services","USA"
"MS",0.011,5,-0.018,-0.01,-0.003,0.003,0.005,0.012,0.019,0.028,0.037,"Morgan Stanley","NYQ","Investment Brokerage - National","USA"
"PNC",0.011,5,-0.016,-0.008,-0.002,0.003,0.006,0.014,0.021,0.031,0.056,"The PNC Financial Services Group, Inc.","NYQ","Money Center Banks","USA"
"SCHW",0.01,5,-0.021,-0.009,-0.002,0.004,0.008,0.018,0.026,0.036,0.049,"The Charles Schwab Corporation","NYQ","Investment Brokerage - National","USA"
"BLK",0.012,5,-0.015,-0.005,-0.001,0.002,0.004,0.013,0.019,0.036,0.048,"BlackRock, Inc.","NYQ","Asset Management","USA"
"BK",0.006,5,-0.018,-0.011,-0.004,0.004,0.006,0.016,0.021,0.029,0.039,"The Bank of New York Mellon Corporation","NYQ","Asset Management","USA"
"CME",0.005,5,-0.02,-0.004,0.001,0.007,0.009,0.015,0.02,0.03,0.042,"CME Group Inc.","NMS","Investment Brokerage - National","USA"
"FITB",0.008,5,-0.014,-0.005,0,0.005,0.007,0.015,0.02,0.028,0.044,"Fifth Third Bancorp","NMS","Regional - Midwest Banks","USA"
"DFS",0.006,5,-0.017,-0.008,-0.004,0.001,0.004,0.011,0.019,0.029,0.061,"Discover Financial Services","NYQ","Credit Services","USA"
