"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"OSB.TO",NA,1,-0.019,-0.007,-0.002,0.001,0.005,0.01,0.017,0.024,0.034,"Norbord Inc.","TOR","Asset Management","Canada"
"HBC.TO",NA,1,-0.026,-0.016,-0.011,-0.005,-0.001,0.006,0.014,0.022,0.033,"Hudson's Bay Company","TOR","Department Stores","Canada"
"NVT.V",NA,1,-0.03,-0.016,-0.009,-0.005,0,0,0,0.006,0.016,"Nortec Minerals Corp.","VAN","Industrial Metals & Minerals","Canada"
"CG.TO",NA,1,-0.024,-0.015,-0.009,-0.001,0.001,0.006,0.01,0.016,0.034,"Centerra Gold Inc.","TOR","Gold","Canada"
"PKI.TO",NA,1,-0.021,-0.013,-0.009,-0.002,0.002,0.011,0.015,0.022,0.032,"Parkland Fuel Corporation","TOR","Oil & Gas Refining & Marketing","Canada"
"D-UN.TO",NA,1,-0.013,-0.004,0.001,0.005,0.006,0.013,0.018,0.025,0.038,"Dream Office Real Estate Investment Trust","TOR","REIT - Office","Canada"
"CAE.TO",NA,1,-0.021,-0.008,-0.004,0.001,0.003,0.01,0.018,0.025,0.033,"CAE Inc.","TOR","Aerospace/Defense - Major Diversified","Canada"
"ACD.TO",NA,2,-0.022,-0.009,-0.004,0,0,0.005,0.011,0.016,0.022,"Accord Financial Corp.","TOR","Credit Services","Canada"
"ATH.TO",NA,2,-0.023,-0.013,-0.007,-0.003,0,0.009,0.015,0.023,0.034,"Athabasca Oil Corporation","TOR","Independent Oil & Gas","Canada"
"BTE.TO",NA,2,-0.029,-0.015,-0.006,-0.001,0.001,0.011,0.016,0.024,0.048,"Baytex Energy Corp.","TOR","Independent Oil & Gas","Canada"
"CFW.TO",NA,2,-0.026,-0.014,-0.004,0.004,0.007,0.016,0.026,0.035,0.047,"Calfrac Well Services Ltd.","TOR","Independent Oil & Gas","Canada"
"CNQ.TO",NA,2,-0.028,-0.012,-0.006,0,0.002,0.009,0.014,0.023,0.036,"Canadian Natural Resources Limited","TOR","Independent Oil & Gas","Canada"
"CPG.TO",NA,2,-0.032,-0.021,-0.015,-0.008,-0.004,0.004,0.012,0.023,0.038,"Crescent Point Energy Corp.","TOR","Independent Oil & Gas","Canada"
"CVE.TO",NA,2,-0.032,-0.016,-0.007,0,0.002,0.012,0.02,0.028,0.039,"Cenovus Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"ECA.TO",NA,2,-0.022,-0.012,-0.004,0.002,0.003,0.011,0.015,0.023,0.038,"Encana Corporation","TOR","Independent Oil & Gas","Canada"
"ESI.TO",NA,2,-0.021,-0.011,-0.008,-0.005,-0.003,0.002,0.008,0.014,0.035,"Ensign Energy Services Inc.","TOR","Diversified Electronics","Canada"
"ESN.TO",NA,2,-0.02,-0.012,-0.008,-0.005,-0.004,0,0.005,0.012,0.021,"Essential Energy Services Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"MEG.TO",NA,2,-0.021,-0.01,-0.005,0,0.003,0.013,0.021,0.033,0.049,"MEG Energy Corp.","TOR","Independent Oil & Gas","Canada"
"PD.TO",NA,2,-0.028,-0.017,-0.009,-0.006,-0.003,0.005,0.014,0.023,0.039,"Precision Drilling Corporation","TOR","Oil & Gas Equipment & Services","Canada"
"PEY.TO",NA,2,-0.036,-0.023,-0.017,-0.011,-0.009,-0.002,0.004,0.011,0.02,"Peyto Exploration & Development Corp","TOR","Independent Oil & Gas","Canada"
"PGF.TO",NA,2,-0.029,-0.019,-0.013,-0.009,-0.007,0.001,0.01,0.019,0.029,"Pengrowth Energy Corporation","TOR","Independent Oil & Gas","Canada"
"PPL.TO",NA,2,-0.027,-0.016,-0.009,-0.002,0.001,0.007,0.013,0.022,0.043,"Pembina Pipeline Corporation","TOR","Oil & Gas Pipelines","Canada"
"SU.TO",NA,2,-0.026,-0.012,-0.006,0.004,0.007,0.018,0.026,0.033,0.046,"Suncor Energy Inc.","TOR","Major Integrated Oil & Gas","Canada"
"TCW.TO",NA,2,-0.028,-0.015,-0.009,-0.004,-0.002,0.005,0.011,0.019,0.034,"Trican Well Service Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"MTL.TO",NA,2,-0.021,-0.013,-0.009,-0.004,-0.002,0.005,0.009,0.015,0.034,"Mullen Group Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"CEU.TO",NA,2,-0.028,-0.015,-0.009,-0.004,-0.002,0.009,0.015,0.022,0.036,"CES Energy Solutions Corp.","TOR","Oil & Gas Drilling & Exploration","Canada"
"SCL.TO",NA,2,-0.024,-0.013,-0.007,-0.003,-0.001,0.006,0.011,0.016,0.025,"ShawCor Ltd.","TOR","Oil & Gas Equipment & Services","Canada"
"PXT.TO",NA,2,-0.022,-0.004,0,0.005,0.007,0.014,0.019,0.029,0.047,"Parex Resources Inc.","TOR","Industrial Metals & Minerals","Canada"
"PSK.TO",NA,2,-0.038,-0.018,-0.01,-0.006,-0.003,0.003,0.012,0.018,0.032,"PrairieSky Royalty Ltd.","TOR","Aerospace/Defense - Major Diversified","Canada"
"WCP.TO",NA,2,-0.03,-0.018,-0.009,-0.004,-0.002,0.006,0.01,0.019,0.03,"Whitecap Resources Inc.","TOR","Independent Oil & Gas","Canada"
"KEL.TO",NA,2,-0.022,-0.01,-0.003,0.002,0.004,0.013,0.019,0.024,0.033,"Kelt Exploration Ltd.","TOR","Independent Oil & Gas","Canada"
"ALA.TO",NA,2,-0.025,-0.015,-0.009,-0.005,-0.004,0.003,0.01,0.017,0.026,"AltaGas Ltd.","TOR","Oil & Gas Pipelines","Canada"
"IMO.TO",NA,2,-0.02,-0.008,-0.003,0,0.002,0.008,0.016,0.028,0.036,"Imperial Oil Limited","TOR","Major Integrated Oil & Gas","Canada"
