"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"XEN.TO",0.02,0.058,3,-0.005,-0.002,-0.001,0,0,0.002,0.003,0.005,0.009,"XEN.TO","iShares Jantzi Social Index ETF"
"XDV.TO",0.023,0.066,3,-0.005,-0.002,-0.001,0,0.001,0.002,0.003,0.004,0.006,"XDV.TO","iShares Canadian Select Dividend Index ETF"
"FIE.TO",0.012,0.035,3,-0.005,-0.001,0,0,0.001,0.001,0.003,0.004,0.006,"FIE.TO","iShares Canadian Financial Monthly Income ETF"
"CEW.TO",0.012,0.034,3,-0.006,-0.002,-0.001,0.001,0.001,0.002,0.003,0.005,0.008,"CEW.TO","iShares Equal Weight Banc & Lifeco ETF"
"XIC.TO",0.039,0.095,3,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"XIC.TO","iShares Core S&P/TSX Capped Composite Index ETF"
"XFN.TO",0.015,0.041,3,-0.005,-0.002,-0.001,0,0.001,0.002,0.004,0.005,0.007,"XFN.TO","iShares S&P/TSX Capped Financials Index ETF"
"XEG.TO",0.004,0.016,3,-0.016,-0.006,-0.003,-0.001,0.001,0.005,0.008,0.014,0.023,"XEG.TO","iShares S&P/TSX Capped Energy Index ETF"
"XEI.TO",0.024,0.066,3,-0.006,-0.002,-0.001,0,0,0.002,0.003,0.005,0.007,"XEI.TO","iShares Core S&P/TSX Composite High Dividend Index ETF"
"XIU.TO",0.035,0.087,3,-0.006,-0.002,-0.001,0,0.001,0.002,0.003,0.005,0.008,"XIU.TO","iShares S&P/TSX 60 Index ETF"
"XMD.TO",0.009,0.027,3,-0.007,-0.002,-0.001,0,0,0.002,0.003,0.005,0.008,"XMD.TO","iShares S&P/TSX Completion Index ETF"
"XCG.TO",0.003,0.012,3,-0.007,-0.002,0,0,0,0.001,0.003,0.005,0.01,"XCG.TO","iShares Canadian Growth Index ETF"
"XCS.TO",0.006,0.02,3,-0.009,-0.004,-0.002,-0.001,0,0.003,0.004,0.007,0.011,"XCS.TO","iShares S&P/TSX SmallCap Index ETF"
"COW.TO",0.005,0.018,4,-0.011,-0.004,-0.002,-0.001,0,0.004,0.006,0.009,0.013,"COW.TO","iShares Global Agriculture Index ETF"
"XAW.TO",0.041,0.104,4,-0.007,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.011,"XAW.TO","iShares Core MSCI All Country World ex Canada Index ETF"
"XWD.TO",0.042,0.109,4,-0.006,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.011,"XWD.TO","iShares MSCI World Index ETF"
"XUS.TO",0.045,0.108,4,-0.008,-0.003,-0.001,0.001,0.002,0.004,0.005,0.008,0.012,"XUS.TO","iShares Core S&P 500 Index ETF"
"XMI.TO",0.011,0.034,4,-0.006,-0.003,-0.001,0,0.001,0.002,0.004,0.006,0.009,"XMI.TO","iShares Edge MSCI Min Vol EAFE Index ETF"
"XFS.TO",0.003,0.012,4,-0.009,-0.001,0,0,0,0.003,0.004,0.007,0.015,"XFS.TO","iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged)"
"XEU.TO",0.012,0.037,4,-0.007,-0.003,-0.002,0,0,0.003,0.005,0.007,0.011,"XEU.TO","iShares MSCI Europe IMI Index ETF"
"CIF.TO",0.003,0.013,4,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.007,0.01,"CIF.TO","iShares Global Infrastructure Index ETF"
"XFI.TO",0.004,0.016,4,-0.008,-0.003,-0.001,0,0,0.002,0.005,0.007,0.011,"XFI.TO","iShares Edge MSCI Multifactor EAFE Index ETF"
"CWW.TO",0.004,0.014,4,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.008,0.012,"CWW.TO","iShares Global Water Index ETF"
"XMW.TO",0.011,0.035,4,-0.007,-0.003,0,0,0.001,0.003,0.004,0.006,0.009,"XMW.TO","iShares Edge MSCI Min Vol Global Index ETF"
"XMU.TO",0.011,0.034,4,-0.008,-0.003,-0.001,0,0.001,0.004,0.005,0.007,0.01,"XMU.TO","iShares Edge MSCI Min Vol USA Index ETF"
"XMC.TO",0.012,0.037,4,-0.009,-0.003,-0.001,0,0.001,0.004,0.006,0.008,0.012,"XMC.TO","iShares S&P U.S. Mid-Cap Index ETF"
"XHU.TO",0.003,0.012,4,-0.006,-0.002,0,0,0,0.003,0.004,0.006,0.01,"XHU.TO","iShares U.S. High Dividend Equity Index ETF"
"CGR.TO",0.003,0.011,4,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.011,"CGR.TO","iShares Global Real Estate Index ETF"
