"","StationaryDistribution","GOP","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"GMKN.ME",0.006,0.028,1,-0.029,-0.012,-0.005,0,0.004,0.017,0.025,0.04,0.062,"Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel","MCX","","Russia"
"GE",0.006,0.028,4,-0.055,-0.028,-0.021,-0.013,-0.009,0,0.009,0.022,0.04,"General Electric Company","NYQ","Diversified Machinery","USA"
"WMT",0.006,0.028,3,-0.031,-0.013,-0.006,0.002,0.005,0.015,0.023,0.036,0.075,"Wal-Mart Stores, Inc.","NYQ","Discount, Variety Stores","USA"
"CSCO",0.006,0.028,3,-0.024,-0.01,-0.002,0.007,0.011,0.019,0.03,0.04,0.055,"Cisco Systems, Inc.","NMS","Networking & Communication Devices","USA"
"VNA.DE",0.006,0.028,4,-0.031,-0.009,-0.001,0.003,0.006,0.016,0.02,0.034,0.065,"Vonovia SE","GER","","Germany"
"PHOR.ME",0.006,0.029,4,-0.039,-0.022,-0.015,-0.004,0,0.011,0.021,0.036,0.058,"PJSC PhosAgro","MCX","","Russia"
"MOEX.ME",0.006,0.029,1,-0.048,-0.024,-0.013,-0.004,0,0.008,0.017,0.03,0.054,"Public Joint-Stock Company Moscow Exchange MICEX-RTS","MCX","","Russia"
"IRAO.ME",0.006,0.029,1,-0.026,-0.013,-0.005,-0.001,0.002,0.011,0.016,0.026,0.045,"Public Joint Stock Company Inter RAO UES","MCX","","Russia"
"MTLR.ME",0.006,0.029,1,-0.039,-0.027,-0.021,-0.012,-0.01,0.001,0.013,0.028,0.054,"Mechel PAO","MCX","","Russia"
"NVTK.ME",0.006,0.029,1,-0.019,-0.01,-0.004,0.003,0.007,0.017,0.025,0.038,0.065,"PAO NOVATEK","MCX","","Russia"
"UNH",0.006,0.029,3,-0.024,-0.009,-0.003,0.004,0.006,0.018,0.027,0.046,0.077,"UnitedHealth Group Incorporated","NYQ","Health Care Plans","USA"
"CA.PA",0.006,0.029,4,-0.056,-0.033,-0.026,-0.017,-0.012,0.003,0.014,0.032,0.062,"Carrefour SA","PAR","Grocery Stores","France"
"MAGN.ME",0.007,0.03,1,-0.027,-0.014,-0.006,0,0.002,0.013,0.022,0.035,0.068,"Public Joint Stock Company Magnitogorsk Iron & Steel Works","MCX","","Russia"
"HD",0.007,0.03,3,-0.028,-0.014,-0.003,0.005,0.011,0.025,0.036,0.057,0.084,"The Home Depot, Inc.","NYQ","Home Improvement Stores","USA"
"V",0.007,0.03,3,-0.016,-0.003,0.003,0.01,0.013,0.029,0.039,0.05,0.079,"Visa Inc.","NYQ","Credit Services","USA"
"MCD",0.007,0.03,3,-0.03,-0.017,-0.008,-0.001,0.004,0.013,0.022,0.036,0.071,"McDonald's Corporation","NYQ","Restaurants","USA"
"CVX",0.007,0.03,3,-0.032,-0.011,-0.003,0.004,0.01,0.021,0.028,0.04,0.067,"Chevron Corporation","NYQ","Major Integrated Oil & Gas","USA"
"TKA.DE",0.007,0.03,4,-0.047,-0.022,-0.017,-0.007,-0.002,0.012,0.018,0.03,0.061,"ThyssenKrupp AG","GER","Steel & Iron","Germany"
"MTSS.ME",0.007,0.031,1,-0.039,-0.014,-0.005,0.003,0.007,0.016,0.028,0.038,0.056,"Public Joint-Stock Company Mobile TeleSystems","MCX","","Russia"
"ATO.PA",0.007,0.031,2,-0.038,-0.017,-0.01,-0.003,0.001,0.01,0.02,0.032,0.064,"Atos SE","PAR","Information Technology Services","France"
"VTBR.ME",0.007,0.032,1,-0.045,-0.025,-0.017,-0.01,-0.007,0.004,0.014,0.025,0.046,"VTB Bank (public joint-stock company)","MCX","","Russia"
"LKOH.ME",0.008,0.032,1,-0.04,-0.013,-0.006,0.001,0.007,0.019,0.027,0.037,0.06,"PJSC LUKOIL","MCX","","Russia"
"TATN.ME",0.007,0.032,1,-0.023,-0.006,0.001,0.008,0.01,0.019,0.025,0.041,0.077,"PJSC Tatneft","MCX","","Russia"
"TATNP.ME",0.007,0.032,1,-0.028,-0.01,-0.003,0.007,0.009,0.022,0.032,0.043,0.063,"PJSC Tatneft","MCX","","Russia"
"DIS",0.007,0.032,3,-0.037,-0.018,-0.01,-0.001,0.001,0.013,0.02,0.03,0.051,"The Walt Disney Company","NYQ","Entertainment - Diversified","USA"
"AAPL",0.007,0.032,3,-0.038,-0.014,-0.005,0.004,0.008,0.019,0.029,0.045,0.071,"Apple Inc.","NMS","Electronic Equipment","USA"
"PFE",0.007,0.032,3,-0.032,-0.013,-0.002,0.005,0.009,0.02,0.026,0.034,0.052,"Pfizer Inc.","NYQ","Drug Manufacturers - Major","USA"
"INTC",0.007,0.032,3,-0.034,-0.016,-0.005,0.005,0.01,0.023,0.032,0.046,0.07,"Intel Corporation","NMS","Semiconductor - Broad Line","USA"
"RWE.DE",0.007,0.032,4,-0.039,-0.017,-0.006,0.002,0.005,0.019,0.029,0.048,0.078,"RWE Aktiengesellschaft","GER","Diversified Utilities","Germany"
"FME.DE",0.007,0.032,2,-0.034,-0.015,-0.005,0.001,0.003,0.011,0.018,0.029,0.056,"Fresenius Medical Care AG & Co. KGAA","GER","Hospitals","Germany"
"SW.PA",0.007,0.032,4,-0.036,-0.015,-0.007,-0.002,0.002,0.011,0.019,0.035,0.059,"Sodexo S.A.","PAR","Business Services","France"
"VIV.PA",0.007,0.032,2,-0.037,-0.02,-0.013,-0.005,-0.003,0.009,0.018,0.028,0.057,"Vivendi SA","PAR","Wireless Communications","France"
"ROSN.ME",0.008,0.033,1,-0.047,-0.02,-0.008,0.001,0.004,0.013,0.019,0.029,0.057,"Public Joint Stock Company Rosneft Oil Company","MCX","","Russia"
"HYDR.ME",0.007,0.033,1,-0.043,-0.018,-0.012,-0.004,-0.002,0.011,0.019,0.029,0.052,"Public Joint-Stock Company Federal Hydro-Generating Company - RusHydro","MCX","","Russia"
"MRK",0.007,0.033,3,-0.046,-0.018,-0.011,-0.003,0.001,0.014,0.023,0.037,0.057,"Merck & Co., Inc.","NYQ","Drug Manufacturers - Major","USA"
"XOM",0.007,0.033,3,-0.035,-0.011,-0.003,0.003,0.006,0.015,0.024,0.038,0.071,"Exxon Mobil Corporation","NYQ","Major Integrated Oil & Gas","USA"
"FRE.DE",0.007,0.033,4,-0.042,-0.023,-0.014,-0.007,-0.001,0.011,0.017,0.026,0.058,"Fresenius SE & Co. KGaA","GER","Hospitals","Germany"
"LIN.DE",0.007,0.033,2,-0.043,-0.025,-0.011,-0.002,0,0.011,0.02,0.03,0.066,"Linde Aktiengesellschaft","GER","Chemicals - Major Diversified","Germany"
"MRK.DE",0.007,0.033,2,-0.043,-0.02,-0.011,-0.005,-0.003,0.006,0.013,0.023,0.044,"Merck Kommanditgesellschaft auf Aktien","GER","Drugs - Generic","Germany"
"CAP.PA",0.007,0.033,2,-0.028,-0.012,-0.004,0.002,0.005,0.017,0.025,0.042,0.089,"Capgemini SE","PAR","","France"
"AIR.PA",0.007,0.033,2,-0.029,-0.013,-0.006,0.001,0.004,0.015,0.024,0.04,0.072,"Airbus SE","PAR","","France"
"EI.PA",0.007,0.033,4,-0.03,-0.014,-0.008,-0.001,0.005,0.013,0.021,0.034,0.061,"Essilor International Société Anonyme","PAR","Medical Instruments & Supplies","France"
"SAN.PA",0.008,0.033,2,-0.047,-0.021,-0.011,-0.004,-0.001,0.01,0.017,0.027,0.051,"Sanofi","PAR","Drug Manufacturers - Major","France"
"ORA.PA",0.007,0.033,2,-0.036,-0.017,-0.01,-0.003,0,0.012,0.023,0.037,0.065,"Orange S.A.","PAR","","France"
"SNGS.ME",0.008,0.034,1,-0.03,-0.014,-0.006,0.002,0.005,0.012,0.018,0.028,0.051,"""Surgutneftegas"" Open Joint Stock Company","MCX","","Russia"
"VZ",0.007,0.034,4,-0.035,-0.017,-0.009,0,0.004,0.017,0.023,0.035,0.068,"Verizon Communications Inc.","NYQ","Telecom Services - Domestic","USA"
"DWDP",0.008,0.034,3,-0.034,-0.018,-0.007,0.001,0.004,0.011,0.02,0.036,0.071,"-","-","-","-"
"LHA.DE",0.008,0.034,4,-0.034,-0.017,-0.01,-0.002,0.003,0.015,0.023,0.035,0.059,"Deutsche Lufthansa Aktiengesellschaft","GER","Major Airlines","Germany"
"DTE.DE",0.008,0.034,2,-0.046,-0.024,-0.018,-0.011,-0.007,0.004,0.016,0.026,0.047,"Deutsche Telekom AG","GER","Wireless Communications","Germany"
"UG.PA",0.008,0.034,2,-0.036,-0.017,-0.009,-0.001,0.003,0.014,0.023,0.034,0.052,"Peugeot S.A.","PAR","Auto Manufacturers - Major","France"
"BN.PA",0.008,0.034,2,-0.036,-0.02,-0.01,-0.004,0,0.012,0.019,0.031,0.048,"Danone","PAR","Food - Major Diversified","France"
"KO",0.008,0.035,3,-0.033,-0.017,-0.009,0,0.004,0.016,0.026,0.039,0.068,"The Coca-Cola Company","NYQ","Beverages - Soft Drinks","USA"
"TRV",0.008,0.035,3,-0.031,-0.016,-0.009,-0.001,0.002,0.012,0.025,0.04,0.064,"The Travelers Companies, Inc.","NYQ","Property & Casualty Insurance","USA"
"BA",0.008,0.035,3,-0.021,-0.006,0,0.007,0.009,0.02,0.027,0.038,0.069,"The Boeing Company","NYQ","Aerospace/Defense Products & Services","USA"
"AXP",0.008,0.035,3,-0.03,-0.011,-0.003,0.004,0.009,0.021,0.029,0.039,0.071,"American Express Company","NYQ","Credit Services","USA"
"BEI.DE",0.008,0.035,2,-0.035,-0.019,-0.011,-0.002,0.002,0.013,0.024,0.034,0.065,"Beiersdorf Aktiengesellschaft","GER","Personal Products","Germany"
"EOAN.DE",0.008,0.035,2,-0.051,-0.022,-0.014,-0.005,0,0.01,0.021,0.037,0.063,"E.ON SE","GER","Diversified Utilities","Germany"
"HEI.DE",0.008,0.035,2,-0.049,-0.023,-0.016,-0.008,-0.003,0.008,0.015,0.033,0.059,"HeidelbergCement AG","GER","General Building Materials","Germany"
"LR.PA",0.008,0.035,2,-0.031,-0.014,-0.006,0.002,0.005,0.016,0.025,0.035,0.065,"Legrand SA","PAR","Diversified Machinery","France"
"GAZP.ME",0.009,0.036,1,-0.044,-0.02,-0.01,-0.001,0.003,0.012,0.022,0.037,0.063,"Public Joint Stock Company Gazprom","MCX","","Russia"
"MSFT",0.008,0.036,3,-0.022,-0.006,0.001,0.007,0.011,0.021,0.031,0.046,0.069,"Microsoft Corporation","NMS","Business Software & Services","USA"
"JNJ",0.008,0.036,3,-0.039,-0.021,-0.011,-0.003,-0.001,0.011,0.018,0.033,0.062,"Johnson & Johnson","NYQ","Drug Manufacturers - Major","USA"
"IBM",0.008,0.036,3,-0.044,-0.02,-0.011,-0.003,0.001,0.011,0.021,0.033,0.076,"International Business Machines Corporation","NYQ","Information Technology Services","USA"
"DPW.DE",0.008,0.036,2,-0.047,-0.023,-0.014,-0.005,0,0.015,0.023,0.035,0.05,"Deutsche Post AG","GER","Air Delivery & Freight Services","Germany"
"DBK.DE",0.008,0.036,4,-0.048,-0.025,-0.015,-0.01,-0.007,0.005,0.018,0.027,0.048,"Deutsche Bank Aktiengesellschaft","GER","Money Center Banks","Germany"
"ENGI.PA",0.008,0.036,4,-0.043,-0.016,-0.008,-0.002,0.002,0.012,0.023,0.04,0.07,"ENGIE SA","PAR","","France"
"PG",0.008,0.037,4,-0.037,-0.015,-0.007,0,0.005,0.015,0.021,0.031,0.055,"The Procter & Gamble Company","NYQ","Personal Products","USA"
"VIE.PA",0.008,0.037,4,-0.036,-0.015,-0.006,0.001,0.007,0.018,0.028,0.041,0.081,"Veolia Environnement S.A.","PAR","Waste Management","France"
"UTX",0.009,0.038,3,-0.031,-0.015,-0.008,0,0.007,0.018,0.028,0.04,0.092,"United Technologies Corporation","NYQ","Aerospace/Defense Products & Services","USA"
"BAYN.DE",0.009,0.038,2,-0.056,-0.026,-0.017,-0.006,-0.003,0.009,0.017,0.027,0.043,"Bayer Aktiengesellschaft","GER","Drug Manufacturers - Major","Germany"
"HEN3.DE",0.009,0.038,2,-0.039,-0.018,-0.012,-0.005,-0.001,0.009,0.017,0.024,0.055,"Henkel AG & Co. KGaA","GER","Personal Products","Germany"
"GS",0.009,0.039,3,-0.042,-0.017,-0.01,-0.004,0,0.012,0.022,0.034,0.055,"The Goldman Sachs Group, Inc.","NYQ","Investment Brokerage - National","USA"
"ML.PA",0.009,0.039,2,-0.05,-0.02,-0.011,-0.004,-0.001,0.01,0.016,0.033,0.054,"Compagnie Générale des Etablissements Michelin","PAR","Rubber & Plastics","France"
"CBK.DE",0.009,0.04,3,-0.043,-0.022,-0.012,-0.004,0,0.011,0.017,0.025,0.048,"Commerzbank AG","GER","Money Center Banks","Germany"
"MUV2.DE",0.01,0.041,2,-0.037,-0.018,-0.009,0,0.006,0.016,0.028,0.04,0.063,"Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft","GER","Property & Casualty Insurance","Germany"
"IFX.DE",0.009,0.041,2,-0.031,-0.015,-0.006,0.002,0.006,0.018,0.024,0.041,0.074,"Infineon Technologies AG","GER","Semiconductor - Broad Line","Germany"
"MMM",0.009,0.042,3,-0.037,-0.02,-0.008,0.001,0.006,0.018,0.028,0.043,0.075,"3M Company","NYQ","Diversified Machinery","USA"
"JPM",0.01,0.042,3,-0.031,-0.017,-0.008,0.004,0.008,0.017,0.026,0.039,0.06,"JPMorgan Chase & Co.","NYQ","Money Center Banks","USA"
"CAT",0.01,0.042,3,-0.025,-0.009,0.001,0.01,0.014,0.02,0.027,0.045,0.078,"Caterpillar Inc.","NYQ","Farm & Construction Machinery","USA"
"GLE.PA",0.01,0.042,2,-0.052,-0.031,-0.02,-0.012,-0.008,0.004,0.017,0.035,0.052,"Societe Generale Group","PAR","Money Center Banks","France"
"ACA.PA",0.01,0.042,4,-0.051,-0.028,-0.018,-0.009,-0.005,0.006,0.016,0.024,0.057,"Credit Agricole S.A.","PAR","Money Center Banks","France"
"OR.PA",0.01,0.043,2,-0.03,-0.011,-0.004,0.001,0.004,0.014,0.022,0.033,0.054,"L'Oréal S.A.","PAR","Personal Products","France"
"FR.PA",0.01,0.044,2,-0.048,-0.024,-0.015,-0.001,0.002,0.013,0.02,0.031,0.065,"Valeo SA","PAR","Auto Parts","France"
"KER.PA",0.01,0.044,2,-0.025,-0.003,0.003,0.01,0.014,0.023,0.029,0.043,0.074,"Kering S.A.","PAR","","France"
"FP.PA",0.01,0.045,2,-0.031,-0.011,-0.004,0.004,0.01,0.024,0.035,0.05,0.087,"TOTAL S.A.","PAR","Major Integrated Oil & Gas","France"
"AC.PA",0.01,0.045,4,-0.037,-0.018,-0.01,0.002,0.006,0.021,0.035,0.056,0.087,"Accor SA","PAR","Lodging","France"
"EN.PA",0.01,0.045,2,-0.041,-0.02,-0.013,-0.005,0.004,0.016,0.024,0.036,0.067,"Bouygues SA","PAR","General Contractors","France"
"CON.DE",0.011,0.046,2,-0.032,-0.016,-0.006,-0.001,0.004,0.013,0.018,0.028,0.059,"Continental Aktiengesellschaft","GER","Auto Parts","Germany"
"SGO.PA",0.011,0.046,2,-0.049,-0.025,-0.016,-0.009,-0.005,0.008,0.02,0.029,0.051,"Compagnie de Saint-Gobain S.A.","PAR","General Building Materials","France"
"BNP.PA",0.011,0.046,2,-0.051,-0.024,-0.017,-0.01,-0.004,0.009,0.017,0.03,0.075,"BNP Paribas SA","PAR","Money Center Banks","France"
"VOW3.DE",0.011,0.047,2,-0.044,-0.023,-0.014,-0.005,0,0.01,0.017,0.03,0.056,"Volkswagen Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"MC.PA",0.011,0.048,2,-0.031,-0.011,-0.005,0.003,0.007,0.017,0.028,0.041,0.065,"LVMH Moët Hennessy Louis Vuitton S.E.","PAR","Jewelry Stores","France"
"MICEXINDEXCF.ME",0.012,0.049,1,-0.035,-0.014,-0.005,0.003,0.008,0.017,0.026,0.039,0.074,"-","-","-","-"
"DAI.DE",0.012,0.049,2,-0.064,-0.022,-0.007,0.001,0.005,0.016,0.026,0.038,0.058,"Daimler AG","GER","Auto Manufacturers - Major","Germany"
"DG.PA",0.011,0.049,2,-0.031,-0.012,-0.005,0,0.004,0.017,0.024,0.035,0.076,"VINCI SA","PAR","General Contractors","France"
"SAP.DE",0.012,0.051,2,-0.038,-0.013,-0.006,0.003,0.006,0.017,0.026,0.043,0.081,"SAP SE","GER","Technical & System Software","Germany"
"BMW.DE",0.013,0.053,2,-0.055,-0.026,-0.012,-0.004,-0.001,0.014,0.02,0.031,0.067,"Bayerische Motoren Werke Aktiengesellschaft","GER","Auto Manufacturers - Major","Germany"
"SU.PA",0.013,0.055,2,-0.034,-0.015,-0.007,-0.001,0.002,0.013,0.021,0.034,0.072,"Schneider Electric S.E.","PAR","Diversified Machinery","France"
"SIE.DE",0.014,0.058,2,-0.039,-0.024,-0.011,-0.003,0.004,0.015,0.027,0.041,0.069,"Siemens Aktiengesellschaft","GER","Diversified Machinery","Germany"
"ALV.DE",0.014,0.058,2,-0.036,-0.016,-0.009,0.002,0.006,0.017,0.025,0.038,0.068,"Allianz SE","GER","Property & Casualty Insurance","Germany"
"AI.PA",0.014,0.058,2,-0.034,-0.018,-0.011,-0.003,0.003,0.015,0.024,0.037,0.071,"Air Liquide, société anonyme","PAR","Chemicals - Major Diversified","France"
"^DJI",0.014,0.06,3,-0.023,-0.008,0,0.007,0.015,0.033,0.043,0.06,0.112,"-","-","-","-"
"BAS.DE",0.019,0.078,2,-0.043,-0.015,-0.006,-0.001,0.003,0.013,0.023,0.036,0.057,"BASF SE","GER","Chemicals - Major Diversified","Germany"
"^FCHI",0.022,0.086,2,-0.03,-0.014,-0.005,0.003,0.007,0.02,0.03,0.044,0.076,"-","-","-","-"
"^GDAXI",0.023,0.091,2,-0.037,-0.014,-0.006,0.003,0.006,0.018,0.028,0.04,0.07,"-","-","-","-"
