"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"EUE.L",0.004,0.012,7,-0.011,-0.005,-0.002,-0.001,0,0.004,0.005,0.007,0.012,"EUE.L","iShares II Public Limited Company - iShares EURO STOXX 50 UCITS ETF (Dist)"
"S7XP.L",0.002,0.007,7,-0.018,-0.009,-0.005,-0.002,-0.001,0.005,0.008,0.011,0.016,"S7XP.L","Source Markets plc - Source EURO STOXX Optimised Banks UCITS ETF"
"SX5S.L",0.001,0.003,7,-0.009,-0.001,0,0,0,0,0.002,0.006,0.013,"SX5S.L","Source Markets plc - Source EURO STOXX 50 UCITS ETF"
"EXV6.DE",0.002,0.007,8,-0.018,-0.009,-0.006,-0.003,-0.002,0.006,0.009,0.013,0.019,"EXV6.DE","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"C063.F",0.003,0.008,8,-0.02,-0.009,-0.006,-0.003,0,0.005,0.009,0.015,0.018,"C063.F","ComStage - STOXX Europe 600 Basic Resources NR UCITS ETF"
"EXV6.F",0.003,0.008,8,-0.02,-0.009,-0.006,-0.003,-0.001,0.005,0.009,0.014,0.018,"EXV6.F","iShares (DE) I - iShares STOXX Europe 600 Basic Resources UCITS ETF (DE)"
"EXH9.F",0.004,0.01,9,-0.012,-0.005,-0.003,0,0,0.003,0.004,0.007,0.012,"EXH9.F","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"SC0Z.F",0.004,0.01,9,-0.009,-0.005,-0.003,-0.001,0,0.003,0.005,0.008,0.012,"SC0Z.F","Source Markets plc - Source STOXX Europe 600 Optimised Utilities UCITS ETF"
"EXH9.DE",0.003,0.007,9,-0.009,-0.004,-0.003,-0.001,0,0.002,0.005,0.006,0.011,"EXH9.DE","iShares (DE) I - iShares STOXX Europe 600 Utilities UCITS ETF (DE)"
"C079.F",0.003,0.01,9,-0.009,-0.005,-0.003,-0.001,0,0.002,0.004,0.008,0.012,"C079.F","ComStage - STOXX Europe 600 Utilities NR UCITS ETF"
