"","Item","StationaryDistribution"
"Durable.manufacturing.industries.","Durable manufacturing industries (x 1,000,000)",0.00147255276196011
"Transportation.equipment.manufacturing.","Transportation equipment manufacturing (x 1,000,000)",0.00145722844808956
"Scientific.research.and.development.services.","Scientific research and development services (x 1,000,000)",0.0014404015450763
"Federal.government.public.administration.","Federal government public administration (x 1,000,000)",0.00141787734476243
"Petroleum.product.wholesaler.distributors.","Petroleum product wholesaler-distributors (x 1,000,000)",0.00135117008798215
"Defence.services.","Defence services (x 1,000,000)",0.00134997851789824
"Non.durable.manufacturing.industries.","Non-durable manufacturing industries (x 1,000,000)",0.00134779382744325
"Specialized.design.services.","Specialized design services (x 1,000,000)",0.0012936705424546
"Industrial.machinery.manufacturing.","Industrial machinery manufacturing (x 1,000,000)",0.00129020867201981
"Personal.and.laundry.services.","Personal and laundry services (x 1,000,000)",0.00127173408572507
"Community.colleges.and.C.E.G.E.P.s.","Community colleges and C.E.G.E.P.s (x 1,000,000)",0.00122514294026694
"Telecommunications.","Telecommunications (x 1,000,000)",0.0012187883676974
"Iron.ore.mining.","Iron ore mining (x 1,000,000)",0.00121703464254038
"Wholesale.electronic.markets..and.agents.and.brokers.","Wholesale electronic markets, and agents and brokers (x 1,000,000)",0.00120016020009247
"Services.to.buildings.and.dwellings.","Services to buildings and dwellings (x 1,000,000)",0.00118264531440652
"Broadcasting..except.Internet..","Broadcasting (except Internet) (x 1,000,000)",0.0011673893429463
"Bakeries.and.tortilla.manufacturing.","Bakeries and tortilla manufacturing (x 1,000,000)",0.0011646915737317
"Performing.arts..spectator.sports.and.related.industries..and.heritage.institutions.","Performing arts, spectator sports and related industries, and heritage institutions (x 1,000,000)",0.00116004431312538
"Water.transportation.","Water transportation (x 1,000,000)",0.00112251527892057
"Fabricated.metal.product.manufacturing.","Fabricated metal product manufacturing (x 1,000,000)",0.00112046817694099
"Postal.service.and.couriers.and.messengers.","Postal service and couriers and messengers (x 1,000,000)",0.00111073890477419
"Electronics.and.appliance.stores.","Electronics and appliance stores (x 1,000,000)",0.00110947631565567
"Automotive.equipment.rental.and.leasing.","Automotive equipment rental and leasing (x 1,000,000)",0.0010709223090204
"Pipeline.transportation.","Pipeline transportation (x 1,000,000)",0.00102662994897049
"Natural.gas.distribution.","Natural gas distribution (x 1,000,000)",0.00101731507420195
"Building.material.and.garden.equipment.and.supplies.dealers.","Building material and garden equipment and supplies dealers (x 1,000,000)",0.00101708114626259
"Electronic.product.manufacturing.","Electronic product manufacturing (x 1,000,000)",0.001008053129313
"Motor.vehicles.and.parts.manufacturing.","Motor vehicles and parts manufacturing (x 1,000,000)",0.00100189993997716
"Publishing.industries..except.Internet..","Publishing industries (except Internet) (x 1,000,000)",0.000995496443563838
"Pipeline.transportation.of.natural.gas.","Pipeline transportation of natural gas (x 1,000,000)",0.000991766125723713
"Textile..clothing.and.leather.product.manufacturing.","Textile, clothing and leather product manufacturing (x 1,000,000)",0.000991629984030844
"Radio.and.television.broadcasting.","Radio and television broadcasting (x 1,000,000)",0.000983966431492335
"Information.and.communication.technology..manufacturing.","Information and communication technology, manufacturing (x 1,000,000)",0.000968782230625726
"Hardware.manufacturing.","Hardware manufacturing (x 1,000,000)",0.000960318609349691
"Computer.and.electronic.product.manufacturing.","Computer and electronic product manufacturing (x 1,000,000)",0.000950425990311254
"Machine.shops..turned.product..and.screw..nut.and.bolt.manufacturing.","Machine shops, turned product, and screw, nut and bolt manufacturing (x 1,000,000)",0.000925479495043018
"Machinery.manufacturing.","Machinery manufacturing (x 1,000,000)",0.000913250755540765
"Communications.equipment.manufacturing.","Communications equipment manufacturing (x 1,000,000)",0.000891568394091196
"Miscellaneous.store.retailers.","Miscellaneous store retailers (x 1,000,000)",0.000888793054947759
"Aerospace.product.and.parts.manufacturing.","Aerospace product and parts manufacturing (x 1,000,000)",0.000870613292786527
"Warehousing.and.storage.","Warehousing and storage (x 1,000,000)",0.000859120532963095
"Food..beverage.and.tobacco.wholesaler.distributors.","Food, beverage and tobacco wholesaler-distributors (x 1,000,000)",0.000858254980124652
"Spring.and.wire.product.manufacturing.","Spring and wire product manufacturing (x 1,000,000)",0.000824823585130447
"Agricultural..construction.and.mining.machinery.manufacturing.","Agricultural, construction and mining machinery manufacturing (x 1,000,000)",0.000817885795016692
"Stone.mining.and.quarrying.","Stone mining and quarrying (x 1,000,000)",0.000807060434415641
"Primary.metal.manufacturing.","Primary metal manufacturing (x 1,000,000)",0.000805214918202435
"Other.non.metallic.mineral.mining.and.quarrying..except.potash..","Other non-metallic mineral mining and quarrying (except potash) (x 1,000,000)",0.000801771373993502
"Content.and.media.sector.","Content and media sector (x 1,000,000)",0.000798625289294143
"Motor.vehicle.body.and.trailer.manufacturing.","Motor vehicle body and trailer manufacturing (x 1,000,000)",0.000791788912219571
"Postal.service.","Postal service (x 1,000,000)",0.000743004317704767
"Electric.lighting.equipment.manufacturing.","Electric lighting equipment manufacturing (x 1,000,000)",0.000730376563470632
"Elementary.and.secondary.schools.","Elementary and secondary schools (x 1,000,000)",0.000715911016493715
"Alumina.and.aluminum.production.and.processing.","Alumina and aluminum production and processing (x 1,000,000)",0.000713773644234076
"Other.general.purpose.machinery.manufacturing.","Other general-purpose machinery manufacturing (x 1,000,000)",0.000671505007658482
"Clothing.and.leather.and.allied.product.manufacturing.","Clothing and leather and allied product manufacturing (x 1,000,000)",0.000666131194083099
"Urban.transit.systems.","Urban transit systems (x 1,000,000)",0.000652776296095341
"Data.processing..hosting..and.related.services.","Data processing, hosting, and related services (x 1,000,000)",0.000638241711206534
"Other.transit.and.ground.passenger.transportation.and.scenic.and.sightseeing.transportation.","Other transit and ground passenger transportation and scenic and sightseeing transportation (x 1,000,000)",0.000630513510650027
"Resin..synthetic.rubber..and.artificial.and.synthetic.fibres.and.filaments.manufacturing.","Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing (x 1,000,000)",0.000624429766251057
"Boiler..tank.and.shipping.container.manufacturing.","Boiler, tank and shipping container manufacturing (x 1,000,000)",0.000620269412453684
