"Item","IteminPlot","StationaryDistributionValue"
"Foreign currency deposits of Canadian residents deposits of banks (x 1,000,000)","ForeigncurrencydepositsofCanadianresidentsdepositsofbanks",0.000898346907735085
"Other holdings of selected short-term assets (x 1,000,000)","Otherholdingsofselectedshorttermassets",0.00086383206303491
"Treasury Bills, amortized value (x 1,000,000)","TreasuryBillsamortizedvalue",0.000569195842862397
"Business loans to non-residents (x 1,000,000)","Businessloanstononresidents",0.000553293169556547
"Loans to non-residents for business purposes under reverse repurchase agreements (x 1,000,000)","Loanstononresidentsforbusinesspurposesunderreverserepurchaseagreements",0.000496456890197227
"Bank of Canada, deposits (x 1,000,000)","BankofCanadadeposits",0.000488355990404507
"Bank of Canada deposits, notes and coin (x 1,000,000)","BankofCanadadepositsnotesandcoin",0.000476886425638892
"Chartered bank deposits, Government of Canada, term (x 1,000,000)","CharteredbankdepositsGovernmentofCanadaterm",0.00045008149930794
"Loans in Canadian dollars, to grain dealers (x 1,000,000)","LoansinCanadiandollarstograindealers",0.000433475621681576
"Total, holdings of selected short-term assets (x 1,000,000)","Totalholdingsofselectedshorttermassets",0.00041554774206572
"Loans to non-residents for business purposes excluding reverse repurchase agreements (x 1,000,000)","Loanstononresidentsforbusinesspurposesexcludingreverserepurchaseagreements",0.000388318059106969
"Business loans excluding reverse repurchase agreements of which: inter-bank loans (x 1,000,000)","Businessloansexcludingreverserepurchaseagreementsofwhich:interbankloans",0.000379834409037995
"Estimated net private sector float (x 1,000,000)","Estimatednetprivatesectorfloat",0.000352615744061245
"Estimated Canadian dollar items in transit (net) (x 1,000,000)","EstimatedCanadiandollaritemsintransitnet",0.000351681504170594
"Foreign currency loans to Canadian residents of which: reverse repurchase agreements (x 1,000,000)","ForeigncurrencyloanstoCanadianresidentsofwhich:reverserepurchaseagreements",0.000343247636276109
"Canadian dollar non-personal, bearer term note deposits, term and notice (x 1,000,000)","Canadiandollarnonpersonalbearertermnotedepositstermandnotice",0.000318485663452385
"Call and short-term loans, special call loans (x 1,000,000)","Callandshorttermloansspecialcallloans",0.000293734445416537
"Day-to-day loans plus special call loans","Daytodayloansplusspecialcallloans",0.000293686990550944
"Bank of Canada, notes and coin (x 1,000,000)","BankofCanadanotesandcoin",0.000260082511180628
"Holdings of selected short-term assets, short-term paper (x 1,000,000)","Holdingsofselectedshorttermassetsshorttermpaper",0.00025988578449106
"Total, call and short-term loans (x 1,000,000)","Totalcallandshorttermloans",0.000258185225071011
"Loans in Canadian dollars to purchase Canada Savings Bonds (x 1,000,000)","LoansinCanadiandollarstopurchaseCanadaSavingsBonds",0.000221764228564159
"Loans in Canadian dollars, to municipalities (x 1,000,000)","LoansinCanadiandollarstomunicipalities",0.000198259436244636
"Loans in Canadian dollars, to provinces (x 1,000,000)","LoansinCanadiandollarstoprovinces",0.000151795829725422
"Loans to the federal, provincial and municipal governments and school corporations (x 1,000,000)","Loanstothefederalprovincialandmunicipalgovernmentsandschoolcorporations",0.000146814995942614
"Advances from the Bank of Canada (x 1,000,000)","AdvancesfromtheBankofCanada",8.15372424128477e-05
"Canadian day-to-day loans (x 1,000,000)","Canadiandaytodayloans",8.05065841107851e-05
